,words
0,"-0.5258272886276245,0.08161770552396774,-1.2014920711517334,1.352918028831482,0.1601485013961792,-1.6853611469268799,0.8978164196014404,-0.19431248307228088,-0.47032514214515686,1.5848175287246704"
1,"-0.7441995143890381,1.0785411596298218,-1.2817394733428955,0.42828723788261414,-0.15304996073246002,-0.8881006240844727,-0.0026223063468933105,-1.1523635387420654,0.7963064908981323,1.9189404249191284"
2,"-2.124138355255127,-0.024800583720207214,-0.7364482879638672,0.7283278703689575,1.6375422477722168,-0.6330195665359497,0.19790060818195343,-0.19488191604614258,0.029585331678390503,1.1199328899383545"
3,"-1.3564391136169434,1.4510867595672607,-1.1016346216201782,0.6936203241348267,0.8378511667251587,-1.230996012687683,0.18841472268104553,-0.981613039970398,0.6532489061355591,0.8464608192443848"
4,"-0.17643281817436218,-0.3378802239894867,-1.3994077444076538,1.435704231262207,1.4864168167114258,-1.560829997062683,-0.7046709060668945,0.2127772569656372,0.29600435495376587,0.7483189105987549"
5,"-2.0188910961151123,0.15169814229011536,-0.11436659097671509,-0.15303228795528412,0.5247749090194702,-1.053809404373169,0.9054437279701233,0.5375372171401978,-0.5352765917778015,1.7559220790863037"
6,"-0.8785363435745239,0.4915385842323303,-0.3967723846435547,0.5544232726097107,-0.6261994242668152,-0.2124200016260147,-0.6057323813438416,-1.407130479812622,0.8362346887588501,2.2445948123931885"
7,"-0.4750717878341675,-0.8246936202049255,-0.7111618518829346,1.5635870695114136,-0.28815746307373047,-1.82063889503479,0.5551618337631226,-0.12486113607883453,0.7779405117034912,1.3478951454162598"
8,"-1.1745820045471191,0.5875093936920166,-1.4160988330841064,1.2262071371078491,-0.28933507204055786,-0.7862021923065186,0.3168286085128784,-0.7733488082885742,0.5628430247306824,1.7461786270141602"
9,"-0.8837901949882507,2.0271716117858887,-0.4913155436515808,-0.3163725733757019,0.7129281163215637,-1.0434658527374268,-1.0896220207214355,-0.5342088341712952,0.3688032925128937,1.249871850013733"
10,"-0.8970353007316589,0.4441719353199005,-0.6578907370567322,0.19543075561523438,0.7526775598526001,-1.4826686382293701,-0.7775299549102783,-0.5376678109169006,0.9872188568115234,1.9732937812805176"
11,"-0.30284589529037476,0.14405567944049835,-1.5025819540023804,1.1980234384536743,0.39028099179267883,-1.4602183103561401,0.342896044254303,-0.7702186107635498,0.18121159076690674,1.779396891593933"
12,"-0.01955324411392212,-0.5813806056976318,-2.5453250408172607,-0.13981659710407257,0.6408492922782898,-0.05320732295513153,0.45592159032821655,0.12184977531433105,0.6871961355209351,1.4334660768508911"
13,"-2.3004493713378906,-0.3823850452899933,-0.03474217653274536,0.1987902969121933,0.5966922044754028,-0.7883063554763794,-0.13538196682929993,0.356372594833374,0.857710599899292,1.6316990852355957"
14,"-1.5626260042190552,-0.6573706269264221,-0.48068222403526306,-0.22085079550743103,6.620585918426514e-05,-0.7222687005996704,0.7815923690795898,-0.37749049067497253,2.021993398666382,1.2176371812820435"
15,"-0.2459462285041809,1.288931965827942,-0.6664190292358398,-0.6399296522140503,-0.5731816291809082,-1.4696372747421265,-0.005674779415130615,-0.16064700484275818,0.2735415995121002,2.1989622116088867"
16,"0.7117928266525269,0.2419167309999466,-1.0804580450057983,-0.08478662371635437,0.0785045176744461,-1.6552579402923584,-0.20680388808250427,-0.8496243953704834,0.8293644785881042,2.015352487564087"
17,"-0.8216515779495239,-0.110085129737854,-0.8796806335449219,0.3466087877750397,0.4732142984867096,-1.7704851627349854,-0.4565737545490265,0.19420649111270905,1.1655454635620117,1.8589015007019043"
18,"-1.4404022693634033,0.9445052742958069,-1.4934934377670288,-0.3416305184364319,0.16895531117916107,-0.29561394453048706,0.9030555486679077,-0.030831091105937958,-0.3245498538017273,1.91000497341156"
19,"-0.6075989007949829,-0.38532307744026184,-0.06837183237075806,0.37032967805862427,-0.3067323863506317,-2.169769048690796,0.9200011491775513,0.12366980314254761,0.21882671117782593,1.9049679040908813"
20,"-1.295011043548584,-0.48215705156326294,-0.6332177519798279,-0.1982877254486084,-0.2581193149089813,-1.3374228477478027,1.7086925506591797,0.5962382555007935,0.35130858421325684,1.5479762554168701"
21,"-1.2339558601379395,-0.6651476621627808,-1.2303818464279175,1.1301252841949463,0.13397765159606934,-0.7170634269714355,-0.20177334547042847,-0.06198814511299133,0.867810845375061,1.9783965349197388"
22,"-1.619727373123169,-0.3445492386817932,-0.9452943801879883,0.4799690246582031,0.21653909981250763,-0.9299293756484985,1.3340742588043213,-0.28633010387420654,0.2843015789985657,1.8109465837478638"
23,"-1.4912012815475464,-1.0263551473617554,-0.347806453704834,0.49104613065719604,-0.017342641949653625,-0.7721531391143799,0.8386110663414001,-0.018511757254600525,0.09618949145078659,2.247523784637451"
24,"-1.9754178524017334,-0.45084068179130554,0.373852014541626,0.8036106824874878,0.23577703535556793,-1.5415220260620117,0.04209616780281067,0.22202667593955994,1.1831886768341064,1.1072293519973755"
25,"-0.09718397259712219,-0.180375337600708,-0.8651934266090393,-0.08780837059020996,-0.3517419099807739,-1.5107135772705078,1.6070337295532227,0.21241620182991028,-0.6587928533554077,1.9323594570159912"
26,"-0.8994171619415283,0.07071627676486969,-0.03699657320976257,-0.2782323360443115,-0.269986629486084,-2.1244964599609375,0.20458470284938812,0.5590513348579407,0.9894345998764038,1.7853425741195679"
27,"-0.8380790948867798,-0.8119711875915527,-0.468286395072937,0.30820944905281067,0.1618524193763733,-1.001410961151123,1.0246626138687134,-0.16252970695495605,-0.6262425780296326,2.4137954711914062"
28,"-1.1950417757034302,-0.8979105353355408,0.623626172542572,0.09157548099756241,0.11877009272575378,-1.8236840963363647,1.1807796955108643,0.24527476727962494,0.053140029311180115,1.6034702062606812"
29,"-0.9685382843017578,-0.1854202151298523,-0.7697781324386597,0.8129696846008301,-0.26642659306526184,-1.4594063758850098,1.2805107831954956,-0.13367602229118347,-0.27043962478637695,1.9602049589157104"
30,"-1.267274022102356,-0.34865957498550415,-0.39528924226760864,0.09867644309997559,0.20483241975307465,-1.5612168312072754,0.6448725461959839,-0.22873052954673767,0.6882688999176025,2.164520263671875"
31,"0.07314041256904602,0.3123081922531128,0.4491749107837677,-0.4247983396053314,-0.15128132700920105,-2.0038058757781982,1.0238277912139893,-0.6777400970458984,-0.5231775641441345,1.9223519563674927"
32,"-0.9777346253395081,0.23683969676494598,-0.21118572354316711,-0.10279983282089233,-0.45238471031188965,-2.014422655105591,0.9752146005630493,-0.16152545809745789,1.4688758850097656,1.2391226291656494"
33,"-1.3923454284667969,-0.07100307941436768,-0.4480157196521759,0.15444383025169373,0.33188965916633606,-1.2740633487701416,0.2827651798725128,-0.2861124575138092,0.28236666321754456,2.420074701309204"
34,"-1.2610749006271362,0.5255113840103149,-0.052970871329307556,0.2025117576122284,-0.10073818266391754,-1.8184654712677002,0.7538980841636658,-0.33925294876098633,0.06959603726863861,2.0209851264953613"
35,"-1.4387692213058472,-0.44998496770858765,-0.08558468520641327,-0.0148017518222332,0.7390609979629517,-1.698194980621338,1.3266496658325195,-0.2198561280965805,0.29390016198158264,1.5475811958312988"
36,"-0.8477718234062195,0.013669461011886597,-0.8604921698570251,-0.0603441447019577,0.5533387660980225,-1.8898630142211914,0.6450603604316711,-0.10319989919662476,0.5740255117416382,1.9755771160125732"
37,"-1.3346925973892212,-0.22734206914901733,-0.022909194231033325,0.33279457688331604,0.3557201325893402,-2.0925822257995605,0.5863423347473145,0.17542609572410583,0.5240216255187988,1.7032215595245361"
38,"-1.4346367120742798,0.23525986075401306,-0.23123885691165924,0.3163270652294159,-0.7866638898849487,-1.5813274383544922,1.1228160858154297,0.23933731019496918,0.33619534969329834,1.7839316129684448"
39,"-1.224708914756775,-0.02357947826385498,0.16887277364730835,0.010232239961624146,0.006678760051727295,-1.608688473701477,0.5593259334564209,-0.366313636302948,0.15161976218223572,2.326561212539673"
40,"-0.7901245951652527,0.20224225521087646,-0.9028933644294739,0.6408689618110657,0.3996122479438782,-1.952414870262146,1.061845302581787,0.5889626741409302,-0.7149444222450256,1.4668457508087158"
41,"-0.8134971857070923,-0.36027348041534424,-0.07500387728214264,0.5393402576446533,0.46059080958366394,-2.500678777694702,0.6935085654258728,0.17206856608390808,0.6581366062164307,1.2258083820343018"
42,"-1.7206839323043823,0.1868739128112793,-0.9725531935691833,0.7436574101448059,-0.18672014772891998,-1.3824974298477173,0.6140565872192383,0.26550620794296265,0.9974569082260132,1.454903244972229"
43,"-2.084866762161255,-0.5769065618515015,-0.7077288031578064,0.7220474481582642,0.3157289922237396,-0.8191417455673218,0.6827400922775269,0.020190253853797913,1.0440177917480469,1.4039196968078613"
44,"-1.4198106527328491,-0.4125014841556549,-0.8151373267173767,0.6031485199928284,-0.17730966210365295,-1.3279025554656982,0.8415672183036804,-0.16516703367233276,1.1835682392120361,1.689544677734375"
45,"-1.1154447793960571,-1.2785539627075195,-0.47263023257255554,0.19342482089996338,0.5900265574455261,-1.518808126449585,0.7982872128486633,0.18935930728912354,1.067596197128296,1.5467429161071777"
46,"-1.9426730871200562,-0.1074468195438385,-1.1098787784576416,0.9267295598983765,0.09102664887905121,-0.5120184421539307,0.2417624294757843,0.0115995854139328,0.5249687433242798,1.8759303092956543"
47,"-1.601588487625122,0.12749963998794556,-0.4543842673301697,0.8814395070075989,-0.5467826724052429,-0.5988320708274841,-0.33568671345710754,-0.11686905473470688,0.28513017296791077,2.360074043273926"
48,"-0.6498361229896545,0.008297145366668701,-0.8174704313278198,-0.14429204165935516,0.739069938659668,-1.5996832847595215,0.9679449796676636,-1.040864109992981,0.7463160157203674,1.790518045425415"
49,"-1.3080278635025024,0.45033448934555054,-0.32832056283950806,0.22546181082725525,0.03911226987838745,-2.2352967262268066,0.9200592637062073,0.33675169944763184,0.6629718542098999,1.2369537353515625"
50,"-1.7596148252487183,0.021942168474197388,-0.23745007812976837,0.07588575780391693,0.01111745834350586,-1.0615357160568237,0.07345543056726456,-0.017691045999526978,0.5748631954193115,2.3190274238586426"
51,"-1.5625158548355103,0.1492716372013092,-0.8169656991958618,0.12991727888584137,0.39353787899017334,-1.2900800704956055,0.7441639304161072,0.09383589774370193,0.04505220055580139,2.1137826442718506"
52,"-1.8288177251815796,0.6069434285163879,-1.3870468139648438,0.3523409962654114,0.4508530795574188,-0.9046861529350281,0.8284474611282349,0.09025093913078308,0.21850398182868958,1.5732107162475586"
53,"-1.8051083087921143,-0.6927297115325928,-0.39715147018432617,0.4009097218513489,-0.1364777535200119,-0.5997205972671509,-0.0401131808757782,0.17255428433418274,0.9426164627075195,2.1552207469940186"
54,"-1.2220792770385742,-0.9546270966529846,-0.312455415725708,0.15489721298217773,0.8523722290992737,-0.9622862935066223,1.7221518754959106,-0.8352940678596497,0.09133173525333405,1.4659888744354248"
55,"-2.131470203399658,-0.5280561447143555,0.9219062924385071,0.8176913857460022,0.6197129487991333,-1.1648706197738647,-0.20288348197937012,0.9379763603210449,-0.23958051204681396,0.9695737361907959"
56,"-1.68989098072052,0.23703524470329285,0.07798925042152405,-0.6667076349258423,1.2266972064971924,-1.0084434747695923,0.6579846143722534,-0.7043356895446777,0.08665842562913895,1.783012866973877"
57,"-0.3046402931213379,-0.8827316164970398,0.3932175040245056,0.11471179127693176,0.0479726642370224,-1.807330846786499,0.25549593567848206,-0.03908446431159973,-0.14480701088905334,2.3671960830688477"
58,"-1.6195220947265625,0.3829943537712097,-0.5785005688667297,0.4837776720523834,0.4078408181667328,-1.9482090473175049,0.5022074580192566,0.5534196496009827,0.41179394721984863,1.404198169708252"
59,"-0.5681546330451965,0.12644146382808685,-0.1199430376291275,0.21902398765087128,0.10846412181854248,-1.714937686920166,1.366391658782959,-0.6628457903862,-0.7121182680130005,1.9576784372329712"
60,"-0.6817237734794617,-0.10524570941925049,-0.6351298689842224,0.7134504914283752,0.6678199172019958,-1.9916967153549194,1.605292558670044,-0.3116160035133362,-0.42172080278396606,1.1605697870254517"
61,"-1.8833160400390625,-0.947949230670929,-0.4141150116920471,0.4764147102832794,0.4083617031574249,0.12214621901512146,0.5508898496627808,0.029416710138320923,-0.4545145034790039,2.1126654148101807"
62,"-1.5048364400863647,-0.04481494426727295,-0.5013692378997803,0.907804548740387,-0.34747421741485596,-1.6723724603652954,0.527621865272522,0.9346217513084412,0.0947507917881012,1.6060686111450195"
63,"-1.9317224025726318,0.2433915138244629,1.0596566200256348,0.3198327124118805,-0.8967639803886414,-1.1265463829040527,0.2231820672750473,1.092710256576538,-0.250308632850647,1.2665684223175049"
64,"-1.189237356185913,0.7922685146331787,-0.5663619041442871,-0.42874470353126526,-0.38628312945365906,-1.5680533647537231,0.7451543807983398,-0.13268685340881348,0.8496384620666504,1.8843064308166504"
65,"-0.6979774236679077,-0.7875006198883057,-0.8641468286514282,0.5208399295806885,1.3148854970932007,-1.1740573644638062,0.9910812377929688,-0.8575080633163452,-0.18237757682800293,1.736761212348938"
66,"-1.8881779909133911,-0.6248977184295654,-0.001922890543937683,0.25820761919021606,0.18640995025634766,-0.6438338756561279,-0.5855668783187866,0.21786028146743774,1.1000523567199707,1.9818693399429321"
67,"-1.5105406045913696,-0.06107136607170105,-0.3519825339317322,0.20002144575119019,-0.12981241941452026,-1.6049962043762207,0.6729358434677124,0.0391760915517807,0.7680220007896423,1.9782480001449585"
68,"-1.459296703338623,-0.8806225657463074,-0.5339308381080627,0.9314501881599426,0.5084517002105713,-1.282944917678833,0.027994275093078613,-0.02618853747844696,0.9389773607254028,1.7761101722717285"
69,"-1.4270662069320679,-0.14569908380508423,0.07750637084245682,-0.2715469002723694,0.03572990745306015,-1.1196969747543335,1.1025876998901367,-0.813706636428833,0.43007785081863403,2.1318140029907227"
70,"-1.4428826570510864,-0.8962615728378296,-0.017130255699157715,1.0399062633514404,-0.23722222447395325,-1.0184123516082764,0.6017009019851685,0.3972189128398895,-0.4748965799808502,2.0479793548583984"
71,"-0.7991014719009399,0.1739358752965927,-0.6928436160087585,0.007408797740936279,0.5117208957672119,-1.6670948266983032,-0.3906424045562744,-0.4320470690727234,1.4667749404907227,1.8218889236450195"
72,"-0.2515450119972229,-0.7589566707611084,-0.7390304803848267,0.4731021523475647,-0.055768609046936035,-2.071223497390747,1.116503119468689,0.4065396785736084,0.1925899088382721,1.6877892017364502"
73,"-0.8040651679039001,-0.31246107816696167,-1.3752672672271729,0.9627196788787842,-0.37469208240509033,-1.2528157234191895,1.7369662523269653,-0.25131094455718994,0.4809127449989319,1.1900135278701782"
74,"-0.6367088556289673,0.22687435150146484,-1.4278236627578735,0.4139677882194519,1.0318971872329712,-1.8195315599441528,0.7713565230369568,-0.3078920543193817,0.2655840814113617,1.4822763204574585"
75,"-0.911820113658905,-1.2863645553588867,-0.07342765480279922,0.8716961145401001,-0.31599387526512146,-1.4624775648117065,1.1178076267242432,-0.20250222086906433,0.5577336549758911,1.7053483724594116"
76,"-1.716125726699829,-0.5010892748832703,-0.5255653858184814,0.891294002532959,0.10805965960025787,-1.2492992877960205,0.3591682016849518,-0.015179291367530823,0.8127105236053467,1.836026668548584"
77,"-0.8524047136306763,-0.7265375256538391,-0.6806907057762146,1.1512813568115234,0.7488733530044556,-1.0734041929244995,-0.06006542593240738,-0.44441476464271545,-0.28945961594581604,2.2268226146698"
78,"-1.148510217666626,-0.07293428480625153,0.14484353363513947,0.19139501452445984,-0.09977973997592926,-1.6023517847061157,-0.158395454287529,-0.585726797580719,1.4177581071853638,1.9137015342712402"
79,"-0.5024837255477905,-0.5803065299987793,-0.8084894418716431,1.258184790611267,-0.2986569106578827,-1.722792148590088,0.8324153423309326,0.40772977471351624,-0.35517844557762146,1.7695772647857666"
80,"-1.2273982763290405,0.12666994333267212,-0.15871471166610718,-0.11141127347946167,0.045512840151786804,-1.7699023485183716,0.4589970111846924,-0.23510926961898804,0.7586012482643127,2.1127548217773438"
81,"0.07619735598564148,0.32164251804351807,-0.9602685570716858,0.17280086874961853,-0.6508970260620117,-2.0362021923065186,0.6029710173606873,-0.003987520933151245,0.5548682808876038,1.922875165939331"
82,"-0.8925385475158691,-0.2275233268737793,-0.36891359090805054,-0.09252887964248657,0.15165087580680847,-2.0942420959472656,0.33266207575798035,0.3486550450325012,1.018226146697998,1.824552059173584"
83,"-0.10056492686271667,-0.9693235754966736,0.20185603201389313,0.4762580394744873,0.356006920337677,-2.098555564880371,0.9740119576454163,-0.1546633094549179,-0.44133156538009644,1.7563058137893677"
84,"-1.1664036512374878,-0.48056378960609436,-1.59031343460083,0.5140563249588013,-0.7065647840499878,-0.026734577491879463,1.6986013650894165,-0.24914652109146118,0.7263365983963013,1.280732274055481"
85,"-2.2330517768859863,0.9942392110824585,-0.8497320413589478,0.4304976165294647,-0.16783078014850616,-0.31921839714050293,0.3089989721775055,-0.0866236537694931,0.2416239082813263,1.6810969114303589"
86,"-1.4949287176132202,-0.6884615421295166,-0.12849050760269165,-0.034391406923532486,0.8569955825805664,-1.5138397216796875,1.423394799232483,0.10086250305175781,-0.00808459147810936,1.4869439601898193"
87,"-1.6570241451263428,-0.1266895979642868,0.144651859998703,0.44586893916130066,0.4081956744194031,-1.9578156471252441,0.9890503883361816,0.059047549962997437,0.2991671860218048,1.3955472707748413"
88,"-0.6795995235443115,-0.4218865931034088,-0.27223965525627136,0.8501002788543701,0.48296046257019043,-1.7355982065200806,-0.2354068160057068,0.09254628419876099,-0.3466273844242096,2.2657511234283447"
89,"-1.240795612335205,0.5029443502426147,-0.7142366170883179,-0.24346886575222015,-0.0139455646276474,-1.7406630516052246,0.6261178255081177,-0.07531718909740448,1.508949875831604,1.3904147148132324"
90,"-1.578599214553833,-0.536117434501648,-0.10411513596773148,0.3374900817871094,0.8024900555610657,-1.1144355535507202,1.0614210367202759,-0.08160562068223953,-0.6856092214584351,1.8990808725357056"
91,"-0.7414770126342773,-0.8566571474075317,-0.6001704931259155,0.7053506970405579,0.07012387365102768,-1.6671043634414673,1.087551236152649,-0.39291107654571533,0.5386788845062256,1.856615424156189"
92,"-1.4181575775146484,-0.365322470664978,-1.3128329515457153,-0.050437361001968384,0.4323447048664093,-0.9407840967178345,1.0218901634216309,-0.11463998258113861,1.7087979316711426,1.0391417741775513"
93,"-0.46294641494750977,0.5999954342842102,-0.6750880479812622,0.1975962519645691,0.17001071572303772,-2.5479230880737305,1.0611507892608643,0.12829722464084625,0.5422665476799011,0.986640453338623"
94,"-0.973671555519104,1.3289306163787842,-1.877450942993164,-0.49127981066703796,-0.5090677738189697,-0.4891190230846405,0.5031419992446899,0.35270214080810547,0.6779337525367737,1.4778807163238525"
95,"-1.3240492343902588,-0.9336767792701721,-0.518828272819519,0.8522136211395264,-0.3251860439777374,-0.5757480263710022,1.2899736166000366,-0.7245794534683228,0.35542136430740356,1.9044591188430786"
96,"-0.2312888354063034,0.6522555351257324,-0.46556442975997925,-0.06938157975673676,0.332000195980072,-1.6068731546401978,-0.14276014268398285,-1.4099552631378174,1.10175359249115,1.839814305305481"
97,"-0.8662691712379456,0.03657853603363037,-0.32473206520080566,0.1851244866847992,0.49755150079727173,-1.9509856700897217,0.960125744342804,-0.04886804521083832,-0.46656686067581177,1.9780415296554565"
98,"-0.7217563986778259,-1.1625480651855469,-0.3337079882621765,0.36985039710998535,0.31994378566741943,-1.3100934028625488,0.6636979579925537,-0.20396925508975983,0.016761958599090576,2.361821174621582"
99,"-1.6170132160186768,0.3047131896018982,-0.5810424089431763,0.4925948977470398,0.5256805419921875,-1.2494463920593262,0.4234696328639984,0.37069618701934814,-0.6899903416633606,2.0203380584716797"
