,item_embed
0,"-0.076959886,-0.11479628,-0.29873237,0.44199538,-0.13549516,0.13118471,0.16333343,-0.16441838,-0.1537358,0.24425897,0.54485476,-0.04904679,-0.14107102,-0.3310926,-0.11580207,-0.016203195,-0.15327528,0.04780665,-0.0061719413,0.03379249,-0.33505344,0.21567932,0.38601398,-0.14407206,-0.3431829,-0.23420382,0.33093852,0.40177017,0.42958635,-0.24678591"
1,"-0.02133219,0.047228076,0.08005678,0.28207034,-0.36314598,0.07859104,0.12225312,0.032925606,0.24791767,-0.5668302,-0.05303444,-0.2404825,-0.058995645,-0.22256419,0.2423396,0.17308941,-0.1385112,-0.050977003,0.04808694,-0.050281055,-0.11579676,0.14175428,-0.07721985,-0.11756194,0.06321854,-0.19037396,-0.014977098,0.00010220555,0.09936125,-0.41047803"
2,"-0.32817698,0.15539056,0.42247462,-0.08213614,0.3192235,-0.0020023983,-0.33903396,-0.1549717,0.2154493,0.39427772,-0.089741476,-0.16434492,0.15033565,0.0049326476,0.19512263,0.44864044,0.28870565,0.33874425,0.2777085,-0.18214107,-0.2678923,0.2657153,0.046068247,-0.48747477,-0.15842082,-0.43492636,0.06653643,-0.08556664,0.25639448,0.49633127"
3,"0.705621,0.19026382,-0.6008082,-0.36815467,-0.6907485,-0.34527856,-0.3455004,0.2010822,0.5184858,0.6248596,-0.47751597,0.19539498,-0.15005235,0.28958982,0.45663822,0.087413274,-0.44251195,0.26951998,-0.42033908,-0.22353424,-0.47627136,-0.44137153,0.57830435,0.184478,0.48855764,-0.29098928,0.4842784,-0.6221703,0.6247072,-0.13218944"
4,"0.2366075,-0.33708647,-0.43286318,0.42144454,-0.34022284,0.24882346,0.554888,0.48455194,0.4145716,0.6814925,0.40920556,-0.6722854,0.35211852,0.45553446,0.46827775,0.71545565,-0.14599803,-0.56376743,-0.51735145,0.3843816,-0.33163592,0.63416874,-0.47777694,-0.017432414,0.18672931,0.4684526,-0.113515906,0.24353278,-0.35961837,0.46848527"
5,"-0.6459844,-0.45604798,-0.35520628,0.5973196,-0.20587707,-0.7974352,0.50218207,-0.61157924,0.37258837,-0.23832116,-0.07497678,0.59937215,-0.5499884,0.46123862,0.42000702,-0.6112753,0.60314095,-0.6478614,-0.27234775,-0.41393912,0.46201003,0.43102548,0.43696225,-0.5950743,-0.03546173,0.228942,-0.48744822,-0.6445011,0.57287294,0.46435788"
6,"-0.3854035,0.023929436,0.12605003,0.35372704,0.17168376,0.12499782,-0.16532159,-0.3099169,0.06975284,0.61860085,0.46283698,-0.19557886,0.0024174454,-0.30706018,0.05820456,0.41693205,0.12484596,0.3714036,0.26522762,-0.13809997,-0.5822576,0.45907012,0.45020023,-0.6092916,-0.48620296,-0.6661101,0.3855435,0.31748813,0.6281984,0.2584446"
7,"-0.31177655,0.14862615,0.4045388,-0.07400977,0.30264717,-0.0022003085,-0.32519677,-0.14749466,0.21761915,0.37660903,-0.08181412,-0.15544182,0.14134414,0.0038345088,0.18500686,0.4278233,0.2770409,0.3209912,0.26411337,-0.17389625,-0.25726727,0.25385827,0.044685233,-0.4637429,-0.1557281,-0.41808784,0.06498125,-0.08069051,0.24212535,0.47798166"
8,"-0.22168724,-0.2781106,-0.2434153,0.38020715,-0.5045921,0.5179184,0.38942182,0.08912177,-0.3983854,-0.09601305,-0.62149084,0.59161496,0.25648117,-0.24586783,0.20723452,0.0714308,0.6039567,0.30507395,0.169612,-0.2040264,-0.5373767,-0.036390755,-0.04747221,0.5777185,-0.30144003,-0.10481032,0.31524068,-0.22693317,-0.38188717,0.43826008"
9,"-0.3349167,-0.29058802,0.38426906,-0.16503903,-0.54820967,0.0667787,0.10003681,-0.17166904,0.5050023,-0.38353625,0.23717016,-0.2230946,0.44604614,-0.19322719,0.019085124,-0.0067721424,-0.50548655,-0.3559455,-0.024847941,0.10588936,0.041119378,-0.13523416,0.6149932,0.26473853,-0.35659465,-0.4504013,-0.14423685,-0.15895045,-0.251007,-0.027054803"
10,"0.42720485,0.448002,0.453368,0.4456092,-0.30802563,0.5253339,0.14056507,0.037724536,-0.29302746,0.2989906,-0.16945678,0.53329253,0.6279362,0.15910596,-0.24374728,-0.019135332,-0.17110255,-0.016856017,0.51108307,0.57498926,0.3672138,0.5046104,0.44406042,-0.05525841,0.41488355,0.118604854,-0.6089093,-0.25826836,0.5758073,-0.053332474"
