,words
0,"-2.028425455093384,0.9286841154098511,1.1487622261047363,-0.6017928123474121,1.4314061403274536,0.03235563635826111,-0.5852300524711609,-0.3064574599266052,-0.6633425354957581,0.6440405249595642"
1,"-1.7778311967849731,0.922542154788971,-0.09515222907066345,-0.5601375699043274,1.5413883924484253,0.8251017928123474,-0.616936445236206,-0.3918917179107666,-0.939126193523407,1.0920425653457642"
2,"-1.4540683031082153,1.0160411596298218,0.9665259718894958,-0.5679369568824768,0.9112038016319275,1.1389533281326294,-1.811008095741272,0.26123568415641785,-0.31652912497520447,-0.14441713690757751"
3,"-1.2579818964004517,1.3576948642730713,-0.2527751326560974,-0.8567839860916138,-0.0894751325249672,0.4047529101371765,-1.8084017038345337,1.2340515851974487,0.579767644405365,0.6891511082649231"
4,"-0.06268328428268433,0.2945963144302368,0.6183390617370605,-2.1906981468200684,1.3480318784713745,-0.08806777745485306,-1.213504433631897,0.668972909450531,0.9399296641349792,-0.3149162530899048"
5,"-0.795785129070282,1.538886547088623,0.10900364816188812,-1.1416388750076294,1.458426594734192,0.38135379552841187,-0.9983171224594116,-0.7962900996208191,-0.8133032321929932,1.0576637983322144"
6,"-1.4584261178970337,1.7525279521942139,0.498474657535553,-1.045974850654602,-0.4769390821456909,-0.40687012672424316,1.6346999406814575,-0.19385983049869537,0.2419283092021942,-0.5455610752105713"
7,"-0.3221772015094757,1.3710376024246216,0.14273633062839508,-0.15771496295928955,0.7674636840820312,0.009897695854306221,-2.503109931945801,0.7253051996231079,-0.5597840547561646,0.5263453722000122"
8,"0.5210931301116943,1.86146080493927,0.15012405812740326,-0.35181623697280884,-0.18806573748588562,0.7844642996788025,-2.2053747177124023,-0.28303617238998413,0.3458874821662903,-0.6347367763519287"
9,"-0.4438965916633606,1.5120599269866943,0.08527000993490219,-0.4022601246833801,1.0026652812957764,0.23020292818546295,-2.1518354415893555,0.02333196997642517,-0.8354489803314209,0.9799109697341919"
10,"-1.744011402130127,0.53778076171875,0.3837026357650757,-0.6132146716117859,1.6457959413528442,-0.36619803309440613,-0.6423232555389404,1.5784410238265991,-0.17216433584690094,-0.6078091263771057"
11,"0.7085748314857483,1.4666738510131836,-0.9090203642845154,-0.954685628414154,0.9058665633201599,-1.9047465324401855,-0.5879868865013123,0.6474997997283936,-0.0009420961141586304,0.6287662982940674"
12,"-0.5359997749328613,-0.07573134452104568,0.7470922470092773,-1.4687033891677856,0.7417489290237427,0.7529913187026978,-2.0690479278564453,0.986028790473938,0.14730843901634216,0.7743123769760132"
13,"-0.9163020849227905,1.4589602947235107,-0.646625280380249,-1.362259864807129,1.4385170936584473,-0.052976131439208984,-1.224830985069275,-0.09845318645238876,1.0104199647903442,0.39355021715164185"
14,"-0.18463489413261414,0.19657737016677856,1.656898856163025,-0.23884212970733643,0.14277344942092896,0.964270293712616,-1.3447442054748535,-1.8940670490264893,0.8669084310531616,-0.1651400327682495"
15,"0.025912493467330933,1.7349203824996948,0.6196538209915161,-1.68692946434021,0.6479108333587646,-0.2764553725719452,-1.7145441770553589,-0.06974562257528305,0.186143159866333,0.5331341028213501"
16,"-1.1176408529281616,0.5743337273597717,1.0820568799972534,-0.7945319414138794,1.2222317457199097,-0.5592461228370667,-1.4683771133422852,-0.5697851181030273,0.10786645859479904,1.523092269897461"
17,"0.5955278873443604,1.0555651187896729,0.20591475069522858,-0.734967827796936,0.5443099737167358,1.0404472351074219,-1.5408319234848022,0.1645890772342682,0.6159756183624268,-1.9465302228927612"
18,"-1.8444348573684692,1.2844901084899902,0.2869740426540375,-0.9995458722114563,1.8258687257766724,-0.172823965549469,-0.22028180956840515,-0.0506494864821434,-0.5269661545753479,0.4173690378665924"
19,"-2.085575580596924,1.2789134979248047,-0.9363647699356079,-0.6310755014419556,1.0260926485061646,-0.09673406928777695,-0.4898177981376648,0.38390129804611206,0.5657566785812378,0.9849036335945129"
20,"1.2227249145507812,1.6677887439727783,0.08767473697662354,-1.1550517082214355,-0.18628358840942383,0.9140709638595581,-0.9667794108390808,0.5278515815734863,-1.239994764328003,-0.8720013499259949"
21,"-0.700412392616272,0.08288209140300751,1.4749189615249634,-0.612066924571991,1.171846866607666,0.13553252816200256,-1.924203634262085,-0.4315565824508667,1.2230032682418823,-0.41994401812553406"
22,"-1.728536605834961,1.7188568115234375,0.8333898186683655,-0.30553221702575684,1.1228294372558594,-0.12042459845542908,-0.4738115668296814,-1.0611889362335205,-0.5601378679275513,0.5745557546615601"
23,"-0.28521066904067993,1.023455023765564,0.06099171191453934,-0.9807177186012268,1.1144887208938599,-0.24864819645881653,-2.101400852203369,1.4515210390090942,-0.2150687277317047,0.18058954179286957"
24,"0.03827465698122978,1.5427907705307007,0.3006080687046051,-1.5524648427963257,0.19031839072704315,-0.7147758603096008,-1.761457920074463,1.008545994758606,0.44932711124420166,0.4988337755203247"
25,"-1.612964153289795,0.3884984850883484,1.5344762802124023,-1.6073532104492188,1.4397683143615723,-0.041258618235588074,-0.11240173876285553,-0.34518834948539734,0.3182451128959656,0.0381779819726944"
26,"-1.451581597328186,0.9204680323600769,-0.2426971048116684,-1.109535574913025,0.9193255305290222,1.0815047025680542,-1.5427964925765991,0.9726185202598572,0.6213750839233398,-0.16868111491203308"
27,"-0.47197631001472473,1.2364966869354248,-0.49116888642311096,-0.3508913815021515,2.1312389373779297,-1.0972782373428345,-0.16765502095222473,-0.3172130286693573,0.7383209466934204,-1.2098735570907593"
28,"0.33692485094070435,0.5208528637886047,0.024779170751571655,-1.2739683389663696,0.9312809705734253,-0.24893757700920105,-1.8974417448043823,1.23362398147583,-0.7806715369224548,1.1535571813583374"
29,"-0.8897885084152222,0.977235734462738,0.38517406582832336,0.012265879660844803,0.7709097266197205,0.20026671886444092,-1.352410912513733,0.7886215448379517,1.0739325284957886,-1.966206669807434"
30,"-0.7858164310455322,2.8168294429779053,0.0723293274641037,-0.6582358479499817,-0.3137093782424927,-0.1208643764257431,-0.9032652378082275,0.017006516456604004,-0.2524888515472412,0.12821488082408905"
31,"-0.772772490978241,-0.16553212702274323,1.0695348978042603,0.24823296070098877,1.3373078107833862,0.756453275680542,-1.597028136253357,-0.10304496437311172,0.8277596831321716,-1.6009109020233154"
32,"0.167669415473938,0.7755837440490723,1.5637253522872925,-1.3615198135375977,0.569566011428833,0.7064724564552307,-1.8572304248809814,-0.19797170162200928,0.4051613211631775,-0.7714561820030212"
33,"-1.5417767763137817,0.08903475105762482,0.6634282469749451,0.006687946617603302,1.1958444118499756,0.7713738679885864,-1.573722243309021,-0.7477675080299377,-0.2881873846054077,1.4250847101211548"
34,"-0.46375221014022827,1.8048779964447021,0.41424521803855896,0.3260442912578583,-1.9473212957382202,-0.8758331537246704,0.19978711009025574,-0.4583296775817871,1.185698390007019,-0.18541595339775085"
35,"-1.7595851421356201,1.1567139625549316,0.47737252712249756,-1.053472638130188,0.3181633949279785,0.012831982225179672,-1.4125686883926392,0.3917369842529297,1.274767518043518,0.5940402150154114"
36,"-0.11611241102218628,1.8915339708328247,0.16166409850120544,-1.7240238189697266,0.07717308402061462,-0.7263112664222717,-1.1860346794128418,-0.071775421500206,0.7240342497825623,0.9698520302772522"
37,"0.7512263655662537,1.6739236116409302,-1.0394651889801025,-0.022590555250644684,0.9866639375686646,-0.08842873573303223,-1.933709979057312,0.1787431389093399,-0.832780122756958,0.3264177441596985"
38,"-0.8557339906692505,1.1686139106750488,-0.24304983019828796,0.7506300210952759,0.7046324014663696,0.10759145766496658,-2.064732551574707,-0.5299133658409119,1.4203296899795532,-0.45836788415908813"
39,"-0.6283757090568542,1.6164133548736572,1.0395870208740234,-0.4147779643535614,0.44162264466285706,-0.1950434148311615,-2.3183987140655518,0.16788285970687866,0.3200435936450958,-0.028953589498996735"
40,"-1.1915878057479858,0.835419774055481,0.056986577808856964,-1.127441644668579,2.0290329456329346,-0.8142945766448975,-0.19024203717708588,-0.7334513068199158,0.016077347099781036,1.1195006370544434"
41,"-1.0471404790878296,1.7478492259979248,0.302849680185318,-0.5178897976875305,1.7290103435516357,0.08822043985128403,-1.4132267236709595,-0.1152741089463234,-0.6879905462265015,-0.08640813082456589"
42,"-0.672400176525116,0.33048370480537415,-0.18967658281326294,-0.9752586483955383,2.1440536975860596,-0.5229552388191223,-1.4709477424621582,0.5937616229057312,-0.2405318170785904,1.0034713745117188"
43,"-1.6708953380584717,1.418434977531433,-0.06483939290046692,-0.6768332123756409,1.2830849885940552,0.2722039222717285,-1.4982894659042358,0.2902637720108032,-0.1639067828655243,0.8107765913009644"
44,"-1.457106113433838,0.7209599614143372,-0.17990253865718842,-1.1470996141433716,2.003279209136963,1.1925323009490967,-0.36084669828414917,0.12548623979091644,-0.5604208707809448,-0.33688193559646606"
45,"-0.7124841809272766,1.1992411613464355,0.07134595513343811,-0.859717845916748,2.191988706588745,0.06408312916755676,-1.4538705348968506,-0.32650527358055115,-0.4513862133026123,0.27730536460876465"
46,"-1.023834466934204,0.21664541959762573,0.13779494166374207,-0.6990017294883728,1.9622386693954468,0.42500054836273193,-1.8882325887680054,-0.3138269782066345,0.5578657388687134,0.625350296497345"
47,"-1.2484323978424072,1.2436532974243164,-0.11476363986730576,-0.08508538454771042,1.3643083572387695,0.22948327660560608,-2.0894014835357666,-0.06547924876213074,0.7683738470077515,-0.0026568472385406494"
48,"-1.6682239770889282,0.8225879669189453,0.9535457491874695,-1.6191216707229614,1.3780779838562012,0.21858379244804382,-0.7781654000282288,-0.045732490718364716,0.6711771488189697,0.06727059185504913"
49,"-1.2406032085418701,1.5773303508758545,-0.10994657874107361,-0.17116844654083252,1.4133129119873047,-0.013416960835456848,-1.4504640102386475,0.42475083470344543,-1.0972867012023926,0.6674919724464417"
50,"-1.1728938817977905,1.1934218406677246,-0.19287481904029846,-0.7402424812316895,1.9559506177902222,-0.1370542049407959,-1.543667197227478,0.6196149587631226,0.049675021320581436,-0.03192976117134094"
51,"-0.973951518535614,1.63734769821167,-0.3425298035144806,-0.6874848008155823,1.6611191034317017,0.005474139004945755,-1.4200352430343628,-0.6530699133872986,0.012884490191936493,0.7602459788322449"
52,"-2.391042947769165,0.952730119228363,1.1748651266098022,-0.4871445596218109,0.7540400624275208,0.22958992421627045,-0.8903507590293884,-0.14475411176681519,0.4225355386734009,0.3795316517353058"
53,"-1.4234025478363037,0.5027312636375427,-0.167038694024086,-0.43939006328582764,2.0674750804901123,0.4305803179740906,-1.392345905303955,0.47856420278549194,-0.6885215044021606,0.63134765625"
54,"-1.661447525024414,1.2118427753448486,0.23085461556911469,-0.9497776627540588,1.905414342880249,-0.11498478055000305,-1.048877239227295,0.072400763630867,0.2191789150238037,0.13539597392082214"
55,"-0.9912932515144348,0.6348130106925964,-0.20020869374275208,-0.5863733291625977,2.251713514328003,-0.3240562379360199,-1.4307849407196045,0.5875090956687927,-0.5456057190895081,0.604286789894104"
56,"-1.371346354484558,0.8509358763694763,-0.09615469723939896,-1.0992798805236816,1.590920090675354,0.25511664152145386,-1.403846263885498,1.2678580284118652,-0.03712181746959686,0.04291814565658569"
57,"-0.45504772663116455,0.8803122043609619,0.3406878113746643,-1.1434481143951416,2.1043753623962402,0.3780111074447632,-1.6149791479110718,-0.34439754486083984,-0.45075052976608276,0.3052363991737366"
58,"-1.7312437295913696,0.41644158959388733,-0.025587698444724083,-0.5776306986808777,1.849195957183838,-0.03341688960790634,-1.3573932647705078,-0.034416090697050095,0.507680356502533,0.9863708019256592"
59,"-0.9097388982772827,0.06524329632520676,-0.6098517775535583,-0.9215430617332458,2.3987319469451904,-0.025064514949917793,-1.1482425928115845,0.41819918155670166,-0.09803298115730286,0.830299437046051"
60,"-0.8006271123886108,0.6795094609260559,0.15806493163108826,-0.33342552185058594,2.3907506465911865,-0.2933861315250397,-1.6076021194458008,0.418745219707489,-0.38435953855514526,-0.22766968607902527"
61,"-0.9161016941070557,1.5230542421340942,0.1934153437614441,-0.8813870549201965,1.4507365226745605,0.4827510118484497,-1.7840889692306519,0.1924392282962799,-0.5968140959739685,0.3359951078891754"
62,"-0.5153164267539978,0.7922499775886536,-0.5277244448661804,-1.1717990636825562,1.9983983039855957,-0.3429459035396576,-1.1982835531234741,0.5254522562026978,-0.6561287045478821,1.0960978269577026"
63,"-1.5485107898712158,1.8032379150390625,0.34445083141326904,-0.8506567478179932,1.1108708381652832,-0.35066378116607666,-0.709235668182373,-0.9764792919158936,0.5571732521057129,0.6198137402534485"
64,"-0.2778874635696411,2.2178032398223877,0.09102506935596466,-1.478166103363037,0.9245951175689697,0.3478659391403198,-0.8852264285087585,-0.8636757731437683,0.35070425271987915,-0.4270378351211548"
65,"-0.7438153624534607,1.6700019836425781,-0.14456266164779663,-0.573925256729126,1.2143092155456543,0.6057285666465759,-2.0754613876342773,-0.3046414256095886,0.21867862343788147,0.13368761539459229"
66,"-1.646522879600525,0.6002557277679443,-0.7301221489906311,-1.040302038192749,1.8759115934371948,0.8756784200668335,-0.6215541958808899,0.19567075371742249,-0.24556006491184235,0.7365450859069824"
67,"-1.3938632011413574,0.4722706079483032,-0.023012682795524597,-0.9031432867050171,2.0556766986846924,1.0310206413269043,-0.9212906956672668,-0.250776469707489,-0.671851634979248,0.6049702763557434"
68,"-1.3583555221557617,0.7919336557388306,0.1272156834602356,-0.7937726974487305,1.539006233215332,0.2386508285999298,-1.8637304306030273,0.2835776209831238,0.09001915156841278,0.9454552531242371"
69,"-1.8244280815124512,1.1111412048339844,-0.18339772522449493,-0.3451741337776184,1.7691428661346436,0.9128890037536621,-0.7184841632843018,-0.7090403437614441,-0.39472371339797974,0.3820751905441284"
70,"-1.9135158061981201,0.012773245573043823,0.27435362339019775,-1.4939765930175781,1.3290016651153564,0.8657463192939758,-0.7322114706039429,0.4685439169406891,0.7564433217048645,0.4328415095806122"
71,"0.20782431960105896,1.823319911956787,-0.03634020686149597,-1.404606819152832,0.86411052942276,-0.424990177154541,-1.7622337341308594,-0.2397868037223816,0.2687872648239136,0.7039157748222351"
72,"-1.2311201095581055,1.3400405645370483,-1.2645643949508667,-0.5563846826553345,1.7094411849975586,0.33164477348327637,-0.5334157347679138,1.0380771160125732,-0.554696798324585,-0.279022216796875"
73,"-1.2122069597244263,1.0176090002059937,-0.020156223326921463,-1.0580053329467773,1.6366668939590454,0.12186777591705322,-1.728352427482605,0.14180687069892883,0.735447347164154,0.36532318592071533"
74,"-1.2612768411636353,0.07104206085205078,0.4246947467327118,-0.6954059600830078,2.4740936756134033,0.2456347644329071,-0.9379277229309082,-0.3795694410800934,-0.48695603013038635,0.5456705689430237"
75,"-0.28895455598831177,0.6419857144355774,0.4487758278846741,-1.119362473487854,1.6596499681472778,0.3233312666416168,-2.1759488582611084,0.6516075730323792,-0.17459437251091003,0.03350984305143356"
76,"-2.1834206581115723,1.8602397441864014,0.5775022506713867,-0.32196247577667236,0.5977253913879395,0.010282039642333984,-0.6927207112312317,-0.19197343289852142,-0.27593666315078735,0.6202647089958191"
77,"-0.6024240255355835,0.9641969203948975,0.14764031767845154,-1.567492961883545,1.2734922170639038,0.4742259979248047,-1.911962628364563,0.027510344982147217,0.6738766431808472,0.5209375619888306"
78,"-1.341443657875061,1.5233464241027832,0.4054683744907379,-0.3981124758720398,1.420337200164795,0.017894044518470764,-1.4741127490997314,0.677639365196228,-0.9455177187919617,0.11450079083442688"
79,"-1.2051030397415161,1.1167393922805786,0.009130716323852539,-1.0275537967681885,1.5570995807647705,0.6382387280464172,-1.6376787424087524,0.13724152743816376,-0.3539934754371643,0.7658792734146118"
80,"-1.0468542575836182,1.772871494293213,0.10921463370323181,-1.1658504009246826,1.2553744316101074,0.35407352447509766,-1.1730093955993652,0.3499285578727722,-0.9648383855819702,0.5090898275375366"
81,"-1.9890767335891724,1.2623547315597534,0.1402098834514618,-0.79376220703125,0.9440176486968994,0.5025754570960999,-1.367358684539795,0.11287657171487808,0.7787991762161255,0.40936416387557983"
82,"-1.2232773303985596,1.7070724964141846,-0.07798431813716888,-0.7948799729347229,1.1645746231079102,-0.42396771907806396,-1.6578364372253418,0.611578643321991,0.5082016587257385,0.1865185797214508"
83,"-0.1411730945110321,0.2899779975414276,0.029375996440649033,-1.145361304283142,2.2929437160491943,0.0005100276321172714,-1.1210135221481323,-0.0841725766658783,-1.0740894079208374,0.9530025124549866"
84,"0.10793549567461014,1.2120734453201294,-0.7196933031082153,-0.8513752818107605,2.2106614112854004,-0.18390366435050964,-1.4982388019561768,0.14482206106185913,-0.19320595264434814,-0.2290755808353424"
85,"-1.1767947673797607,0.8831424713134766,-0.27883031964302063,-0.7623690366744995,1.670128345489502,-1.171635389328003,-0.5156317353248596,-0.6540054082870483,0.6102185249328613,1.3957772254943848"
86,"-0.799340546131134,0.5282114744186401,-0.5910873413085938,0.025144733488559723,2.3602747917175293,-0.5724089741706848,-1.042336344718933,-0.26682984828948975,-0.7184649109840393,1.0768368244171143"
87,"-0.9553640484809875,0.48308050632476807,-0.37351495027542114,-1.3335282802581787,1.477517008781433,0.8977276682853699,-1.5073528289794922,-0.2673985958099365,0.3668971657752991,1.2119362354278564"
88,"-1.4107681512832642,1.3824002742767334,-0.8096174597740173,-1.5501365661621094,0.8289157748222351,0.19580543041229248,-0.8334306478500366,0.8193638920783997,0.6818117499351501,0.6956555843353271"
