,user_embed
0,"0.7408699352067879,0.5776378772079754,0.602237105402639,0.48930430455004825,0.4844992264682268,0.7832937354941345,0.7911311079566445,1.0772111965531195,0.6095680196556745,0.46152692347548485"
1,"0.6898332923220077,0.688884542750623,0.7112052208760669,0.7533191343458615,0.7765492988428091,0.8549351973321584,0.5763146110003986,0.5414516050192073,0.4283820038102773,0.8057669543996756"
2,"0.6346167791559366,0.7120794296547122,0.6511591418523373,0.702199201057521,0.6821397165849019,0.7810038629638637,0.7042368940402984,0.6521290236203334,0.6073799821501534,0.7947597032924784"
3,"0.37818853859046664,0.292324857065266,0.46709315378552985,0.4169626059476446,0.24654783443457493,0.7523450796115675,0.534113827307027,0.8212795385153382,1.2636981834226704,0.9726079764089339"
4,"0.709445406115822,0.6359102907303684,0.748276439229048,0.8157194791921369,0.8538662608464404,0.8863966821670363,0.47275880145271637,0.4439054896426051,0.3033148958917584,0.806209436597847"
5,"0.548080098737037,0.6368053515044334,0.6873713739264642,0.7896003412591437,0.6782569103451379,0.6727775530636525,0.6208929941495196,0.7734056083068932,0.549615359689301,0.8235100926136156"
6,"0.5516599460495246,0.6497618542675304,0.6466130132921883,0.7916861871971068,0.7071210961565854,0.6288989602026251,0.6421356876040936,0.7583635344737859,0.6042983782964821,0.8086291372879222"
7,"0.5760948073337951,0.6605089477361205,0.6801657892023664,0.8031502346343163,0.7081475229679622,0.6220529856463834,0.6495104050519497,0.7274178042641631,0.5379049716019496,0.8183930174377293"
8,"0.5751124446060908,0.7708335187513127,0.599700869268828,0.7871934129044089,0.7368743936728632,0.6338224854832972,0.614264036373221,0.7144725209549871,0.5776881446337507,0.7811266671537445"
9,"0.5837887997887639,0.7779773187500405,0.6420958377676744,0.8465810547689213,0.7907670228569061,0.6181218590517954,0.4999563640607546,0.6176376539196942,0.5741672605554339,0.7766984094133534"
10,"0.5862590977673101,0.775649325253803,0.6164601042329108,0.8174606240790373,0.7691826090154683,0.6352845950333018,0.5501973508647782,0.6656693670306773,0.5693204747866375,0.7814991166896584"
11,"0.5813177085790641,0.7800351227412594,0.6335181638195944,0.8414964147843627,0.7935193968152101,0.6334339196692368,0.48301136045216353,0.6171622038169304,0.5707517896338986,0.7956350129575771"
12,"0.6244616874008296,0.6895115900474017,0.7155648444052504,0.8658002282472312,0.7712513301511472,0.5292645373378155,0.6016282637122794,0.6479767444347394,0.6249332826805382,0.6562060165925006"
13,"0.6024771752639784,0.7516841638802633,0.694877244291535,0.8759721652925796,0.7848271696327482,0.5439991070621703,0.5654952328971898,0.6157605874380874,0.6019870328195265,0.6861903126349053"
14,"0.6369819243647475,0.6901818393609084,0.7182560838647797,0.8481532762136749,0.762991676395064,0.5370463883602667,0.6095461823175261,0.6661228496753812,0.6222471156414602,0.6466607869617542"
