,words
0,"2098,2183,548,697,676,2575,539,351,1604,592,1154,1798,1390,1135,2784,173,0,1368,2325,973,572,726,576,331,0,2820,2627,973,1018,1034,2349,548,1393,2332,548,804,1032,2821,2677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1,"2768,2898,2627,973,180,2352,2678,2349,145,2607,336,2352,1271,849,1297,320,2575,490,2045,524,2768,2898,2627,973,180,2352,2678,2349,145,2607,336,2352,1271,849,1297,320,2575,490,2045,524,2768,2898,2627,973,180,2352,2678,2349,145,2607,336,2352,1271,849,1297,320,2575,490,2045,524,2768,2898,2627,973,180,2352,2678,2349,145,2607,336,2352,1271,849,1297,320,2575,490,2045,524,2768,2898,2627,973,180,2352,2678,2349,145,2607,336,2352,1271,849,1297,320,2575,490,2045,524"
2,"1622,1640,2332,973,407,1016,0,2493,2244,2602,1192,849,1596,352,1819,2373,1037,39,678,2053,2628,490,215,2591,2602,442,726,2007,2376,849,463,2928,719,402,1077,509,1640,490,1121,2602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3,"885,542,512,1624,849,1254,1135,2627,973,407,1407,39,1613,420,2768,456,521,837,1573,849,885,542,512,1624,849,1254,1135,2627,973,407,1407,39,1613,420,2768,456,521,837,1573,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
4,"1127,2898,2627,973,95,418,1407,726,1155,849,943,459,973,1421,1932,2053,866,2768,237,490,1127,2898,2627,973,95,418,1407,726,1155,849,943,459,973,1421,1932,2053,866,2768,237,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5,"418,849,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,270,2918,849,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
6,"164,1397,2627,548,694,2039,2575,361,2050,37,39,844,709,2055,1676,872,310,137,478,726,197,490,2007,1076,2039,587,2332,1573,849,158,849,1135,490,1466,364,1192,364,548,1468,1577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
7,"2412,1478,2050,2905,2024,364,548,2918,2627,2835,39,1613,2007,2115,2202,1062,973,407,2918,2318,2412,1478,2050,2905,2024,364,548,2918,2627,2835,39,1613,2007,2115,2202,1062,973,407,2918,2318,2412,1478,2050,2905,2024,364,548,2918,2627,2835,39,1613,2007,2115,2202,1062,973,407,2918,2318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
8,"2575,539,1478,2874,1495,2898,973,1319,374,40,849,1135,2325,1457,407,684,1577,0,0,0,2575,361,2874,2410,2288,690,2181,2766,757,2039,849,407,2210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
9,"1495,2898,2627,1489,2768,2918,2627,2875,981,1700,726,2438,59,1573,2627,973,407,218,849,319,713,2918,849,1816,320,2412,1478,2050,1623,374,849,1135,2627,138,279,849,1170,826,2332,2041,713,2918,849,1816,320,2412,1478,2050,1623,374,849,1135,2627,138,279,849,1170,826,2332,2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
10,"2575,361,2050,2586,71,2575,294,1117,39,1028,2890,1135,2627,598,364,774,2053,548,2378,1573,2575,361,2050,2586,71,2575,294,1117,39,1028,2890,1135,2627,598,364,774,2053,548,2378,1573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
11,"1573,849,158,1056,2607,1765,58,1466,847,548,112,627,202,2592,849,2709,1548,2575,539,784,713,2898,1457,2438,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
12,"2575,539,188,2007,2478,690,849,1192,726,361,2050,2053,866,0,0,0,0,0,0,0,2575,539,188,2007,1540,1192,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
13,"2575,1605,973,2602,751,2478,0,1573,2879,1819,2332,1463,849,1263,490,1133,1263,726,743,1819,713,1016,2850,726,740,2349,407,2812,2053,2797,1456,2768,2463,490,418,849,1731,2793,378,1920,738,1076,2039,2874,1397,1524,384,1402,849,2025,1692,1056,2709,849,184,2227,490,1258,2575,2408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
14,"2007,1315,726,1371,2221,837,759,1117,1604,1753,1592,849,361,2050,2874,881,2249,973,2333,0,2007,1315,726,1371,2221,837,759,1117,1604,1753,1592,849,361,2050,2874,881,2249,973,2333,0,2007,1315,726,1371,2221,837,759,1117,1604,1753,1592,849,361,2050,2874,881,2249,973,2333,0,2007,1315,726,1371,2221,837,759,1117,1604,1753,1592,849,361,2050,2874,881,2249,973,2333,0,2007,1315,726,1371,2221,837,759,1117,1604,1753,1592,849,361,2050,2874,881,2249,973,2333,0"
15,"1676,2637,2607,1470,102,2196,770,1820,2297,849,1303,562,2349,548,917,961,2297,849,2118,2020,713,2898,1986,1472,162,2474,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
16,"569,1048,361,2874,548,70,1917,384,2768,1784,726,1909,2007,936,539,1602,2349,973,851,963,569,1048,361,2874,548,70,1917,384,2768,1784,726,1909,2007,936,539,1602,2349,973,851,963,569,1048,361,2874,548,70,1917,384,2768,1784,726,1909,2007,936,539,1602,2349,973,851,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
17,"2575,539,1478,2332,548,477,2438,374,2053,548,31,981,1397,490,2007,445,2039,587,2874,770,102,2196,587,2332,2902,849,2708,2053,866,0,2917,1056,407,465,849,501,2347,2627,2003,0,102,2196,587,2332,2902,849,2708,2053,866,0,2917,1056,407,465,849,501,2347,2627,2003,0,102,2196,587,2332,2902,849,2708,2053,866,0,2917,1056,407,465,849,501,2347,2627,2003,0,102,2196,587,2332,2902,849,2708,2053,866,0,2917,1056,407,465,849,501,2347,2627,2003,0"
