,item_embed
0,"0.5577316046661989,0.42693288478322605,0.2479893891491272,0.306796998949721,0.589105550047981,0.6701265923299004,0.3517255205969174,0.47334258128603973,0.4541510912412841,0.15811861938767513,0.5475059046990931,0.6000071444580293,0.39076668230988365,0.5726748289336634,0.805629434360988,0.5005151277288883,0.5370830838908445,0.4808877452121309,0.8147635893703427,0.4490134978619879"
1,"0.32294515458519596,0.25335189814812237,0.20471870487700336,0.2353625409366428,0.42382679520692274,0.34003625757373035,0.3161702512709651,0.4230590372028717,0.29425323744027115,0.19906006256722666,0.25697823801723546,0.2411878746779734,0.22771181864568193,0.37223725639495164,0.3940266520393243,0.3148816353084069,0.3833596155925222,0.3279732437758393,0.43073056602734894,0.3082305055153164"
2,"0.6509082561276557,0.6739645314271373,0.39415967828368864,0.04787184845282854,0.11454831970475231,0.4110430075168568,0.34826687990554855,-0.10151460444676443,0.41639240486414125,0.5186408203501944,0.13457253304813468,0.44268497678942564,0.19733574759335595,0.33255197923284674,0.5652493228851739,0.2668498435034837,0.5775967261160043,0.5984409306555626,0.4536056224937114,0.030655776537596803"
3,"0.31203674826967936,0.054198653338362414,0.4598476315001075,0.33917364818810897,0.6316009969181999,0.1453695256490098,0.4572897040519424,0.3297716037494197,0.1614161546924292,0.6717170602746575,0.31462778900491734,0.35118105944870043,0.6882441180087756,0.33329328859384394,0.33354048935511804,0.5723074132976268,0.43882116113208014,0.28927440123764014,0.2842717808938212,0.5294688538343517"
4,"0.41246854049672493,0.6055153546717502,0.4445360700918658,0.3169990937978625,0.5278223263576032,0.2704861589340293,0.5868739150003235,0.29250531978859223,0.5735384841286617,0.6934722273275999,0.31103220738571324,0.4241628174729888,0.570488990172125,0.37296882298329626,0.6248096074522047,0.37956022968967307,0.623231993269968,0.689196728866881,0.5078052681507141,0.4081503918879382"
5,"0.4077452286152906,0.42032409738684623,0.4469381730807844,0.281921693564772,0.03018528699231134,0.1292099976387561,0.4010746948767306,0.2643373445710185,0.20978865750080578,0.40939004467276446,-0.010197405256014988,0.38458867818804676,-0.047660625560869106,0.12514635103373617,0.2205865300225936,0.5211906010722229,0.1162117922107618,-0.008611544419976585,0.016311436941755363,0.11823489161603085"
6,"0.4276370058975563,0.3487392838617277,0.5820757826219342,0.4985154888445158,0.26182798799636053,0.3878051749531872,0.22047941495310955,0.4000710971628994,0.42048933222369733,0.5238512295170461,0.3174866718498996,0.5262729735516654,0.27066557648892536,0.3588720990573299,0.47631450841116424,0.44951623895928156,0.3572566543470884,0.6273997100336228,0.5580114921990369,0.4431182475129833"
7,"0.33635791858949154,0.4726573095538458,0.530838070344587,0.7196965336677569,0.22616685221333754,0.2635850940988873,0.4638225897730544,0.5374591539656817,0.38838294864578893,0.507938354836533,0.3250739900484977,0.5781248211067993,0.4819366995201439,0.4365010713421163,0.2859512834321533,0.5598025845470885,0.3250590057285206,0.43931864199698156,0.44072619285659476,0.4500339259578799"
8,"0.17257416831185424,0.6030189744119892,-0.009064501782517078,0.45206516008338976,0.6671068234950307,0.28455958069084913,0.7601845879024623,0.7065984879940393,0.5843697867985265,0.38197582696494975,0.3905813802264113,0.23106179317576342,0.5985012239901175,0.3935753366922798,0.5537610826822893,0.24602563127014407,0.6753069456628827,0.3797836297477436,0.5082126089774295,0.23816603791836521"
9,"0.1677378550768584,0.13271770862677096,0.48211411040376495,0.5685854172282728,0.48636343392651316,0.5926018099880593,0.5872188975437183,0.5542203573479593,0.5272420775363569,0.29391784136215915,0.4049229874525304,0.45267901708632496,0.5491342344047544,0.20682462008183444,0.3958076042625418,0.6953364283083077,0.3465541040771712,0.4230369683662007,0.29963445031206937,0.20545070846178948"
10,"0.6390049349065052,0.3734270967193907,0.7015541871774603,0.4641122181068968,0.16667065396807465,0.3951643658518172,0.28453351704887087,0.5330330078949392,0.6465733511266427,0.5856439994607412,0.4681438532567216,0.8687398262476346,0.5022310209094069,0.532437835180174,0.346959488975943,0.20272475098186812,0.3967320706096271,0.17631485912967904,0.20587800888832083,0.21575230524112873"
11,"0.49368976728042435,0.42325017743745236,0.3304342802430182,0.43466498968302525,0.5731367671443705,0.6685505640358409,0.4505426712234479,0.5797170343567679,0.4250193664464986,0.2890937856092982,0.6243237150910579,0.44185409561515626,0.5946663624895747,0.4825088497012395,0.7151728668839201,0.35037216793649634,0.47595953970166516,0.7148323627397665,0.7876866120848127,0.4526655947830798"
12,"0.4488035831758454,0.6859835008764714,0.4420710178102605,0.7765195603411114,0.20378535819993493,0.3872841946359515,0.37110906790414555,0.5097360176707807,0.2892142138145891,0.6466685605357568,0.3969679593080217,0.2728655337903515,0.2747390188815201,0.341444990762368,0.47778384896157133,0.20496096863913513,0.2848343447555015,0.4008440501790382,0.42439788741511936,0.35910809199473875"
13,"0.5751679402584481,0.8568165762004211,0.38869876260025066,0.8099052999826807,0.07552336064833468,0.46549179780553723,0.48522940981323137,0.23532908828869506,0.10763418817366077,0.7310921550852594,0.2583370123786477,0.42809686601403446,0.5147590545508917,0.23777358658090736,0.94265120868735,0.6205745983099479,0.5364608078424388,0.49544677086060346,0.5702093374895043,0.645227634277841"
14,"0.5617996211105828,0.5464032624248004,0.4947144970388149,0.29920697151543896,0.4509285362458629,0.3748453185411466,0.49011273603769084,0.7380262594226772,0.40083279950903405,0.5331263297903471,0.4689778885034873,0.19343995036210815,0.32470267326480007,0.6184994529967291,0.7386310318393996,0.37118300583492464,0.4749872165006176,0.37378830425034143,0.259351654436681,0.3612967313152016"
15,"0.3088193987846489,0.39599552629256496,0.11877023817430081,0.4614011933014981,-0.04660502844259759,0.0013971463109240857,-0.15767833583089086,-0.009557079308300742,0.2558987002221304,0.9121322651730507,0.24707752128770358,0.296263012556368,1.0280054399070364,0.1354225278766698,0.8396625065437057,0.30109413538919755,0.8253917214165404,0.786720886501136,0.9119591775634538,0.35397742855243547"
16,"0.3892259874372291,0.06733482661836895,0.5793200368553088,0.41981992326599726,0.7895555530374017,0.179642413799123,0.5690793505773087,0.4059361442853435,0.1999986255119274,0.8393681650953498,0.3908957785670668,0.43991050605566234,0.8639533331415934,0.4196873786941138,0.4198849916644985,0.7173177645907327,0.5546365915359833,0.3560881539687407,0.35360942764080455,0.6592731136969813"
17,"0.7161058345889552,0.46126506133478085,0.2405494791373136,0.383197954677012,0.5603564403492906,0.5853480454635005,0.2076526979129791,0.6143402356595578,0.5114720456720854,0.40812161305148476,0.6438583809740105,0.23357834549207004,0.5180169149274125,0.7365542664700555,0.5584860999931085,0.461779989504687,0.29343405977236015,0.41022456993717443,0.2644603575955313,0.6519206454856992"
18,"0.34445529303551486,0.5144019275067739,0.2352900641120426,0.4855569196901993,0.04493534287183332,0.2761972328110124,0.29034392308880547,0.141928377138658,0.06440987082873172,0.43911599051571537,0.15498117024639269,0.25986883502780767,0.3101977822900133,0.14097982180064472,0.5611866862907263,0.3715461211654665,0.3245027677625738,0.29466776872332706,0.3440690464729145,0.38881218549928304"
19,"0.7167769870849491,0.46122179197935975,0.238229387950883,0.3773766232291584,0.5628096449167821,0.5903768832178042,0.20530196961281327,0.6129024198103524,0.5071254405471599,0.40942123558157395,0.6454860237454413,0.23692643454924092,0.5110953289959825,0.7362616602238495,0.5563097251500131,0.46697330874652243,0.29361451489362544,0.410353663303315,0.2649704013427708,0.6542557516923805"
20,"0.6531954987307375,0.6715627206753342,0.39205115013357944,0.04350305955679091,0.11242535417234259,0.40927973013869673,0.3457337579901311,-0.1027679667759041,0.41659554463013115,0.5185157572009468,0.135603134935578,0.4417044422387245,0.19376820333339276,0.3309122315551953,0.565889609196597,0.2687086287188669,0.5787160332900256,0.6042833861702662,0.45392863034520675,0.030136357099075122"
21,"0.38392281758606156,0.279402943384575,0.35203553294234313,0.4319373729095948,0.34601047084430714,0.1769180469547174,0.283129250201665,0.38673948998344265,0.3688496615940407,0.4268655434151744,0.20837864784790133,0.3626395767327944,0.297329605385382,0.33788414482919116,0.2836042686258231,0.3098050644179693,0.3559388639447138,0.3087390011861745,0.32490056443694565,0.27699901821122"
22,"0.49196109560929807,0.37275731694511127,0.5008269615145844,0.5628061420827137,0.4189695100024137,0.2726281758158596,0.3451488136140991,0.4960482006728675,0.48178206934021595,0.5641563430989572,0.2891425600300055,0.49739807495697613,0.37015565209265944,0.4328042198908125,0.40462070626396973,0.4206441870378388,0.4534238786315246,0.46214615031248374,0.467203756512099,0.38617002533747863"
23,"0.6002226121157977,0.1970835700237096,0.40400012368187005,0.4915015190233131,0.37460807133773255,0.6043041922633392,0.6888974276289104,0.4560675215513645,0.2949996043497911,0.282863299789581,0.3610850162036541,0.401311118728531,0.5627112105566172,0.3963195601203757,0.08287126229501382,0.6342807582907549,0.6137944773790305,0.47364056069442745,0.6283623591451871,0.42968621093403986"
24,"0.4791533493566687,0.2849319684349424,0.5238738655319536,0.3439076018809392,0.12452129630281275,0.29468980459218086,0.21546420036053232,0.3961770475236271,0.4868064970839726,0.44001166649216533,0.3482365716357134,0.6517713030396031,0.3745191796315243,0.40249412827559305,0.26373958040293743,0.15506280318315036,0.2941805839946593,0.13220889859333754,0.15564536268087487,0.16638883515833866"
25,"0.47705298002486296,0.5523766377414747,0.5111774857915312,0.45060355176917904,0.4032387830777511,0.29940395503103345,0.19360218530698434,0.34369594018500416,0.8277410304173414,0.4772879372868008,0.5283537648438053,0.2804244822345903,0.25827077267656556,0.3657442840563917,0.3569135670303455,0.46200103765411843,0.15288797953421532,0.3268758313919894,0.4035719670265234,0.6927854059544144"
26,"0.8101505609495109,0.8451684925646414,0.4890473681019403,0.03688553435774805,0.13085945991691322,0.5066942159568388,0.42489244349566324,-0.15192022224768814,0.5197535488944891,0.6547488784464867,0.1538103681902504,0.5533700783976311,0.22964459491729658,0.4038893203207965,0.7118276678288032,0.3317046049958964,0.7166977536583102,0.7579810073918866,0.5702757999013579,0.019622350827608336"
27,"0.31245562996583165,0.24528149863403115,0.6001009384144613,0.33049655490121543,-0.017027029158727437,0.5104342349585378,0.004043104741871469,0.164222726375502,0.2344939343741781,0.36798510983950744,0.332636857147924,0.5051242894635734,0.08510978562849318,0.20657733353259705,0.5095265461030972,0.4654189139096253,0.12907226166782576,0.8191522741039061,0.6052834824918872,0.5042562393632666"
28,"0.2451822910635638,0.5680091941145566,0.14903226454263513,0.4643745230061305,0.5941751069943936,0.3822065340390394,0.7863958855276374,0.5963750877488869,0.568623830145742,0.3399443988663336,0.3869307216412656,0.4042723832156248,0.5534739847909816,0.43360393772133227,0.547047101125739,0.39350866548737135,0.4989981668062333,0.5765894457626073,0.5996541224626762,0.44809278743463293"
29,"0.4898908428274148,0.43259957036169044,0.47813497386365644,0.35970377915669005,0.2545268337154461,0.3864346430249356,0.4453252727796559,0.37603174139713047,0.29345506327220383,0.3896350894303112,0.3154706127602828,0.47345401666578396,0.19006251422155157,0.30142936460731207,0.42892266266787443,0.487059314614369,0.23741766361905742,0.35801820838380066,0.35011724125605165,0.2931036113049871"
30,"0.0011525978287041383,0.2916700914739434,0.6064706758874999,0.17944101933687506,0.4190694803937445,0.8885494872864186,0.470240734508091,0.38375787124179894,0.06907275311147232,0.3958964680880568,0.30402590845214095,0.9272011357285104,0.9760085320708287,0.41633047450575555,0.9315592043030453,0.2997290042917413,0.3142894630950369,0.4818270718773975,0.8862043961473346,0.9285887586479294"
31,"0.31026245017923526,0.22747155062023847,0.20771001571480613,0.24483053505336322,0.31754438915727934,0.42550486553995676,0.2432614126280163,0.33186324175604315,0.22647354297105,0.1638940044283088,0.4046752120944162,0.24182555518497284,0.34132062875644753,0.2920772957488315,0.4306385923940018,0.1957615561698861,0.2534043589306398,0.4558735172499977,0.5009909689382834,0.2790777056089342"
32,"0.45170028741951307,0.412122952681724,0.5508295505364955,0.2340500859012334,0.46534123880207934,0.5886249132079756,0.0929052498963887,0.6620473519620038,0.4084304071614958,0.4696346435154384,0.36283608077535606,0.620195273740401,0.41571542432203507,0.4438304891235898,0.4467729387462385,0.32594770664930156,0.38415373280639237,0.5010566032268826,0.28867904363045743,0.43211907393101306"
33,"0.4076631319277384,0.43827160250722663,0.6895194593585665,0.5652535660075246,0.3592122788007792,0.3789742433629198,0.7022391750741617,0.34136494744498497,0.11788097768031308,0.7019152293834946,0.389864822556107,0.5859032457386132,0.6343771731378103,0.08783749514608159,0.7396337581084002,0.35015446650836735,0.4369262267513877,0.42628770283073114,0.18897446938424717,0.6815380601587131"
34,"0.5397346537899624,0.39951883502587054,0.272564260949123,0.4293929213997645,0.6420648894736994,0.6913177805235416,0.4922033400470793,0.6640687941525335,0.3784014118623629,0.2434645588175626,0.6574836368192101,0.33286998916216987,0.7154390204048714,0.46762282050873355,0.7025010731350035,0.250862600907709,0.46877176009735183,0.6537953982000648,0.7691163829773017,0.3981093988070507"
35,"0.32981398373988974,0.2893354761489634,0.3182420834552272,0.2426675963975602,0.17207298878118493,0.2589738423288838,0.2948520081165923,0.24773757015849124,0.1981308496051208,0.25885584701216147,0.207133171534761,0.31236874979004736,0.12607506537086346,0.19924926536256424,0.2874212033608848,0.32592502966264647,0.16108664655464014,0.23946071557141776,0.22998307390871892,0.19566995800349812"
