,words
0,"11049,11608,1667,10605,6544,11531,6491,5897,3311,7547,9492,3977,8637,6662,2396,2719,10887,3277,10790,966,6504,11608,9737,1123,623,7105,1123,623,1171,1123,8553,3904,948,3888,4796,5897,9826,11369,1674,8361,12046,3293,658,1394,11608,10482,3528,11518,3365,3542,5756,0,10485,305,3517,0,5248,12046,1200,11845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1,"3380,4624,4697,3000,11370,5754,1010,10306,10585,3930,8170,6395,7390,4688,7075,440,7640,5897,4682,4301,2719,5462,7373,6405,3420,11416,6618,8065,4914,11608,11115,12080,12328,4697,1916,7547,4682,6329,2719,6618,2719,12328,4697,6405,6761,6651,10369,8013,4687,4114,12157,9915,5480,8417,7547,9013,7097,11390,226,3930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2,"6544,505,5468,7234,3000,7547,4084,1995,6598,5801,7962,10886,6551,11608,2824,6912,4469,640,832,7962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3,"5983,12131,4069,4954,3314,658,9597,5893,6405,9269,1475,623,257,4810,6651,11608,6761,9862,6586,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
4,"6184,6405,12147,3365,7272,5754,2996,3452,1200,3626,11425,1916,4731,4574,10600,0,4383,0,6761,1639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5,"2070,11608,5204,7033,0,7962,3311,6862,588,1754,3000,12003,7360,7866,7547,2412,0,2719,93,2948,2962,8637,10498,11171,5077,4914,7547,11623,3000,558,11608,7193,10716,7683,6651,12012,11941,9941,4976,11993,7962,11531,1019,6830,1200,11782,4976,6485,3398,5897,11608,2383,8330,3220,8318,514,9081,7962,5486,7866,10447,1916,8649,3991,3828,5439,5893,1688,0,2325,358,12100,1916,11608,5204,6971,9647,0,3719,6651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
6,"8323,5345,10886,2494,1959,2328,6521,7547,11664,5279,6405,305,4009,10009,3813,6651,4951,0,2719,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
7,"5759,4921,10064,6262,1544,7316,5754,5644,7054,11726,6551,4524,640,9947,6405,7547,11073,7962,10849,7547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
8,"2719,7997,11046,6405,5468,2064,562,7777,11524,3930,640,10835,4914,3843,1916,3578,3719,6937,3000,6694,2239,2453,12124,9813,6651,5737,4921,3000,8155,2984,4510,5897,4547,8858,9270,7962,10171,6551,4921,2199,2719,7997,11046,1916,5348,3623,7547,212,11046,505,4110,1397,5468,1912,3716,6521,1327,1916,5468,5336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
9,"2719,7269,4976,7547,969,6405,2066,1916,8076,5707,566,5480,3293,70,2956,6040,2719,1913,1524,4525,4517,11608,1271,208,5754,11608,4834,1524,11022,4976,2005,1916,11741,250,0,2652,11698,8843,505,7547,3884,6405,7547,4213,4922,4566,6651,7547,4811,889,560,11108,10485,11608,2066,969,5754,2996,12127,2919,3884,969,6405,11608,1271,6053,5754,2996,3000,7547,9954,9645,350,8903,12209,6525,1123,6405,10887,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
