,words
0,"1.2114286422729492,0.21208304166793823,-2.765817165374756,-0.025917217135429382,-0.17389249801635742,-0.8047783970832825,-0.44811511039733887,-0.2526594400405884,-1.5275647640228271,0.42630794644355774,0.9949068427085876,-0.009196572005748749,1.0762271881103516,0.8246774673461914,-1.1048564910888672,0.976496696472168,0.8945234417915344,1.1202192306518555,-0.5637561678886414,-0.06031674146652222"
1,"0.2268497347831726,-1.0501716136932373,-1.2304561138153076,1.666562795639038,-0.6642243266105652,-0.4193900227546692,-0.03754343092441559,0.10406990349292755,-1.0744829177856445,-0.9665035605430603,2.5854623317718506,-0.03968207538127899,-0.6220822334289551,0.7853838801383972,-0.47723445296287537,-0.3637722432613373,0.5834515690803528,1.1477127075195312,0.9517257809638977,-1.1056760549545288"
2,"-0.8104907870292664,-1.5409866571426392,-0.6380472779273987,-0.708134651184082,-1.3787271976470947,0.6202179789543152,-1.3788210153579712,1.0132102966308594,0.11959026753902435,-0.5861862897872925,0.27774861454963684,-0.013371720910072327,0.36425071954727173,1.5996556282043457,0.28677138686180115,0.7224081754684448,0.8076738715171814,2.3714942932128906,-0.24579209089279175,-0.882463812828064"
3,"-0.1457737386226654,1.3332444429397583,-1.8754287958145142,0.2607540488243103,0.27487117052078247,-0.44948530197143555,-0.8476856350898743,-1.2033414840698242,-0.9695937633514404,-1.0537675619125366,0.5527966022491455,-0.30533769726753235,0.13800148665905,1.8419029712677002,-0.8123433589935303,0.086700439453125,1.1935557126998901,0.38237443566322327,1.9813776016235352,-0.3828210234642029"
4,"-0.051262445747852325,2.3081138134002686,-1.3085157871246338,-2.124328136444092,-0.515409529209137,0.08294916152954102,-0.29708781838417053,-1.1489896774291992,-0.5653811097145081,-0.4625804126262665,1.3690061569213867,0.8128261566162109,-0.43041229248046875,-0.4244071841239929,0.596903920173645,-0.1844186931848526,0.9891324639320374,-0.011850591748952866,1.4000016450881958,-0.03428953140974045"
5,"-0.0164133682847023,0.45354828238487244,-1.5519205331802368,0.4533240497112274,-0.7355722188949585,-0.32499265670776367,0.10878176987171173,0.8667861223220825,-0.43477481603622437,-0.8797925114631653,0.9688140749931335,1.2961033582687378,0.09957492351531982,-0.019716836512088776,-1.6444358825683594,0.9755539894104004,-0.7142037153244019,1.657444715499878,1.3192827701568604,-1.8773914575576782"
6,"0.6784868240356445,0.3148626387119293,-1.606697678565979,-0.18138271570205688,-0.2348441779613495,-0.43119144439697266,-0.6061473488807678,-0.6608365178108215,-0.6347496509552002,-0.7696755528450012,1.9248661994934082,0.18388037383556366,-0.06813672930002213,2.176058292388916,-1.245504379272461,-1.0213700532913208,0.20534080266952515,1.307960867881775,1.266042947769165,-0.5969626903533936"
7,"0.6964402198791504,1.2537156343460083,-1.7391334772109985,0.806613564491272,-0.29855892062187195,-0.8160032629966736,-1.5843983888626099,0.4561053216457367,-0.4542992413043976,-0.7348273992538452,1.1641515493392944,1.480433464050293,-0.5880915522575378,0.7169674634933472,-0.11658419668674469,-1.589449405670166,0.5164802074432373,0.4058043658733368,1.3480428457260132,-0.923408567905426"
8,"-0.3493495583534241,-0.7382903695106506,0.5679972767829895,-0.4057719111442566,-0.4566528797149658,0.34407973289489746,-0.992476224899292,-1.4790138006210327,0.5044656991958618,-0.9105446338653564,-0.27623653411865234,0.15062442421913147,-1.0298454761505127,0.3383432626724243,-0.47440725564956665,1.7591532468795776,2.325533628463745,1.97282075881958,-0.4841657876968384,-0.3662639856338501"
9,"1.8551511764526367,0.920904278755188,-0.3719058632850647,-0.8368818163871765,-0.4773727059364319,-0.3801596760749817,-0.02026059478521347,-0.7531505823135376,-0.8898382782936096,0.10740423202514648,1.7413827180862427,-0.6970646381378174,-1.9508237838745117,-0.7099090814590454,1.5343388319015503,0.0748339295387268,-0.015459999442100525,0.95540452003479,0.9625552892684937,-1.0491480827331543"
10,"1.3533563613891602,-1.1071298122406006,-0.4177364706993103,1.0736985206604004,-0.08236502856016159,-0.08821438997983932,-0.6686089038848877,0.6704295873641968,-1.5175520181655884,-0.4297108054161072,-0.1499594748020172,1.0856190919876099,-2.669220447540283,0.6581514477729797,-0.20728039741516113,0.47993072867393494,0.026008034124970436,1.2103976011276245,1.2309693098068237,-0.45078256726264954"
11,"1.1794803142547607,1.0511935949325562,-0.7326506972312927,-0.14513012766838074,-1.0281219482421875,0.34061315655708313,-1.9118472337722778,-1.0669251680374146,-0.9359667897224426,-0.7145591378211975,0.6616647243499756,0.7479609251022339,-0.358275443315506,-0.7163074612617493,-0.9469966292381287,0.5780332088470459,0.9543018341064453,1.5201942920684814,1.8435735702514648,-0.3202352523803711"
