,words
0,"-0.9609118700027466,0.6813392043113708,-0.6637497544288635,1.1299420595169067,0.041533827781677246,1.008834958076477,0.8849202394485474,-1.3367935419082642,0.831619143486023,-1.616734504699707"
1,"-1.303231954574585,0.3773126006126404,0.2846604883670807,0.6041717529296875,-0.6346450448036194,-0.22003689408302307,1.0947411060333252,0.71723473072052,1.1407735347747803,-2.0609800815582275"
2,"-0.3659950792789459,-0.03281854838132858,-0.8366235494613647,-0.08382745832204819,0.2740088999271393,0.5694831013679504,1.6964409351348877,-0.492514967918396,1.274966835975647,-2.003120183944702"
3,"-2.1796436309814453,-0.4856060743331909,0.7759209871292114,0.7352803945541382,-0.035243332386016846,0.6734998226165771,-0.06302076578140259,-1.2580701112747192,0.6520726680755615,1.1848104000091553"
4,"-0.6375428438186646,-0.1605261266231537,-0.8038465976715088,0.6082568168640137,2.1151771545410156,0.17985576391220093,0.39962825179100037,-1.534034013748169,0.787806510925293,-0.9547752141952515"
5,"-1.2164421081542969,0.08450232446193695,-1.6270641088485718,-0.6294435858726501,0.9272249341011047,-0.3024565279483795,1.7221115827560425,-0.54144287109375,0.848369300365448,0.7346408367156982"
6,"-0.8101296424865723,-1.1155829429626465,0.13805091381072998,-0.035468198359012604,-0.5327005386352539,1.8543357849121094,-0.029957689344882965,-0.022440217435359955,1.7263622283935547,-1.1724696159362793"
7,"-2.1019036769866943,-0.04168468713760376,-0.9402158856391907,0.6191564798355103,1.1850061416625977,0.4518558382987976,1.0946259498596191,-1.036816954612732,0.6445780396461487,0.12539908289909363"
8,"-0.6774503588676453,-1.2136610746383667,-0.3984196186065674,-1.2920671701431274,1.155030369758606,1.2571126222610474,-0.5269407629966736,-0.2679072618484497,1.7055882215499878,0.2587149143218994"
9,"-1.6098500490188599,0.6116522550582886,0.33998969197273254,-1.0227620601654053,1.786746621131897,0.9871995449066162,-0.42761433124542236,0.49600160121917725,-0.03192611038684845,-1.1294374465942383"
10,"-0.6684006452560425,0.6906179189682007,-1.5581775903701782,-0.4214400351047516,0.9820327162742615,0.5605079531669617,0.5168819427490234,-0.46657484769821167,1.705560326576233,-1.341007947921753"
11,"0.5177006125450134,-0.8442332744598389,-1.506463885307312,0.5071804523468018,0.9291023015975952,-1.1181912422180176,1.9404516220092773,-0.6748939752578735,0.3766438961029053,-0.1272963583469391"
12,"-0.4361269176006317,0.42869919538497925,0.1376342475414276,0.4407386779785156,0.26091626286506653,1.299940586090088,-0.12118704617023468,-1.1136772632598877,1.283236026763916,-2.180173635482788"
13,"-1.633413314819336,0.5436161756515503,0.3142279386520386,-0.5559504628181458,1.3440265655517578,0.6837066411972046,-0.8012760877609253,-1.2902940511703491,1.4305745363235474,-0.03521808981895447"
14,"-0.49460411071777344,0.6650907397270203,-0.8335540294647217,-0.013808966614305973,1.2464277744293213,0.7172242403030396,0.5004346966743469,-0.5272976756095886,0.9867904782295227,-2.2467033863067627"
15,"-0.5656068325042725,-0.20789097249507904,-1.1995530128479004,-0.37230533361434937,1.8967456817626953,-0.834572434425354,0.4737517237663269,-0.7642732262611389,1.7137424945831299,-0.14003856480121613"
16,"-1.6644479036331177,-0.3489550054073334,1.3247219324111938,0.31847473978996277,0.060284435749053955,0.06722405552864075,1.0533009767532349,-1.885624885559082,0.551830530166626,0.5231910943984985"
17,"-0.9015238881111145,-1.671293020248413,1.084277629852295,1.285629391670227,0.26949143409729004,0.7029575705528259,0.7640462517738342,-0.7833256125450134,0.49660950899124146,-1.2468695640563965"
18,"-0.5223734378814697,1.1769402027130127,0.2014971673488617,-0.1932743638753891,-0.9615384340286255,-0.4596359431743622,1.3008625507354736,-1.9153274297714233,0.04417914152145386,1.328670859336853"
19,"-1.380206823348999,-1.5846960544586182,0.3275891840457916,-0.49261951446533203,0.24513545632362366,1.353212833404541,1.2138800621032715,-0.7641041874885559,1.1324678659439087,-0.050658732652664185"
20,"-0.3436774015426636,-0.9492921233177185,-0.9499109387397766,0.3981219530105591,0.45309555530548096,1.6482007503509521,0.7717846632003784,-1.4206480979919434,1.2701915502548218,-0.8778660297393799"
21,"-1.6232457160949707,0.028106003999710083,0.18273590505123138,-0.4590996503829956,-0.21087297797203064,0.545255720615387,1.6436342000961304,0.09719677269458771,1.3205575942993164,-1.5242680311203003"
22,"1.1137537956237793,-0.31401780247688293,0.6557953357696533,-0.5558003187179565,1.069847822189331,0.11587756872177124,0.48652806878089905,-2.517712354660034,0.27845773100852966,-0.33272963762283325"
23,"-1.7540749311447144,0.5833203196525574,-1.0488338470458984,-0.16314789652824402,0.6847230195999146,0.09673497080802917,1.6886357069015503,-1.1147193908691406,0.9356869459152222,0.09167495369911194"
24,"-0.05679815262556076,-1.558305025100708,-0.10363288968801498,0.056515514850616455,1.5353797674179077,0.030286923050880432,-0.4180218577384949,-0.38398632407188416,1.944313883781433,-1.0457520484924316"
25,"-1.6762638092041016,1.0489201545715332,1.0149991512298584,-0.5072226524353027,0.22206038236618042,-0.5800111889839172,1.493297815322876,0.1471710503101349,0.2813039720058441,-1.4442546367645264"
26,"1.1828266382217407,0.045198649168014526,-1.4953114986419678,-0.6361483335494995,2.1052279472351074,-0.5562652349472046,0.48132193088531494,-0.3885965943336487,0.16075944900512695,-0.899013340473175"
27,"0.21825438737869263,0.49364784359931946,0.12945759296417236,-0.448907732963562,-0.5621083974838257,-0.9477970600128174,0.3996351659297943,-0.024600833654403687,2.3511242866516113,-1.6087054014205933"
28,"-0.8511098623275757,-0.8138256072998047,-0.8106739521026611,0.5716965794563293,2.3563313484191895,0.8167816400527954,-0.66954505443573,0.37247902154922485,-0.06761278957128525,-0.9045215249061584"
29,"-0.21658127009868622,-0.47628504037857056,-0.8752700090408325,-0.40822628140449524,-0.943632185459137,0.8830118179321289,0.6851362586021423,-0.9394777417182922,2.3998892307281494,-0.10856426507234573"
30,"1.561861515045166,-0.5467873811721802,-1.3425712585449219,-0.5490800142288208,0.42990195751190186,0.562809944152832,1.035775899887085,-1.6795830726623535,0.8219242691993713,-0.294251948595047"
31,"-0.5996923446655273,-1.2798556089401245,-0.39893418550491333,0.2599809467792511,1.9413799047470093,-0.5910680294036865,1.506260633468628,-0.4665238559246063,0.5564267635345459,-0.9279744029045105"
32,"-1.3340153694152832,0.9834027290344238,-1.3120225667953491,-0.6413835883140564,1.2666032314300537,-0.23870348930358887,1.0965543985366821,-0.5871065855026245,1.2828303575515747,-0.5161589980125427"
33,"-0.8073444366455078,0.23830875754356384,-1.3605930805206299,-0.1579350233078003,-0.6247643232345581,0.7558320760726929,1.0731050968170166,-0.7586113214492798,2.120694875717163,-0.4786929786205292"
34,"-1.9042880535125732,0.3436654210090637,-0.39405062794685364,-0.6006697416305542,1.7365119457244873,0.15711888670921326,0.6453310251235962,0.6003099083900452,0.6439678072929382,-1.2278964519500732"
35,"-0.9234552979469299,-0.11403205990791321,-1.5348938703536987,0.021453291177749634,0.7444021701812744,2.1155014038085938,-0.024846583604812622,0.7721697092056274,0.016620278358459473,-1.072919249534607"
36,"0.9775221943855286,0.19686928391456604,0.6127838492393494,1.1918225288391113,0.399353563785553,-0.5808715224266052,-0.9264335632324219,-0.36600369215011597,0.7620639801025391,-2.267106771469116"
37,"-1.0211021900177002,1.2761151790618896,-0.7740901112556458,0.7027214169502258,0.19366022944450378,0.6042247414588928,1.3485727310180664,-1.9713141918182373,-0.00041663646697998047,-0.35837116837501526"
38,"-0.7122951745986938,1.131690502166748,0.6509116888046265,0.2742179036140442,0.29528331756591797,0.7558687925338745,-0.18648406863212585,-1.7983944416046143,1.1549376249313354,-1.5657354593276978"
39,"-1.6890846490859985,-0.28112590312957764,-0.5164642333984375,-0.1429930478334427,1.2130244970321655,1.0145668983459473,1.1879597902297974,-1.4529838562011719,0.8507392406463623,-0.18363885581493378"
40,"-0.3626335561275482,-0.30379873514175415,-1.1796456575393677,-0.6304425001144409,1.6841912269592285,0.23791265487670898,0.057197123765945435,-1.093821406364441,1.9419397115707397,-0.3508988320827484"
