,user_embed
0,"0.31813444531501983,0.40786488049800845,0.35563341178376995,0.24124020785622344,0.3896826007470607,0.47954763710521864,0.5271887643849443,0.236771140988864,0.41725630459634105,0.3895064640836163,0.4210989762706222,0.2762317095602277,0.43454583396421864,0.3570042118340321,0.2900678074108885,0.3293948045534755,0.4809570668415126,0.49226730251803086,0.4457040412719326,0.4899406483292084,0.3482997462490546,0.4689667150581156,0.3172716420740077,0.3415764522218833,0.39541068841125593,0.4603937776514516,0.4928395521974215,0.5593158793007863,0.46759516212756624,0.4927357592698594"
1,"0.33043141631719075,0.3839113986150479,0.261786941932115,0.25338199640483106,0.3142697780352101,0.41231148368981196,0.4173511728036903,0.16269712126150174,0.5770749126433373,0.4483351244901271,0.41543483455214375,0.4058914970794791,0.37377350000149884,0.3971107377794761,0.26753931567461053,0.31446425160118896,0.1707251397476436,0.32258256516133105,0.44208604546776953,0.07725478075194721,0.4526814694146289,0.27746620942602435,0.4274275440164978,0.4896499234757447,0.41459783452756077,0.27190208826574086,0.22153793511336284,0.4060416467538608,0.42609329707814064,0.3979772794042105"
2,"0.35663329333335864,0.28365402867341777,0.44281876723738756,0.21710720143872472,0.1893401698082569,0.3519462265326671,0.4837405978995853,0.2688835020572445,0.4868658398207709,0.40671700870065397,0.2614889974299151,0.5386933847447216,0.3914200810198515,0.2780702724863889,0.5580800224831194,0.4211575288513227,0.32611300999594195,0.4532229244973977,0.46740920940439523,0.5330057231926207,0.31444949460185917,0.29209233296902326,0.5287237129508179,0.4384476624391045,0.4548521956732176,0.28051425561169446,0.4122655434392626,0.20149769065638581,0.1649637638814282,0.46296026737105134"
3,"0.09531534483275747,0.15752184713174178,0.29557657567195117,0.4204210465246302,0.28899386651494385,0.19703424740693698,0.5000379247673459,0.5091721779661394,0.22145272539767266,0.36464256714530324,0.35034371947341203,0.5253568443200981,0.31360649812767394,0.3354329892565705,0.4953009750897536,0.3144279217513887,0.13899814236086855,0.2632738724399172,0.48030143098616407,0.6616928826860283,0.21357390092866654,0.4270442168358917,0.25461998911429257,0.4727055689958162,0.3487080835748789,0.4884583247749642,0.38503917867734355,0.5592820997369163,0.5148696648746762,0.22801561523829444"
4,"0.17700413138936302,0.19381376486603127,0.13484406187238276,0.4065621169224546,0.6906564995839225,0.4142863162816205,0.43609151205815505,-0.02711562550916513,0.3595566274871792,0.4880479509227446,0.587361041874734,0.4627794046527844,0.26642065944755133,0.8042289028474282,0.3710269747683499,0.43949586498339377,0.5621687683824965,0.41807046840895007,0.734113170094698,0.42485828083924987,0.20900471185787933,0.5569430323133998,0.25936609329282895,0.37770858112147915,0.21812393832078078,0.5270588330720698,0.36874397951204807,0.6920700216131073,0.4467263343338843,0.09727349084959036"
5,"0.4584810332869327,0.39449160023465957,0.2882748661924451,0.42890540124670823,0.3100063515809309,0.6017705898178725,0.3895089841823802,0.20627557080834824,0.482524244656436,0.4626877745914759,0.208851318994769,0.3729177341499232,0.19379214715109436,0.35579206090508175,0.26120561158638494,0.48627906725853653,0.6089482398847046,0.4481186026687677,0.5249570709558105,0.23479531268271744,0.5457281280572545,0.4301903089388651,0.6334790965604088,0.42653131467934746,0.4059957291079184,0.48119176350729953,0.456094919059783,0.11989668311207198,0.4596875695956385,0.3597683077206769"
6,"0.5617059734507581,0.3553169981305835,0.5896348300775979,0.6100483937059067,0.15987244178127513,0.44640039440382545,0.46544913233934554,0.418482714186243,0.121720031114606,0.4036645467323361,0.26982057483364413,0.3744770930040185,0.4019246234647666,0.4169374500668579,0.4547238373664847,0.49830613503422533,0.23272581445178894,0.537976185194576,0.06715685201503564,0.09326110701258365,0.4700490884062809,0.48199028500796615,0.45402753034447063,0.2749475714469995,0.30102657999089344,0.3221952227253868,0.3500574465088288,0.3440664767137664,0.6092107987998315,0.3295599546461062"
7,"0.3058729368814664,0.264095140195983,0.3738668319295957,0.29695220440579556,0.3541716338850786,0.39345745190350917,0.316854120616166,0.28806815643091666,0.43825274447643997,0.22639150180804168,0.10136716217965552,0.29554722939516925,0.36890377219879855,0.3406613924214815,0.4785873079839445,0.35672190152946237,0.4441443191058948,0.5111749534109542,0.20538216342581567,0.23160745209312128,0.29324496845105114,0.1393536606030188,0.5004252835105665,0.3617785603955475,0.37033698034718504,0.21008308642924317,0.41260601118903395,0.4609708859740432,0.4246980716416518,0.19455774877745238"
8,"0.3058476329999454,0.26381597821564773,0.623958028986759,0.19216646059044906,0.4576214066000186,0.23492140949175894,0.2295453170010748,0.2238266950801719,0.11318509249518417,0.370182599237928,0.5013799099881149,0.5236288125158689,0.2875720022595695,0.35708969788430933,0.19866115515718555,0.19417952055826807,0.045908417202640564,0.26332447695048256,0.6961723794748959,0.42745958840836995,0.22528158167609408,0.39423728816325304,0.16038616129365058,0.2685664456394868,0.20168394998189684,0.36764243196287066,0.6771522558005643,0.4403153751816342,0.3053051249910616,0.7354822535095642"
9,"0.3872763694370109,0.21830067416929513,0.24008176159294115,0.209088678312188,0.5199521399044933,0.14071431757676772,0.10062290280721137,0.19312131863625995,0.6172971728206854,0.2386445942173717,0.43983209470222895,0.22886672709121736,0.24050766876467636,0.4827921226275096,0.29962940994898024,0.3741523656736182,0.24855869726503654,0.23988056688372383,0.42048387678293486,0.4217292629919817,0.20182235619125208,0.024730271511844627,0.18983245822087008,0.41872045368177674,0.22300936718211348,0.4252875213024776,0.20753461286301156,0.026304860661313125,0.17823263073882564,0.15778686276230067"
