,words
0,"3414,13795,7719,18857,17322,6122,18240,12826,6824,11735,9832,5437,1800,0,18857,3922,15576,19426,2501,16910,13839,5013,8381,7990,4095,6414,17349,1649,7128,0,15831,16291,15657,3001,15836,11122,1904,15657,11144,11122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1,"11221,10602,14627,1129,1649,7412,9921,18431,251,1828,10515,14322,15936,19530,5116,19714,15022,6074,8014,6074,18335,15150,15657,8302,14627,16781,15836,14627,3179,15657,7666,1660,19287,3915,2778,19287,440,14627,2656,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2,"1553,7719,2391,212,11122,2515,18204,14715,9637,3509,11960,6668,2167,1649,18504,6414,1227,7352,10622,19550,1553,7719,2391,5721,7855,4739,8009,4937,7151,4727,14627,19326,7719,16694,1597,18857,13829,13830,8710,11122,3414,2422,3536,6414,124,6385,7719,4348,12826,19227,12223,4112,4144,18563,3197,19550,7445,18206,7719,19550,5007,10622,2481,6414,17664,4024,18857,15228,13906,11122,8412,15836,6824,6136,10622,14627,3626,1165,12782,4514,16472,15779,18479,5124,11989,11031,19549,13131,13739,16973,19009,11122,17527,15563,10980,5221,4241,9910,15772,9117"
3,"18857,322,6414,7199,2317,14627,14085,2317,11122,3484,18240,12826,19550,4824,19543,8366,13005,14627,10800,16846,11864,1549,7199,15671,1798,6414,12826,251,14627,4302,1649,14508,3105,15836,10622,6250,802,6414,19550,16662,6887,18875,17907,15373,11864,3922,6414,7612,15311,3283,14678,2960,1549,17256,15104,7719,12831,15813,14627,3297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
4,"18857,3922,6824,4095,12826,11742,2183,11476,18142,7719,14627,4195,4401,0,12335,18161,12827,11184,12826,4195,3890,15657,19270,6074,18309,15836,18857,16611,6824,1325,6824,18183,1649,14532,0,15950,11742,16702,0,14313,18857,8929,11905,2887,7199,9913,7719,1580,14554,3536,5107,0,18857,16116,15874,14627,15493,15836,15453,16548,6014,12290,16986,0,1021,3111,0,19061,0,17219,0,842,0,0,18857,7151,11122,116,12707,5613,19528,15657,2048,0,16602,15657,2048,0,894,13764,14495,14627,10915,13005,7010,4112,18563,0,15862,2837"
5,"7040,15657,14627,2105,20010,9554,12782,15580,11742,10554,13005,6824,4095,15657,2481,2317,12753,15384,12033,9129,8145,11742,10350,2806,11122,5651,1649,465,9194,7719,18634,11499,6824,4095,3240,15836,2317,4849,19513,7352,18407,8710,17599,18857,3974,7629,11122,8166,14758,6824,4609,12300,4084,6698,8929,15896,14144,15448,805,15836,9757,5685,15657,17978,15836,5437,1694,1132,12826,19623,18161,6722,3414,13658,8929,3323,13005,11122,12930,1483,18518,12486,15657,17468,14627,14452,4095,12826,6122,15043,9757,8371,12827,8429,12826,7392,2183,6811,4514,15896"
6,"18857,18617,13589,3974,6507,1769,15936,5437,12827,14767,7137,18073,0,1769,16583,18073,0,10882,8794,4284,4705,1139,0,686,15813,382,11122,6757,17924,1649,3512,11122,11905,10915,11864,4879,1549,14679,12223,17633,12335,18857,3536,14627,6113,1649,16864,6074,6799,12826,11742,2810,18857,18617,2960,11742,5605,11122,2281,2173,18335,1101,995,0,16343,0,3058,18857,8929,4112,236,4739,19550,10479,5087,8237,11864,1694,13904,11122,10176,15874,9104,1019,7024,15228,8609,19314,1325,11122,15363,18193,465,6081,6414,11707,0,19255,18722,2047"
7,"18857,8929,8163,7855,7199,14627,19713,561,8594,12923,1931,19203,7719,18857,8929,13906,7352,18558,6510,5905,3414,4554,16935,11122,6956,14342,17807,1649,2969,13005,10950,11122,17854,8642,0,13596,17476,15453,11122,12471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
8,"14627,19713,2167,15698,5116,10054,9147,12826,6824,12021,2317,15896,12499,2374,15919,10622,6824,9191,3108,5437,13648,15657,281,0,10054,8302,5710,7352,10622,14627,11862,987,0,11122,8367,12827,10812,0,5437,10963,6414,19550,1082,14211,15813,13005,8381,11137,1649,6112,10054,7451,1509,19098,0,14567,7485,10054,10079,0,7748,12826,1375,19727,18857,17053,11460,1649,14627,10287,9182,5605,18001,10870,1375,2317,10698,4546,0,12300,10054,6515,19424,6046,3539,10054,7451,243,0,6824,18960,5529,7352,8710,15813,11122,6115,18443,6683,6812"
9,"18335,6736,4095,15813,11691,17114,0,6291,11122,5685,7719,11122,7822,12827,13764,18073,0,12300,6698,8929,9757,11905,18645,3108,14758,6824,4095,15657,13005,15136,8429,2317,1817,7719,5437,11905,6051,2062,0,3376,8890,1110,5605,3851,5378,15657,7137,13005,15762,11742,12079,0,12300,8929,14627,10287,15855,4739,14627,6387,9757,13074,7340,11314,11742,11122,12930,6414,11122,13805,19688,4739,14627,9469,11957,7719,18610,17760,1173,15580,8213,4095,12826,2405,14627,19713,10428,15813,18557,0,3171,5437,17300,7137,14779,6046,5434,4771,7352,954"
10,"15250,14627,18645,4095,12826,12163,15836,6811,19171,3950,16872,0,12300,251,14627,6891,1649,18717,10946,2485,13241,7352,10249,7262,16452,11557,13283,1115,4727,3681,6146,15657,8407,9191,1649,11122,12930,11557,13283,12826,11864,7151,6494,11932,7719,5437,3536,8710,9469,18073,0,9757,15803,15813,11122,5685,15657,13764,11679,7807,18857,14716,6832,13005,6824,15657,11122,12930,11557,4095,6414,11122,13805,8642,0,9757,4979,7199,15228,11454,12300,8929,13764,6533,7208,13005,5149,10287,7719,5454,11742,6353,6414,15896,3127,14692,0,12300,17315,8929"
11,"9757,9674,17137,7040,9191,2959,14627,14892,8596,16910,9917,13086,14627,14892,13530,9757,10113,12827,4387,15836,2508,6017,14556,4609,8771,17807,1649,8083,19557,1649,6736,5602,14467,1115,4727,7296,4727,13912,7719,10114,8667,19530,15874,11122,8733,1161,1649,2705,9257,15836,6824,4095,8163,4112,11865,12682,3171,8710,9257,18381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
12,"4937,19142,7199,15813,11122,7855,745,2317,14627,15007,0,4937,3536,32,14758,11122,17807,2317,11122,15855,15300,6824,12632,18857,8929,1694,8163,14627,6635,3787,7719,18857,18109,6824,18363,15580,11742,11127,12826,13008,4937,19142,7199,15936,6745,10825,4112,9469,855,1043,1649,6824,4095,7719,3536,9469,32,12826,19227,5124,7566,6745,8163,1549,12826,11122,5685,5912,2318,9122,16629,1649,561,7719,6745,4348,12826,6051,7352,12826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
13,"9757,11905,6647,3108,14758,6824,10915,15657,11122,7619,13005,5454,10269,5605,19462,9757,18951,12827,4189,18142,18857,16538,12223,9024,12039,7719,4809,6139,9832,7352,7477,6414,11122,5271,10789,7719,4084,15580,11742,6385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
14,"1736,6414,11122,18626,19688,15657,14041,9757,9194,7580,12596,4112,12099,9757,964,19287,4112,4130,9757,18222,12300,3812,6778,11122,3542,5812,7719,18857,6507,7352,14495,2275,12300,17468,8929,14627,10287,15189,6064,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
15,"3171,18671,4727,14441,16602,14212,6824,4095,2959,12826,11742,6384,8181,11122,12671,0,15385,15855,15657,13764,8771,15777,12826,19270,8993,9832,14627,3487,2485,4741,11122,12673,5116,15220,3075,7719,3265,8302,6507,11122,6980,0,3296,15919,15657,2183,14495,9347,13005,18857,10550,1132,12826,9079,18303,6824,4095,15657,7167,2183,8667,3319,12826,4579,11122,3762,17796,19411,19287,15836,19550,1362,15657,827,15936,18857,17468,10963,12826,12315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
