,item_embed
0,"0.7553539977343279,0.597885599070839,0.6039916945185151,0.4852403296455801,0.4898513952782648,0.7918885929689538,0.8056387447127085,1.084883837240993,0.6278970093210134,0.4708873688605594"
1,"0.6656380727575172,0.7028483185001951,0.6820161686383386,0.7230829434199886,0.7296634002626808,0.821817381534387,0.6338426088249671,0.5920707025835611,0.5074161219549206,0.7992818024842938"
2,"0.3781882337584285,0.2923246795050456,0.46709295454098726,0.4169623865312011,0.2465478953287382,0.7523447671567787,0.5341139155030936,0.8212800645349818,1.2636982802877372,0.9726077291187113"
3,"0.7345644857067892,0.6471042406937889,0.7779045986324523,0.853223458139398,0.8941004275925565,0.9186769601850304,0.4727922679718378,0.44325474310672797,0.2957309889188729,0.8325625458858478"
4,"0.5585934556858033,0.6763229959565294,0.646204388878681,0.7862492479028451,0.7026643891925947,0.633300855405877,0.626209944772263,0.7359180788691102,0.5635053266177815,0.8001460977855236"
5,"0.6047151234096906,0.8074814491683416,0.6588954519728972,0.8721876634165007,0.8187899690851802,0.6504849231767228,0.5168045147195199,0.6462647252377272,0.5931185699224709,0.8150683542860159"
6,"0.6032471104289886,0.6693415450442669,0.687711281003985,0.8348902348135364,0.7446435556085793,0.5130978015730917,0.576222894010056,0.6243205642409008,0.5995663793915317,0.6319242647488985"
7,"0.6904689397784055,0.6511883656438667,0.7198240836622581,0.7715884167868803,0.8042223909669369,0.8593924834990775,0.5100876175250045,0.48000598275075124,0.3510881725237174,0.7922662267537869"
8,"0.7005299472066882,0.6172145309910272,0.7418678388087946,0.8138258652136582,0.8523857238919179,0.8766605624537879,0.4508988652175545,0.4229375600387931,0.28196966501403015,0.7941161852823687"
9,"0.4929316741505359,0.4358455741878172,0.6085954406916251,0.7323667911172556,0.5009963408634384,0.7336852102069004,0.6727549486297262,0.8008741966012585,0.5960748258450691,0.6942565336482135"
10,"0.8340941247732435,0.6587504007557712,0.24419526096052852,1.0599804760592704,0.8516261586415058,0.4485440329212946,0.2801885485139538,0.8494054272546918,0.4358534070917777,0.8098848682099776"
11,"0.654422801016818,0.42690636179920033,0.4742142223917046,1.003771353783684,0.8076277005096565,0.8319902515423592,0.7118209389197683,0.4475954411461994,0.5437778208018992,0.8061332085455972"
12,"0.6863210703992078,0.6977025956361981,0.7333806371165905,0.5964821606740005,0.46469382625453937,0.716771270213893,0.7463889950920025,0.8053238325206302,0.6502420979309083,0.6300963880656113"
13,"0.6057219055250722,0.6476767267716458,0.6824115073152761,0.8526859721227624,0.7511852821232657,0.5057561700203766,0.5656641854554287,0.6146894213198049,0.6010790051417371,0.6193969812619602"
14,"0.42527392613345616,0.7552098841914958,0.6884315410789484,0.46365720815886924,0.48414138199815837,0.6522890147159153,0.180466693454145,0.6411331303627513,0.7312471003453273,0.2926629322832033"
15,"0.5415794327924084,0.4653333439303752,0.6839799651561843,0.8396344036871819,0.5358201841271147,0.8477370047392668,0.7416160069135973,0.9207317394920496,0.6372405934837172,0.8031373238860002"
16,"0.6023619733782785,0.7137781685101416,0.6250463691435297,0.6921255478373277,0.6403351590408918,0.7402673807701374,0.7713965127817879,0.7095004341998988,0.7039748011912876,0.7899788158309438"
17,"0.5618713088208355,0.7392433567606569,0.6190951205047729,0.689984331777628,0.6099878241207766,0.7079049581858791,0.7976994281123774,0.7136842245596137,0.738907498560593,0.7948265270269845"
18,"0.6332072971967674,0.6765089106704454,0.7085194678809817,0.8219169327807975,0.7438654272086512,0.5313280918004333,0.6059364931106451,0.666296585625718,0.6111759788490777,0.6299392010772997"
19,"0.6760726813600229,0.7319662397863076,0.6871233084406418,0.6449142791518306,0.7081591742861955,0.8065411005060718,0.5658756113331223,0.6635676742731221,0.7292071506010104,0.7482137859255945"
20,"0.8482149601306629,0.6241081592075546,0.4556425150346462,0.7054805586130429,0.5807851431654611,0.794063307934416,0.8072944661948394,0.6856576152547731,0.5579929712282554,0.7792732019107069"
21,"0.6999986380040375,0.6361563217939826,0.5976258536066287,0.84028579436056,0.6870869979597298,0.7262331076688142,0.6404308275932615,0.6208012362689561,0.8655808994514703,0.7980309525544083"
22,"0.5779310042709483,0.7475431765003859,0.6671285154998834,0.852210178218763,0.7656075374579479,0.5338065736516109,0.5376209372757177,0.5888606504386634,0.5775707414997329,0.6767406823457879"
23,"0.7956850903966985,0.6150687654589074,0.3598120506416925,0.6797781343306657,0.5358804907206413,0.7131766616305962,0.7636856388147449,0.609069733320888,0.5305611770892777,0.713052481032938"
24,"0.8196372367981138,0.5316193432281974,0.6040417548889659,0.6380458345611267,0.5633246342877699,0.835993777831668,0.7531323939675246,0.7409220292836969,0.5143926536381307,0.7959598252343721"
25,"0.5562924816495307,0.646661969180984,0.6552891376555697,0.8067754676758693,0.7214696654012839,0.6357910000418532,0.6608575165184027,0.782500307774387,0.6375568911497879,0.825387414911019"
26,"0.6591365175081603,0.6761952519754938,0.5851235756147845,0.8233675954867394,0.6868403222335798,0.6139388399372897,0.7163199614213992,0.8502587668175793,0.7223046825678207,0.7553375640350671"
27,"0.8906233092642631,0.836297723597209,0.541556452963364,0.8166260556422718,0.7795422524352851,0.7994850919979977,0.39260931778491076,0.2780099183088233,0.7085899511338559,0.6759008193016798"
28,"0.6884196222259455,0.6482118571390071,0.8364371309694703,0.819529371236253,0.5600378372418235,0.5489559772454017,0.6362592555513351,0.613008681487502,0.5740960993190222,0.9538574763809354"
29,"0.5979799020455829,0.6258800441715247,0.6854656989232139,0.7225046867912012,0.6625776111053443,0.6883148427631723,0.6667225261796167,0.688535022736499,0.6225436232291031,0.6378435166314014"
30,"0.47567139981764534,0.6275533661079423,1.1400910682410763,0.6877999587427728,0.6074367205597508,0.3485812535293714,0.8945281713810608,0.5529735791877854,0.6216397787339316,0.8712465534771828"
31,"0.7940234951852649,0.5235209156739249,0.8984236283090715,0.8733078110189888,0.5527492585492498,0.5272100591011837,0.6213689875551777,0.9720692805161895,0.5736517776900154,0.3768876961571335"
32,"0.8814178866124053,0.5107872541158902,0.6100893648911109,0.9081863006430249,0.7011342998004723,0.5857261707996757,0.6674564731893711,0.2964871740787564,0.5261024607167377,0.9282435523237353"
33,"0.540827955413394,0.7443618928750525,0.5504911480873794,0.7322986482424249,0.680699656216793,0.6058319308731522,0.5659060261863476,0.663004282537897,0.570848097016688,0.7342234454051046"
34,"0.5721152185731869,0.8175764445010242,0.5557570369966072,0.7686055094997775,0.7475272598617787,0.6159055482132287,0.6167915639761635,0.702935322221115,0.5651761445664666,0.7540031672785027"
35,"0.571705346707982,0.6518990504330276,0.743973644225241,0.832828074558254,0.7020260387381956,0.7288800794575288,0.6504571181052249,0.833331972552325,0.5713708409526237,0.8787049959268343"
36,"0.59568155547238,0.6295333886586011,0.8755821228528669,0.47896495965518027,0.8454722537972793,0.8917506734478299,0.8116353258865429,0.4460680005195878,0.5990137012621426,0.5883971964066185"
37,"0.754352474012911,0.7247774636733992,0.6804245101863546,0.8211101871570654,0.6103879106375324,0.6334441092757194,0.7845157863744527,0.7079031261328551,0.7173289020809561,0.596540709029322"
38,"0.5808155980271775,0.8150737894254382,0.5716648704770203,0.7781305224090839,0.7288983578090193,0.6376292968182433,0.6112840282826251,0.7031127348245936,0.6092536079016472,0.7687378673032931"
39,"0.7429388658278153,0.5385782852593282,0.6495378891444358,0.55266751390419,0.504542453926788,0.8160242481765759,0.7975598437279892,1.141089499549006,0.5821638341337059,0.46129654593321295"
40,"0.5576015670018161,0.7400306302824494,0.5787336297116216,0.7685234004685557,0.7241874454048072,0.6050394290771226,0.5454895975003131,0.6497384014234208,0.5424902860141463,0.7410292659064908"
41,"0.5693805324470234,0.9714693898947868,0.42455030217150264,0.7005164918275621,0.8179744995381696,0.5676036802867923,0.6912398627051813,0.7401434941775642,0.5240542967603209,0.7085851903415676"
42,"0.4734895360687981,0.6724281959250367,0.5581810510660169,0.6196678693267895,0.5258859792105998,0.6097484413370867,0.7377387517779549,0.6523577370577153,0.6764311179317465,0.7028380281579616"
43,"0.6774734657046257,0.6440721878427504,0.8481417603742901,0.848315633260664,0.5242462854716604,0.5271621141055579,0.6427609892498175,0.6478117856775005,0.5575591841649323,0.9850952700380631"
