,user_embed
0,"0.009683906,0.15662116,0.003580071,0.23093477,-0.18308736,-0.2209437,-0.22289373,0.14999479,-0.00014378087,0.058192965,-0.23629051,0.06453856,-0.07311167,0.23094754,0.38255754,0.14317055,0.18064865,-0.1592423,-0.028473767,-0.1743637,0.024376255,-0.12241999,0.15292077,0.42830145,0.0016576474,-0.052782442,-0.14860392,-0.08721829,0.079160914,0.10707105"
1,"-0.36838722,0.24499461,0.27747792,0.25209415,-0.22009808,-0.2463695,0.057616435,-0.060666073,-0.35666242,0.0068074414,-0.12203036,0.30431914,0.23067027,-0.22347927,0.4587012,0.06470214,0.040238377,-0.123559386,-0.24411578,-0.026375039,-0.114328705,0.087435655,0.27252227,0.16823,0.12863691,-0.15260018,0.030271769,-0.2380062,-0.43298438,-0.14701784"
2,"-0.3315178,0.36648554,-0.14946185,0.34344128,-0.3304702,0.013169236,0.008067429,-0.11967875,-0.16250296,-0.33436564,-0.1675592,-0.07924147,-0.17516828,-0.07470168,0.15457956,-0.21844022,-0.3723267,0.26816723,0.3107707,0.111149244,-0.10770867,0.23256254,0.24926575,0.26548186,-0.24692656,-0.24917883,-0.2350752,-0.0463841,-0.39107496,-0.115193225"
3,"5.101434e-11,6.4779127e-10,1.8640615e-10,2.0721265e-10,-1.1090067e-10,-3.7479114e-10,-1.7864052e-10,2.3308527e-10,9.654574e-11,-3.6130787e-10,-9.403935e-10,1.05273554e-10,-7.904616e-10,5.007388e-10,3.8637166e-10,3.6917772e-10,1.899012e-09,-4.45196e-09,2.803685e-10,-6.639829e-10,5.6975297e-10,-1.4639701e-09,1.8867576e-09,9.1362423e-10,2.1753384e-10,-7.942031e-10,1.8940792e-10,-3.267512e-10,-2.5028543e-10,-4.095764e-10"
4,"-0.49499926,0.28459537,0.42919707,0.27800092,-0.25732225,-0.3611423,0.110765286,0.03119703,-0.55663913,0.044191092,-0.17055897,0.5262175,0.3314915,-0.2466834,0.69830984,0.1639329,0.2806938,-0.21532537,-0.45905682,-0.046536837,-0.15343273,0.10277018,0.3585689,0.1762838,0.26588184,-0.06030849,0.070750825,-0.37318504,-0.54594123,-0.20991369"
5,"-0.0673696,-0.23444068,0.3623197,0.19023319,0.007418638,-0.22768751,0.26459408,-0.4187722,-0.028177863,0.34584668,-0.28272185,0.15945818,-0.20268261,0.31220692,-0.0817659,-0.106058456,-0.12539108,0.21410333,0.43540278,0.28888652,0.04172941,-0.18578424,0.13270971,-0.29132,0.22191037,0.2641808,-0.4277884,-0.23509619,0.15910277,0.12998883"
6,"-0.06289999,-0.22400048,0.36175874,0.18506823,0.010880613,-0.2186739,0.26111877,-0.42272362,-0.026756752,0.33657578,-0.27928635,0.15665384,-0.21037315,0.30927658,-0.07990996,-0.10255084,-0.123285286,0.20316279,0.42969778,0.28155956,0.03652879,-0.18511336,0.13073051,-0.28905493,0.2184202,0.25596422,-0.42146766,-0.2326637,0.15458415,0.13313955"
7,"-0.0668806,-0.22646327,0.35840368,0.18550986,0.013861584,-0.22332269,0.261712,-0.42946243,-0.026272522,0.33766612,-0.27768964,0.14830653,-0.20298895,0.31045258,-0.079794325,-0.103157714,-0.12930368,0.20171505,0.42633232,0.2809959,0.037687473,-0.18623233,0.13018271,-0.2870369,0.21797435,0.25124627,-0.41995937,-0.22985028,0.15346968,0.1351009"
8,"-0.06375044,-0.22977607,0.36006454,0.18624467,0.012738482,-0.22102748,0.2617293,-0.42449254,-0.024806531,0.33903125,-0.27759567,0.14674097,-0.20293666,0.31521118,-0.07960314,-0.10390178,-0.12682682,0.21357234,0.41252926,0.28124258,0.038568,-0.18536642,0.12835406,-0.28688827,0.21859862,0.25836942,-0.41961014,-0.22897668,0.15529159,0.13534586"
9,"-0.33939883,0.30431855,0.4127007,0.5058179,0.52619165,-0.68507606,0.44399422,-0.19929259,0.4571614,0.44077355,-0.3240236,0.30020228,-0.56825584,0.17392658,-0.52364856,0.24942781,-0.3200131,-0.25252682,-0.04091501,0.26526326,-0.21435665,-0.35416156,0.05583757,-0.58693314,-0.33875036,0.41553017,-0.43523306,-0.23343158,-0.42372596,0.34287968"
