,item_embed
0,"0.4927967759926798,0.30430991394122675,0.5768037982363202,0.25805771534099714,0.3581744383642518,0.3701805695342977,0.3813771117460076,0.3212673161090211,0.49133857842609185,0.3434036719549093,0.44921759435928116,0.5051430363164381,0.6382314609204182,0.3052041497896191,0.3752757953689872,0.36541028578039164,0.34116457823994323,0.5867178416305413,0.5206800842754733,0.3572398474147604"
1,"0.27735916219635864,0.5022676208310397,0.26975969570647607,0.15638323372165983,0.4916234490975599,0.18473285547235058,0.11744558384754372,0.3462145728940468,0.3201883444853331,0.34656708325972274,0.6241514650189897,0.6046382725344183,0.2769142802467114,0.1446739089882392,0.19084105539162852,0.08608211637453266,0.2370765535758582,0.5876894812874903,0.46771103038665696,0.6336105050555937"
2,"0.5345551381813909,0.4435522081308437,0.5866675953238862,0.5046222424032607,0.7574211213884008,0.4517370830930832,0.696546011319538,0.43727681559077686,0.6460627574940873,0.8365112631850465,0.5861890504375876,0.783359335223388,0.8018998473470711,0.8239607763765237,0.4705634832301382,0.6144537222471544,0.7317383609915878,0.08491606206697583,0.019902799744039613,0.7163592318619348"
3,"0.049954042065658365,0.15419568209327017,0.3051051654931407,0.00031337910300521094,0.32825226014314896,0.27501697088369365,0.2922116667980153,0.005783055649200297,0.025756194085143378,0.1611884887403278,0.36163457757598416,0.024429319017780095,0.23893210970435183,0.3321676624882733,0.13695023499675502,0.04374274210793919,0.08150676771216436,0.1361746507238773,0.0953277262368354,0.03746331154713758"
4,"0.2503579055160358,0.5061484261127924,0.378571533164585,0.3050928170132173,0.3588254077134421,0.13563131418411054,0.289648742374358,0.17693185314087034,0.33288906481004293,0.3791313636610798,0.3535114549085018,0.12892958171837918,0.4062635354369229,0.32745325520871305,0.4855648721317285,0.13128133638244543,0.26334246673263123,0.4954692442991977,0.28614202763799085,0.4060922216816748"
5,"0.545816972631111,0.39342618782608474,0.7941164393471994,0.5857312856928377,0.488576787111472,0.72406137394402,0.5009253272669311,0.7048050858689511,0.4966325503664926,0.34297579817844953,0.1315852028386734,0.3461893574791169,0.4979504122844142,0.3730839328213934,0.7038193844332492,0.39892887961913726,0.591761980387493,0.6337167706416016,0.8365040967114206,0.49012283414052815"
6,"0.5378822533283375,0.07261964342324337,0.5100702620190766,0.12063868939156269,0.4452438426949344,0.2860679327312776,0.10112692347441242,0.3157040433101094,0.5820421929327133,0.7561871887895836,0.5444982815871825,0.5534620336510628,0.3693557813636215,0.4602027694286838,0.4784039358531165,0.37096296972063836,0.5344925592903456,0.33823168045852686,0.4423585376195106,0.29446526855487754"
7,"0.5249078974966002,0.5935001244461069,0.5565592012603962,0.41588401603545894,0.4495185418741274,0.34065628410952636,0.3656587605639038,0.6753576204813151,0.8033620742394588,0.48117808022229186,0.4361205444998912,0.4865334672196627,0.34489048980401804,0.3767538494351193,0.27250403200722517,0.4479535574193912,0.5168455792469537,0.44890932565685693,0.35232738935294594,0.5299402164890886"
8,"0.3470798004247699,0.5095330356201392,0.24326396349681104,0.27461858221155266,0.4616845937000396,0.43187559011208676,0.32904839713326645,0.1562293600158752,0.4465199799089876,0.20223118239961102,0.10213855467748781,0.3624672541109311,0.5367411855644629,0.2834212921295502,0.3491672534678385,0.541268626611418,0.23407574777257234,0.28048442835803,0.38055519895389667,0.3767050679949601"
9,"0.5568660755236907,0.41439325403013894,0.47202510532525926,0.5892255234006559,0.508684132234711,0.3996964090520325,0.38357363374856374,0.5160398655697985,0.417456265868878,0.2887934164779576,0.5581201912277117,0.3710705867794948,0.36799524002984024,0.377969342651231,0.2122119062279083,0.39742127061006094,0.3984692561977596,0.5814571033745466,0.3999270154399367,0.4031002905543761"
10,"0.036293117148149485,0.06636284017622063,0.24945118996185228,0.016339556871812773,0.41013920589277403,0.2772358068547271,0.06214573455612974,0.2863873666539941,0.206100709727717,-0.046387326229226984,0.3544471418878218,-0.030156724962002286,0.18507946194130576,0.20281057514340717,0.25265562298152183,0.1082366108589753,0.24273430206211588,0.02241580407891881,0.10423538116431239,0.020822192222828204"
11,"0.21198410006424268,0.4825404676568944,0.42992362535527556,0.4814142201656016,0.3078794693396921,0.3392055166841052,0.41790258541658665,0.13861079882837177,0.23893365310439516,0.2604231712591338,0.3029358794018134,0.2488802726556266,0.49850188294405223,0.4481131788675538,0.22917704161600744,0.2108423971792143,0.06450615601091339,0.10118188757510069,0.2913143460744503,0.09550509062870732"
12,"0.5735962207893442,0.22355951533516225,0.08070454425431882,0.3306259823969365,0.6134037574997795,0.25523987785680285,0.5835067964929203,0.4256418236380931,0.18444395428547813,0.25276024113901857,0.37896824042851796,0.13541097734110139,0.03424307434647026,0.021436912287150396,0.529918833576071,0.4086752638371184,0.5785483867088344,0.4026653311692493,0.5512994101668613,0.4286508145521454"
13,"0.4023237899455349,0.17356530472115347,0.37649107944173543,0.5683598766222928,0.4287728510484247,0.4314042408499046,0.4094395194780618,0.4519733863899635,0.5918183242068864,0.4165953493164308,0.4608058439562384,0.47918076358376277,0.4571847337472038,0.6459666046487409,0.3759087518253002,0.5259718180659201,0.22437463237164584,0.42079571444119673,0.45662315821245386,0.5109074300547167"
14,"0.4003720773181275,0.38033670024678634,0.665852413231039,0.6452113107196156,0.05852067136404925,0.5652285065282624,0.4674160033061164,0.7741777845266833,0.8038728337581262,0.4448845252838511,0.3802493203952302,0.37194072098993597,0.5241797777218423,0.4076795050669047,0.22312978379444354,0.6485128781531322,0.6103458509001094,0.5181043076416463,0.4136456737044552,0.6559344418595814"
15,"0.7195514335430306,0.39724593487221027,0.1863403299989362,0.29033798665804433,0.31184292476604347,0.7178060819184648,0.38292857336868014,0.63959160506814,0.7650730613173575,0.4045337404415709,0.4356634598388618,0.28558782262596105,0.4839492683646043,0.3489421141874263,0.27828479469914685,0.3307081192367222,0.6432898133720135,0.15244317467002722,0.21977646468317633,0.1069186966690179"
16,"0.0638641729399682,0.48004723631622426,0.06643284661232629,0.36240831147392316,0.2006924877465186,0.25267967075172054,0.350354085152162,0.4208533616609487,0.1787811869612333,0.36793644383062124,0.33190858803583695,0.3035593472100171,0.4239922583503102,0.26637617680076736,0.36727076487536103,0.03037620393075032,0.334388191553458,0.4259951969135597,0.2840156043144653,0.2666260506515624"
17,"0.5890487288572883,0.622021434866125,0.5714964770694322,0.4122900742211457,0.5040355801458759,0.33269276456175345,0.37094183179908613,0.7385184799479919,0.3484772294395918,0.4774549330654299,0.5560064990391493,0.5175221358453367,0.37967729206968426,0.49529686152703695,0.48975321351159584,0.17437489158233593,0.24282667624963977,0.6176612931879828,0.3401451788784046,0.6120269615109079"
18,"0.4335922655448323,0.4162923054638347,0.5725234836897068,0.7641197249155911,0.3166178555097062,0.6533161532667955,0.6342274334649005,0.4127733216453588,0.7209295360692777,0.3383984499546679,0.4763282478058923,0.5658655591255446,0.7102186599078107,0.2199000074082398,0.28022293627119244,0.6240218558822767,0.49875528782622125,0.11410588427829396,0.3475800029988429,0.4097440065161155"
19,"0.5695128717498721,0.6425181996029564,0.5517141768794548,0.16246207551438413,0.4703931515520608,0.7250185161153884,0.5523755491727186,0.4490198156793396,0.666906240701815,0.5948208603754703,0.6602211074339365,0.4966891919650316,0.23869015533154825,0.4304044103856222,0.5246926216253629,0.33017813722749567,0.545953357937589,0.37642823603128767,0.3943559878704753,0.3541321042564496"
20,"0.4520071070346062,0.2279754838615672,0.3881258383697752,0.6086868621459404,0.0668097326162924,0.33624591916724184,0.33104928300807185,0.5875088338887068,0.6162366018757892,0.28957733331835467,0.3466935999420398,0.48006002254554564,0.25748058622723846,0.43781800786690456,0.3112217131280028,0.6307803366209151,0.30319272976965866,0.40588141528721566,0.405856214820249,0.4056148166664826"
