,item_embed
0,"0.2856018633982201,0.3131905652189404,0.536513330743209,0.6718325138969914,0.6733034066315686,0.42420218416312183,0.8256122363232893,0.6308468097003855,0.6976951008376555,0.6377128420401956"
1,"0.28163633732619264,0.978660953813428,0.2315346681558113,0.33883163417989676,1.34375707419325,1.0473096548578544,0.29880825794295185,0.4606402413222989,0.8324025552098113,0.3902434440934955"
2,"1.046079348043826,0.912584199598577,0.7176556276992732,0.440989383498479,0.859816150287777,1.020208991885518,1.0461510680267418,0.4636023290600444,0.15941772791025063,0.5474789500957831"
3,"0.8124988196300216,0.33107465310181516,0.4648720573565642,1.2855557972703286,0.6142852538948163,0.689186384194632,1.204980895571941,0.3836343861617588,0.04791651459143142,0.5989489721504565"
4,"0.289201056789308,1.0490738486785398,0.20857944590105437,0.6926813287171503,0.022190099249180244,0.8897444672667727,0.586595935909021,1.2928473909740867,1.1858538003110706,0.31824743992144267"
5,"0.7429168768943858,0.7652571358760079,0.56630799780005,0.6598350186847066,0.6220562742661913,0.6947938860801031,0.369751751115505,0.5947439203235343,0.645824494873822,0.6041466169553033"
6,"0.5413093684071051,0.4881526057209107,0.770240758744404,0.5556804724786795,0.6267075519395406,0.6541719220951617,0.239926325160013,0.3485631461572146,0.948436176488086,0.8107694321785703"
7,"0.6355256132612178,0.8467153432265166,0.4015856659264721,0.5805731871262848,0.4571137641320308,0.9172288042224012,0.5258038178706304,0.43267349432338936,0.8948358512466856,0.7002107381174123"
8,"0.6687872640872542,0.4816083106779142,0.6243754976573399,0.8386326462198517,-0.1338992846644084,0.37176047973492654,0.46424210139903455,0.9264501657641805,0.37739386632999905,0.649216208960302"
9,"0.5711930170989806,0.7827041332253319,0.5650202951460214,0.5372343846597775,0.36571878381029915,0.2867350541748353,0.1814479638378692,0.4692906478915642,0.5694904250404594,0.4443467955110803"
10,"0.643185421602544,0.2120694745127529,0.36210194075093977,0.45300438883067445,0.5655087933083788,0.5379589897799004,0.8415974108513423,0.6425009983492443,0.7421770007308354,0.5698117938187878"
11,"0.47815870837671787,0.9704818364270195,0.6427080576560554,0.56032452205644,0.9481693698283863,0.7591326124155257,0.36479050802254465,0.3621451045153882,0.6500741140866237,0.9645701854616673"
12,"1.0429774953602693,0.6472111818648376,0.6971903761768132,0.881150944112971,0.7878083350051381,0.6273220526005914,0.8384891505367528,0.4359472801544973,0.43062782054388715,0.8097217431341106"
13,"0.4075375614166092,0.5494558640018828,0.8516750581020138,0.8810726248662805,0.7549990759981827,0.9679230649261509,0.6999650351864618,0.2914235989019638,-0.0033763158015721476,0.7133469414673783"
14,"0.10598483833676275,0.20975425926707814,0.4406063798417419,0.25431072555047135,0.30254829580746173,0.42755254548330646,0.261737941015733,0.30454290370167275,0.24299144244589863,0.20202368913369442"
15,"0.6691818598921938,0.6647258468584943,0.63062729355223,0.34425950062397953,0.7169969472836113,0.828687441562939,0.7308957171930405,0.5228108836171144,0.5662702020974063,0.3807655091221217"
16,"0.5752919879678952,0.06159282330059972,0.25548495350284883,0.9382598630929067,0.3219001926846522,0.18732897985295216,0.2952158277124014,0.46716683332741216,0.7194941894910926,0.5212534671526399"
17,"0.717383518215454,0.6344348783144979,0.5682481420257323,0.9180908541329623,0.38429407732021137,0.5708484481258702,0.7411140703719769,0.6497780212794018,0.6194536635820278,0.883547515291728"
18,"0.42336312259026193,0.2880603387173937,0.5444848814989187,1.0231455487946293,0.7239581716575628,0.7041560916873989,0.5486816219752582,0.8168941509229901,1.0789926049127736,0.481612710237307"
19,"0.5901900740726588,0.42139916794093035,0.5764816250366313,0.6656731440869298,0.06742136687272866,0.48528059521327055,0.34076646150228057,0.3387842102422432,0.49181006896569573,0.40278503688487255"
