,item_embed
0,"0.4611934541119663,0.730238397479914,0.22238630576262342,0.34436520918585517,0.6035397682794206,0.40914021628165587,0.2750668177299985,0.4069383878739943,0.6543220833248944,0.39212617283600126,0.38710732298868,0.46948365355841853,0.8197031838283335,0.32462872081932137,0.6470521013790441,0.6802164730342091,0.6093622801019403,0.32501068271665307,0.372333255313388,0.7033880007088935"
1,"0.28668403351522365,0.40487515712661915,0.3095083828914834,0.278577896449389,0.3694018919001156,0.3519388029093947,0.27436256436870204,0.3695671374601493,0.41206222377435786,0.34396621136538696,0.2805020415193934,0.2528323807388315,0.31101925410372766,0.2654300409345865,0.35275251079996317,0.28389856344028813,0.3226322692615539,0.24136600204725087,0.19369840812016356,0.4295494534155585"
2,"0.5126497808465393,0.3135943162986143,0.6784654810023301,0.3649550743683738,-0.0037740791987245525,0.7733091145945364,0.5846339212078043,0.12431789547914913,0.634721651691992,0.3252995421405834,0.1290338150226918,0.07620548905394879,0.37769796426283064,0.3721569408667691,0.3263680137231682,0.1620649263930124,0.02674580705394974,0.45694699771518377,0.5265560567844816,0.3176603641391119"
3,"0.48754584283217217,0.6457920889457366,0.2531391235638394,0.23404335764516213,0.5538179655509667,0.3200630115911167,0.49483881771705146,0.4453555028093608,0.4950664285210643,0.27305066554599283,0.24296056098576216,0.2955013585428339,0.4393946128560959,0.5406515459332419,0.25717846911474884,0.35493157156831356,0.32260193834569656,0.5697907707284128,0.5598586239798786,0.11851275313823835"
4,"0.5485149697817668,0.04251969742727693,0.07328913282922016,0.5112360105911099,0.2956733808594085,0.7097536011421701,0.48752264151210856,0.47181161921406145,0.6188472300013368,0.5837898440035196,0.3693972834803169,0.39306506491111065,0.3878493165125183,0.6647916674478951,0.4738206283235975,0.5678306431202781,0.6941404973438408,0.3209968840311892,0.4264949360540801,0.6696469906699108"
5,"0.11584085857529931,0.2551652586748353,0.5621877454472921,-0.012737591275518245,0.6849616478091984,0.25208622249662554,0.06978740554540944,0.10604698989225696,0.2166430278685236,0.3865145358828875,0.21312651618629583,0.22862841418940172,0.16703614299336714,0.3296460732173061,0.17225328090503492,-0.15135060695531943,0.35766955815160506,0.1977777026743761,0.054668780176049474,0.047840935063478404"
6,"0.33716795313470016,0.13676865231812468,0.48177412304466644,0.6062459095235085,0.396679905796109,0.406740677292761,0.4506393950750056,0.4199135757505017,0.4226077323529857,0.3126625056815605,0.31773019081057907,0.3319637479737424,0.6515501092926123,0.564117866951716,0.366747173565658,0.5072727042121659,0.44964181056379227,0.4119165025657146,0.37112880847960183,0.46460788808515496"
7,"0.25728957624910526,0.44690390858264345,0.5749225188977458,0.5540955362245638,0.41253071867969654,0.5603196802718812,0.5232222015918414,0.46845402545834375,0.5304110294977088,0.5790883474535571,0.48516786604719114,0.2244283527149413,0.28539048236036574,0.39047641775774006,0.43455081431586706,0.44855737879468993,0.3864055663892319,0.5008944753090211,0.48909243983375306,0.3667609505956332"
8,"0.18234984077844069,0.6621643657108872,0.0695882036831059,-0.09902646510572446,0.7545050081742428,0.3980762340212731,0.06998492529904841,0.7076671063960348,0.37325947811479165,0.44699132322713125,0.4537316401283352,0.5929565782823312,0.5826562259781464,0.6574479708901366,0.6896629293317874,0.332005054502442,0.2327663101489639,0.37834626875389255,0.4292107602899838,0.5864761700917686"
9,"0.7784236452442245,0.41248898669341205,0.4534243666778566,0.34637923300323703,0.25021450917210114,0.18717185218413854,0.36691046667198474,0.1866114299864663,0.1575105117290351,0.6832903003890911,0.5343446117001125,0.2176699531475644,0.17114369421391035,0.5091989410527895,0.5413391519155288,0.2458749109922388,0.38199989169183474,0.4306434271801127,0.5237246104850385,0.7405358420345993"
10,"0.33289767777120344,0.6719120571853853,0.29752204044468783,0.3945335230414824,0.6437416031572829,0.2687760670955977,0.4811611014193319,0.4972277859766193,0.6193637173329782,0.39598114507260135,0.4310776102829242,0.501312658561057,0.24040876758497456,0.581463066506893,0.5118979004941465,0.5859579783393308,0.1730776240882723,0.5310192865995046,0.2045081341377992,0.6400065541070376"
11,"0.4654957350174201,0.45614146875641487,0.2525189056651714,0.3782119767047313,0.5438217231646809,0.32754291787797024,0.4270172796304874,0.5605693090275762,0.6276284577812206,0.46271682985142304,0.4979884760469436,0.542054170223374,0.749003593289632,0.47505398420542233,0.6803272891911565,0.6930992619412261,0.4414738654100612,0.4574673507238585,0.5895252990896858,0.7018673644392724"
12,"0.21860990762156784,0.34841511582195434,0.3814397728926135,0.14406724150670713,0.6158628792663297,0.5180829128190236,0.27401624557886517,0.5011694489044844,0.2621913819972291,0.31690654424688847,0.6623487896999004,0.2980330896408075,0.5919383171877393,0.1800984801514939,0.2693703054840511,0.39304847145936384,0.593380624902837,0.673740137167401,0.5242030398448705,0.18543234392682162"
13,"0.6186279324046914,0.3438031073353392,0.5784526945092561,0.7714530075399939,0.3676201269537579,0.19999213717161154,0.4582491301078708,0.4792570854908954,0.7333744416235859,0.7360409552134113,0.29358866908241105,0.1602021219190076,0.196148983450165,0.6936496328808204,0.6383615995849096,0.32453435518017726,0.672909343404567,0.6727867669833901,0.5526830543434408,0.7556814176685637"
14,"0.3538785815193759,0.6467493411839546,0.5673258704650662,0.25432708077444577,0.5310017216036813,0.4457075737848042,0.7638294387170765,0.2676743472428165,0.3936493034313658,0.5512205680857322,0.32758554878240925,0.4090351795486685,0.45065581915054037,0.34502976270168484,0.4969620166688527,0.3731829159255818,0.5798703690555147,0.32563633472671133,0.3680656222546257,0.6548427114024019"
15,"0.0916636168035446,0.8083774873338916,1.12964413013661,0.31186880181544485,-0.13936402937725945,-0.25704180425053297,0.12186847108128332,0.6454549367043589,0.6477696277509131,1.098481833845734,0.5451106141154713,0.007924171173921581,0.16721045788423583,0.5597696448703,-0.1513962077577194,-0.08132129089957822,0.7851569262052682,0.11586134737216791,0.4581218927167122,0.14519566279069446"
16,"0.5991841259405449,0.8120789590298115,0.3046641874187942,0.30303348597042656,0.6950978078694972,0.4079046761743118,0.6299918829487698,0.546897578887042,0.6227129941288567,0.3297367096273586,0.2984771897761182,0.36672863023767444,0.5356961411665565,0.6982390837595185,0.30343373243656974,0.4426447963497959,0.41334789969956515,0.7074025842739786,0.6979895758862441,0.14530053130538226"
17,"0.20151799944042056,0.44790196858879316,0.2814148541968796,0.4859417598853864,0.7038777143659329,0.5348851211826939,0.58889941336263,0.5037161994467391,0.40163559387888426,0.4466192928776124,0.36617128173880714,0.5183268637693563,0.317862028189488,0.5721509330019503,0.6939274535913154,0.41610319167358195,0.5678656446109325,0.5080577315064025,0.3701034115339196,0.6982926218375225"
18,"0.3792373971099752,0.20409037999009763,0.35011612363541034,0.4670069876327735,0.2180340806965186,0.11816721468882371,0.27422808781675645,0.28071976269773863,0.4439415017409893,0.4361857809170668,0.18232865009846613,0.09763482687172516,0.11431297143633687,0.4168645929333835,0.38259995943027025,0.18977979120337823,0.40330612747404804,0.4063883360509033,0.32000944328165093,0.4532044883812704"
19,"0.20361942488274365,0.43292140345022473,0.28625440141130537,0.4783655208016113,0.7062367677032495,0.5266621223219986,0.5759693499570719,0.5111798853525782,0.4101875477961742,0.45676315149959595,0.3536620503460933,0.5099075438265345,0.3246082815035865,0.5718781574594552,0.695045410947415,0.41349866534749424,0.5732740288304015,0.5002653303359207,0.38704472274545015,0.7102134797372488"
20,"0.5014980964914973,0.31106602241974557,0.6821074726559901,0.3653309548916533,-0.002273671050507472,0.769842647062289,0.5853752738767061,0.12734839311625537,0.6436798076023473,0.3263966331720242,0.12626139523774801,0.07831601553002564,0.3889636555713098,0.3584362369310481,0.3241267050964579,0.17935792211897553,0.043593314881393196,0.44885313693024154,0.5397292120784672,0.3031338047697709"
21,"0.2266567891550516,0.14620654199652436,0.30208592230832043,0.34877067702951803,0.4245119511004395,0.24959832570118531,0.3738100755843918,0.3922759531151278,0.26880797154582126,0.22627832768267137,0.24642353708892886,0.2777654651959857,0.5554169922066969,0.3687416276273137,0.34134351657744383,0.27063034397606317,0.4134003496614643,0.3417508863998136,0.17418608009291123,0.36596967870297775"
22,"0.3111845742362776,0.18287478181554798,0.42004459994731086,0.49744461520332994,0.5320419224576588,0.3515364757662956,0.4873217600123066,0.5062750563289374,0.3677596879570291,0.3085332173816807,0.3354233992187993,0.37036868419467583,0.72585210365931,0.5237439727701221,0.43324783249884163,0.38973281532562526,0.5213261352698414,0.44824801438466866,0.2770296799399749,0.4775985786783005"
23,"0.27566503364872796,0.42091151600849996,0.5489856044545341,0.4563714530570965,0.4898177672709603,0.7314432003845021,0.4527386542418859,0.1683777228368203,0.5950190002931948,0.07258731226089415,0.4055915738058522,0.3947998799770424,0.5486487395737301,0.49417526207288315,0.4975973590475212,0.49151429827159787,0.6837383585056113,0.42365781663459523,0.45707138950205006,0.4159730078427402"
24,"0.2584177542851393,0.5052748479966387,0.22144941217795508,0.3044212070109847,0.48051920524986114,0.21536729345268332,0.35664676183494914,0.3792686498341875,0.4577728410646655,0.30580885277018277,0.31948698424507865,0.3768017166062349,0.18008368938983776,0.43366197932621836,0.3859688290612964,0.4395549096929641,0.13358573017030673,0.3911873194670314,0.15940466412224089,0.46878248772954234"
25,"0.0790202440309686,0.5698822037997605,0.515711015862602,0.49639794224702677,0.15628213258045534,0.6468141761799157,0.709728883436427,0.3445270271463923,0.38923521716216225,0.41966303683397616,0.30717738772727576,0.37009636699280285,0.5084162677593698,0.25848664141677397,0.7182497835309422,0.3862820826019005,0.2106767070270669,0.4024111539007435,0.5567122945703129,0.12373098562354987"
26,"0.6292663404837474,0.37678980649261395,0.8624920149031206,0.4492360997328135,-0.03008365022643552,0.9691730458506141,0.7370193606828348,0.13192213292407798,0.8140155066676611,0.40773600727388737,0.11399787418082262,0.08349142864931298,0.47621630007945637,0.4584453605378116,0.3783933012051641,0.17595505653790366,0.002200935777374237,0.5733390080046795,0.6749916095925768,0.3633508717820679"
27,"0.4039405738261233,0.0010135304325904263,0.5585278840329295,0.7640880693914647,0.13105331584222898,0.39594615222951035,0.3468657590703704,0.21861307330840543,0.5275436471371934,0.23002510810135443,0.1811389243913043,0.10431342522286836,0.45451738731328994,0.4177575671478313,0.30250611484153067,0.7152846764652162,0.3825827029767202,0.29031298892622065,0.29143120994602384,0.49440632920319083"
28,"0.3644702507583977,0.7113982588244888,0.25690276604890044,0.050321938996108984,0.649993322080498,0.4533412634403538,0.22421311104883634,0.7070200974431932,0.4449786674652385,0.47172112635074703,0.5886238581837777,0.3728013675991731,0.6802922188309781,0.6082879582270766,0.6593480376107361,0.5409435035245745,0.31852206904433317,0.381056534490071,0.37310465439066487,0.48422586568365583"
29,"0.313824810566517,0.31835683805743625,0.4931627651277003,0.19863955181873735,0.6529129042316573,0.36331045241227633,0.2973622865136628,0.3293274838983033,0.42611809798531525,0.41733474453079206,0.35172421964903383,0.3721556887555997,0.401111752540316,0.3701674929254552,0.3685217290220259,0.21791103258352496,0.442711818556023,0.3202139009876908,0.30895542181715585,0.34513661432803255"
30,"0.9133158219594737,0.07656966697307621,0.7677818955180876,0.8579172195072324,0.8917306583605581,0.007083347010858998,0.7510768417601813,0.853340137678374,0.8221992994293966,0.9313634822481177,0.39325645859366387,0.5717811992127498,0.40432263649991484,0.8220646497203765,0.9986999640952786,0.8851710368125728,0.14897545124190226,0.2802583943453668,0.04288894969151924,0.6744674883003825"
31,"0.25962035916377996,0.23313686232477282,0.1395654390790337,0.252029634446484,0.31148707267617726,0.18195427008067644,0.2926777896490459,0.3342195349958658,0.38354482282085683,0.2658554929997275,0.3023875485578184,0.30530298069300765,0.4647034138690561,0.2825683043361313,0.414484137336291,0.43728444550402473,0.24780754918148531,0.26571029202388025,0.33704441598574586,0.43307489364659923"
32,"0.43887408260355276,0.577008876463034,0.16136497990260454,0.5967335777878994,0.4977196238949814,0.5065476657565708,0.5516850707922759,0.22063612789702886,0.5529123051024508,0.2329375291517067,0.503539978299954,0.42634730275351895,0.5433269675053585,0.2822865690049101,0.4492313655539508,0.5089069631957455,0.1985065799452595,0.30021071808134214,0.3747670611709112,0.5694981832254965"
33,"0.7530160265446258,0.5238284001723352,0.6572255470376032,0.3670984682292559,0.07946485915473966,0.5989966419161536,0.6536789787672665,0.571864183249691,0.32148965546331915,0.44427610808882406,0.595601032950245,0.6639685447294289,0.46459550540777983,0.20675434429709347,0.5005097344346776,0.3607304406958431,0.6022168457073481,0.4739271386130565,0.3105600933585922,0.20767984206234844"
34,"0.4371773062147485,0.46311682538931204,0.1590596765498523,0.2530359749889267,0.6034654995873896,0.20352946114235562,0.4276543221135291,0.5975300402234605,0.5859370025386604,0.48456758559512114,0.5383936367363596,0.6297100057186106,0.774433455145569,0.47280186198397295,0.731129317146984,0.6402394079411509,0.39117107308298604,0.46246837350845693,0.6279195020660977,0.6895009537373739"
