,item_embed
0,"0.5055615202498479,0.17905871565991965,0.515685179998444,0.5193722726497658,0.3499987366326091,0.725710134745417,0.47189991579838286,0.5446164199684517,0.11968929724951015,0.3737684463612553,0.39069623289501315,0.7340303799050837,0.6443825955161717,0.4456153629346596,0.5779508151019379,0.45631410848889425,0.450096871782711,0.24549138263142534,0.6314838923639119,0.2726375239991282"
1,"0.6916725834291643,0.12385419989661019,0.433661600737479,0.49381803845603023,0.4391280013809001,0.4012955539478576,0.7656187223070603,0.6321846729916061,0.5622313459689425,0.4799483373259821,0.23943982966923175,0.6612770719518255,0.5762373637761823,0.06411502306015708,0.33528677108829363,0.5289230719523044,0.7984630199019359,0.34858918396940336,0.3370925331771763,0.5633094181094932"
2,"0.4955061760527283,0.7033053934005478,0.6057688259141114,0.6160406219120669,0.4709825072306674,0.5516614610484917,0.708458155802069,0.3816503392692562,0.4085977642903673,0.5333600265995592,0.31225963721551286,0.5267818158483767,0.4754778933689499,0.5526427851137183,0.5487592175977128,0.4318688147708783,0.2645145263069863,0.3959439444404688,0.41526774692639107,0.29886783717612037"
3,"0.5965106830427526,0.3655018217102563,0.2801264155927207,0.29532099174510734,0.22601301319186887,0.5554310661248819,0.6143837642521399,0.6293158177061188,0.3146020366390169,0.40958976225614835,0.4276416506726622,0.5623158658181394,0.2308188370776652,0.12717916508046156,0.4040737596812472,0.6234327439050226,0.5157779471029811,0.4178907117698415,0.6170382240486496,0.29432234404075114"
4,"0.25421555163227316,0.6049125334295539,0.887155687759914,0.09115861094507993,0.6540060327407291,0.5961819565989637,0.3581415238028215,0.3294233430696649,0.7234285054782474,0.6015802119893422,0.10602546880178243,0.9617569405030219,0.9602083268862587,0.4035698287240034,0.36079720068142873,0.2819140778150414,0.3361195585143145,0.4438782320872239,0.5827397728998529,0.5992889255671524"
5,"0.4189172563269732,0.771450384138815,0.6298715407249132,0.6095479164449102,0.4515941063740218,0.5256665389359504,0.341016410813196,0.4718804544982823,0.46158694949825496,0.40586375164346833,0.17507183826372552,0.41322390524216307,0.5130216217860388,0.6495490457051287,0.5737060395365432,0.5137174783838369,0.4867318863077046,0.39518502556249957,0.4360035577385815,0.30921075028070716"
6,"0.5468589606939109,0.402481609504779,0.5147795709685018,0.5535410387186346,0.4533760842864662,0.6008470085733565,0.9484594650123932,0.12021892455962062,0.3946466996555107,0.5404391013353308,0.2975004681296335,0.5484112467670469,0.6195096531270178,0.6209598999896595,0.4133307501344471,0.45646257455817446,0.17278854649352515,0.2654703505158085,0.4389538988810741,0.27035940044870765"
7,"0.3667140190703794,0.3905440623522735,0.41473160521108215,0.3278932497591725,0.5642249937389908,0.5413154409126752,0.3834852759156366,0.24017364634583055,0.36474439036021605,0.4901433685794662,0.4730816355333971,0.5400711729914215,0.5580312834421505,0.3474538172821385,0.406910730264389,0.34777557019489763,0.24017880252791857,0.39845631392532305,0.26187288291830396,0.28237794698159263"
8,"0.4002670093739227,0.6427670798375588,0.5507387345485824,0.7038105411196678,0.4480702078817251,0.026229430354233436,0.05077686121675234,0.37680970372614375,0.6885753107421808,0.261585263179397,0.41970433362558435,0.35877223835744687,0.5821558827580499,0.09798358546394557,0.7121029124123759,0.5520051045498164,0.5577746838790472,0.7187055713976758,0.3755467848443485,0.41159357646869044"
9,"0.31408152291821684,0.6815573769243998,0.567543829605127,0.4554556894910379,0.6167034570121521,0.3655954937394592,0.3335840173943953,0.3562457442715974,0.6713474750314213,0.49910769421709505,0.45684985480313073,0.38936508544146375,0.6019853692834953,0.2918796388116452,0.6242079052132383,0.5684062376974045,0.6034772643710515,0.5657222370946033,0.46034921735166784,0.33518608303994063"
10,"0.5347933407650527,0.6622580007118734,0.43809934626154623,0.7084466949880152,0.5398564217762865,0.2099130889853052,0.19777325884817212,0.26406497752833846,0.6848239342855248,0.48137457806153505,0.523035739516194,0.3316256931824108,0.5399894768770683,0.10419795933279251,0.7452827255417946,0.46834277714411443,0.35388181226620136,0.7201832099721749,0.5103467044131902,0.21984129737304772"
11,"0.775238723831735,0.4592267278735933,0.013358825438510968,0.9833026626237078,0.5654916014001039,0.7446249170841602,0.7046283614336316,0.748038874394736,0.14337300078773663,0.5910560438955933,0.07110018648723182,0.393531868488603,0.5335792781741687,0.16531486406868534,0.17222498249093876,0.2999751809364942,0.8511918194348655,0.40876049429355166,0.33711997073592326,0.06512277405903222"
12,"0.4973741746825261,0.7353784523487634,0.9796744326928712,0.9516317552393433,0.6209703885599391,0.42718918403986317,0.28451499374734746,0.460167964155454,0.09149418499361084,0.3116458623040431,0.9736686601454424,0.36506938522630283,0.8301080367536549,0.12703551642151745,0.00785029401357662,0.4456738232172336,0.009299219807096804,0.3015766253725959,0.5796285212412555,0.27971076416497187"
13,"0.4737636128501249,0.6594182398416136,0.2595302891446436,0.21985081164086773,0.36870122770355795,0.17044173873988533,0.36010204147942576,0.6259100037586688,0.0922758151345084,0.5358695456562174,0.49576784508045585,0.5420495209423307,0.49435034994463223,0.5887875345086508,0.580985186938616,0.6030308135095531,0.1790768639976119,0.2349993111297706,0.40604389153055087,0.4006556231635685"
14,"0.27389842367552997,0.24758423406960695,0.3506117944030076,0.3359068435514862,0.40276868521473946,0.07028042695007199,0.47475951285256446,0.18742291018904844,0.2539370996332061,0.2631006772268735,0.11699612646392255,0.2141181781568963,0.09611389937362136,0.38834033270253043,0.22645386807951845,0.0651451599444876,0.34296642454777765,0.05486700033906566,0.3766656613043802,0.41611060394115684"
15,"0.566149030140363,0.3790217608764821,0.5985640152272754,0.6751574000869998,0.508197552746402,0.5383753629911311,0.5675476668968024,0.45277995954705064,0.317626721807726,0.618546687496874,0.42330968586110096,0.745041475007763,0.6290814872945346,0.07469498845480578,0.46000668961111973,0.5426202217795106,0.3875643557012735,0.363393428798792,0.41310784258886607,0.5263404619955239"
16,"0.998657101480643,0.10189006261105993,0.324139538618043,0.30174025563320905,0.37921321256693385,0.5702028374954281,0.033130374156529085,0.274749582359481,0.792517720489125,0.8212665841740707,0.2449211747226172,0.6963772357626017,0.6339076081890793,0.3232773978535186,0.6109548199880148,0.07258891172158688,0.9842300456798262,0.5713874581911937,0.741782747038465,0.898896594742348"
17,"0.2289124313754397,0.17004347338148618,0.408151158477431,0.995676452642404,0.8761652210985852,0.9611461572955877,0.7593753335099501,0.297323950799564,0.5049476500857161,0.0474805726098505,0.7941805962657577,0.10323686808333776,0.7556930284237063,0.79445472768557,0.050784119454259646,0.5548607840670932,0.9423334716612872,0.9465177629529672,0.7333840686190548,0.8477635625022852"
18,"0.7042589474822409,0.12043340761637196,0.4376791103354118,0.7485544845054565,0.3964029207317236,0.4636047000971545,0.3458011929476831,0.3406280889969312,0.6195017208698633,0.5699988613827617,0.5049991110203444,0.5777378299491022,0.49401906013644675,0.05262291887093767,0.7359487164222864,0.629460274884894,0.5417960550289206,0.2849393551154163,0.6105383471228972,0.31997229396364885"
19,"0.9043743046846341,0.5477653767795757,0.0008483351899007952,0.9704832316448018,0.7469282801079098,0.6067863931631594,0.21831974167749846,0.5210123061707903,0.5999332501171551,0.6917898279448707,0.4416903022689911,0.716602628124927,0.4700155330144057,0.11325820907265438,0.2343346364371851,0.36694950329873266,0.4391339703706887,0.5936037106338754,0.9231494839238459,0.15985749428814122"
20,"0.5887617230035463,0.808382231408976,0.2955068125150426,0.4177517896162824,0.4731758740326402,0.5581650610241741,0.30850783306636237,0.36280773518102993,0.6218186010178954,0.3628876966372155,0.3159648868062255,0.4684058655863463,0.6340239921824052,0.667762198549028,0.49296678734890664,0.532226918238922,0.2945614767341904,0.3674601234066703,0.4777073248943084,0.5309921370719264"
21,"0.4957399643546584,0.3549748807942286,0.4977733014256471,0.47825373311216207,0.388979000282583,0.4854025515564396,0.6797184721706453,0.12396191930294735,0.2343079979950373,0.4456916461926225,0.33008476260678166,0.39096971036982514,0.4489819606145286,0.48647956826282496,0.2962545723092053,0.37727729484715156,0.24092678591587213,0.21099660226739064,0.2910547116581386,0.15571464294668472"
22,"0.564114553543745,0.37286359486764575,0.26998294857541494,0.38243966079896075,0.621026069697902,0.9880787455789638,0.10249463012155313,0.37016235554008825,0.916322148402457,0.8071332883379833,0.5092520612308472,0.614980608890176,0.6983927409209076,0.18470844362239924,0.9742825630430114,0.9539081491422388,0.9909599533408239,0.09946400663698274,0.2541435036758398,0.8901714643979034"
23,"0.9972477011799653,0.8602037115124032,0.5616225411955834,0.842566771694122,0.6780734227152678,0.41747016115951796,0.8378291830558872,0.46084426461100514,0.644561888521857,0.586513951286597,0.46298944451171875,0.23056385317942962,0.5651969638389464,0.7669167197415266,0.1628521616921288,0.2871320367159095,0.8244424883130381,0.08703213523763387,0.4491510316673831,0.08812295761525424"
