,user_embed
0,"0.5567024505242776,0.5201135194292457,0.5731924401804919,0.3570524913947299,0.4050177951338921,0.2335172542508862,0.4407315116377181,0.3141087845764573,0.7504966424674612,0.3793654743578647,0.44680973709490546,0.5625735933511038,0.685872771977049,0.3237879702227613,0.4224226759983115,0.3430753752604018,0.20698323156185489,0.5751448592740216,0.5652323227036758,0.3601014873371937"
1,"0.2715926682769503,0.4897189867519254,0.22788763399753995,0.17305996800948548,0.5718025684608331,0.26254840426805326,0.13234304901366117,0.3950226607452223,0.396269741847786,0.25432605892931853,0.6161713951019652,0.612938395140571,0.4322110658117492,0.18746820500836966,0.20530440210415882,0.12187422971407694,0.17497246734997793,0.5024544385321149,0.4377299051725129,0.6157906944656563"
2,"0.22224755930339127,0.28681780136398066,0.29795566097905946,0.41409846434696324,0.48362604045937896,0.21433670985935896,0.3752100794781607,0.3267015157394545,0.44181330153441906,0.5773018924565936,0.4662243787034922,0.5619760921243926,0.5404730516298775,0.5361138510912502,0.3597539468472115,0.4730000446388155,0.48945815642865137,0.09078225174722823,-0.03893757755395692,0.42763725081379195"
3,"0.15353703200410784,0.5864930439371147,0.30228576452002975,0.44618775701626057,0.14049635103238844,0.34072005708168146,0.6027444111165903,0.39404126629136715,0.3408704503801843,0.3095855017163595,0.2559409446641992,0.313476933188552,0.09952319158496697,0.10515844467690594,0.5605837414541639,0.548171894486056,0.3936298288611055,0.3470957660058597,0.7210929227154481,0.5956322118628177"
4,"0.3760176854203952,0.45865903007092,0.4173333686745828,0.26653265747804994,0.24576057277721153,0.3410752672353424,0.37742233384994245,0.268327632612308,0.2335829368026174,0.24349416076882854,0.40142291556975535,0.22632973854391533,0.23033369390246375,0.19920611508313169,0.39118129266571805,0.3003206266446485,0.16189009924819397,0.4322455813527208,0.1194865199253149,0.27946254520288716"
5,"0.46222491571672886,0.31276683998071864,0.6265042449272649,0.49665141047944783,0.46555550653478744,0.5766931242866026,0.4118299076686126,0.6144995408644338,0.33698712487863625,0.3067492066694476,0.13434741067367337,0.30237424211848446,0.341173902315592,0.2472600642662123,0.5277612235833802,0.29763581961673125,0.40973886653942226,0.5014847336892785,0.7269340276664411,0.45739051808123155"
6,"0.556681484764564,0.10175584056156058,0.5021119318622937,0.11284305458419998,0.5270658891105108,0.3161413647494714,0.11828133453130778,0.3433352526261742,0.5560167652185442,0.7613476743505688,0.47702809965516924,0.5426308189732335,0.4605154054416856,0.5613712867679063,0.35656463180472003,0.37305875513992093,0.5185775752514757,0.45016755856639357,0.5068208619275666,0.3994652469412175"
7,"0.5997217048851673,0.6348926789838747,0.5956816095694974,0.3997156427110217,0.5941524589771091,0.3578186716857363,0.3154194184270148,0.6930962946921772,0.889395788546826,0.5042839632802876,0.47001319603925146,0.5452884706311687,0.35216602614520137,0.3196863575841488,0.2567214148328452,0.43679642427437165,0.5378340229280025,0.4327911493082836,0.33314213720227237,0.5455034894366155"
8,"0.569117075817973,0.5613917516575629,0.5133155063410284,0.45109086544480614,0.2363597600439935,0.1953342305593665,0.47161730761140713,0.6629367703930545,0.5827615311373876,0.3259692267484855,0.30365237951055396,0.2594142671620064,0.2150570356329286,0.4824372176731194,0.2157980773995108,0.43829077353739193,0.2907081654393291,0.4242377305335077,0.1694485135673438,0.5509470974603972"
9,"0.3230499725301898,0.3286080543600217,0.32254918398014415,0.4857582288664851,0.2748896867387255,0.43788010665577143,0.33604935663315877,0.6087943452148041,0.6443033342309776,0.36976159704475137,0.38985032715393425,0.5390827836949964,0.32670565153081793,0.30988794586818746,0.1879423439671756,0.46467524891000406,0.43305249066291973,0.37743629917953025,0.46893907249453387,0.48762205266910474"
10,"0.32497409735864174,0.6111777442698559,0.5460999943623821,0.23190957225008185,0.25031422090855154,0.2570149226291112,0.3371005429060082,0.49331667320543404,0.715052019195015,0.5057370257193071,0.3152345883559743,0.339297225481066,0.3650773258572366,0.3249672501875503,0.41000844381042467,0.3249073952900495,0.5498306825345974,0.43111655252147796,0.332267544600233,0.33325677365183515"
11,"0.4046798226617192,0.40638150486014896,0.450084104078147,0.45765687441063185,0.42038644117333396,0.37458530285959785,0.4062212075180043,0.3973944697508237,0.48341582219724927,0.44612622567220866,0.4480733578352375,0.3879843275624212,0.31237180347590354,0.3925617738467055,0.36880889803831446,0.37673750884313356,0.5233488195743276,0.4005997130129356,0.5003325043939848,0.4292236188988704"
12,"0.46819705581788934,0.8136083169026741,0.36134522212717113,0.37232310065368696,0.7663498478365318,0.6636209181059577,0.5139216383466235,0.1455098778031898,0.7383668668130967,0.31037237202471224,0.10430874418744344,0.5593127889939526,0.8358194736479789,0.33669784650644785,0.4985075401768063,0.8232585013515323,0.27830759506039415,0.39417086693308523,0.5884278953650907,0.5728985544608349"
13,"0.5481016201008397,0.4422906055448422,0.3224709839756061,0.3458539748147053,0.21626039514594664,0.47846456692585754,0.3571185745401233,0.4645861112331434,0.3696871215477132,0.19845126316669823,0.27579638886801094,0.3223382133819181,0.5813072927412467,0.6330603245727031,0.452299509972941,0.6093210582519472,0.5514615666936514,0.4735629495499707,0.39267957821959565,0.4371913387123344"
14,"0.49149513897811625,0.318544445704634,0.5331307909563886,0.657350981329595,0.5195218128337282,0.2994042797490988,0.5536618669616382,0.79265953472695,0.3300371199711197,0.5770932940904829,0.1984260595211032,0.40597043050450177,0.3959494177818659,0.47838164521858034,0.4604003155579002,0.3268628085077029,0.41990043243008185,0.2517080192004027,0.6230048975760015,0.4122746287920886"
15,"0.45110712866094316,0.39307365450195947,0.36098118912220145,0.5061814314816859,0.5115563936334963,0.35141570047262716,0.3229993430375192,0.539728307473981,0.6005417697332833,0.42957224315168346,0.5475940042840819,0.37097222583924944,0.4431379502525303,0.5404337972275238,0.4291784245697397,0.4357542067246038,0.3747414636618996,0.5895899812906163,0.5683175529519768,0.33778819573743557"
16,"0.5712217891997602,0.32293844928056586,0.6170022529022863,0.28853542909746854,0.6512589466727838,0.4254018434680062,0.17951393306485192,0.07794217771644646,0.30225889246533827,0.3676267063034634,0.26044779577666327,0.19045184577232444,0.09621360022975348,0.376309498996949,0.35513588789592027,0.19846983929662723,0.5433940760422173,0.3951490620911352,0.45101532556470547,0.5204747194783773"
17,"0.32803040166772895,0.711983473036887,0.6704599640579809,0.7151515071875583,0.4636604930606802,0.5707064380213883,0.636787000579295,0.189100801146818,0.38554959341317613,0.4581299015850879,0.35704434227369314,0.29245636942695014,0.6828350803452865,0.6180898450535873,0.2715413001637486,0.24494316737598687,0.1456926245775335,0.15445460889999535,0.4996581414250205,0.21295174213862444"
18,"0.5124782385579658,0.18613678125765867,0.15179568770971175,0.3008462943978455,0.5736163191817462,0.35856932031395894,0.5111264168809222,0.41756223260537667,0.22686481003948422,0.239921354726282,0.45773146830907596,0.22660078417021068,0.04810877518669317,0.049665082619001474,0.4427311398654216,0.26815695234536213,0.5468788938087965,0.38155153958176485,0.5517730361065307,0.4565658464601828"
19,"0.4330785340529066,0.3357824968867321,0.44854116883104944,0.4781042732981694,0.3956492794870574,0.4522436301329997,0.4152911210563357,0.4369610899711176,0.49382830292057917,0.3727095152067153,0.5881453925897772,0.45998813081021106,0.40819441493554753,0.5630972074754581,0.48277742028864923,0.39786684411726725,0.3912285451247518,0.5041592584577962,0.42312229661935696,0.41427264712432554"
20,"0.3595618726937942,0.3330112059847879,0.49118039280227455,0.6426948971989875,0.02368962657251236,0.3472765804433306,0.35863801407508905,0.6422775189171791,0.8062722820825415,0.41528251749552597,0.47335713044465677,0.5587366469374385,0.2978910882294438,0.4449506353935481,0.16394721350816904,0.7455758039315517,0.4156481965224867,0.4927708725234242,0.3963943650107097,0.5535042659876458"
21,"0.6952922860948587,0.44242057135003166,0.18093372848141442,0.3029932786347816,0.31053360398998714,0.6762002645133989,0.3115352718145566,0.6890281042553859,0.7755930412567597,0.32290206397382776,0.5320695199848212,0.2603233358173754,0.43255767885231605,0.2762396901727671,0.393036055620214,0.45991629193140854,0.5920503007955111,0.18720532303226328,0.15544055309720695,0.08630979488050385"
22,"0.062357627725745345,0.48986660994792186,0.12471395393846461,0.40673065621431775,0.3137218876225724,0.3613742752180683,0.3184130937023142,0.4467372948933588,0.33700848651167165,0.27647400117431803,0.3023809724132502,0.18917699098029322,0.2660718648877988,0.3833274424620996,0.4007582998180942,0.0444201344898264,0.32956753857073545,0.4799206482253985,0.3200615722089751,0.1982923273376711"
23,"0.37616688187400366,0.5233146072333733,0.5577189460561867,0.4208629400822488,0.43768718332694095,0.29163285093791735,0.4523260429437213,0.5988096381256137,0.4343360708833897,0.32482180868777205,0.39310817221814043,0.4328599508218383,0.37921360129616094,0.34478207691784474,0.28177751062781686,0.28090070489279156,0.3503026346068224,0.43960009622150725,0.49134438781323614,0.40401448009933516"
24,"0.5325900635271396,0.35412105513387365,0.6606094451007035,0.6817833383097439,0.3430656205592307,0.7089369800889579,0.6184417958407027,0.39803019523279215,0.7176631111968936,0.3206881788858168,0.38668460028069007,0.4641954413461357,0.6715995994838144,0.24549297069037954,0.3287243134434553,0.5205364873948991,0.5068250343357089,0.14074785938317563,0.3537704008706721,0.41917441567293484"
25,"0.45094456294683344,0.5466376892623613,0.5436143803708083,0.18309907341999174,0.5418932377841021,0.7218809798992806,0.42308986554919803,0.5124308170360703,0.672780755035536,0.641871394048859,0.6499514979112873,0.48776480861313604,0.30260282839765335,0.34593320874106215,0.4983041706300511,0.29853804480497576,0.46885510381940554,0.3470550505565013,0.46884166449384085,0.439913689793992"
26,"0.4305561936740162,0.10133448360281129,0.3618251543652184,0.5815925936887304,0.11161001678885141,0.1726644814055279,0.2957292476837921,0.4622304402773342,0.4055169459804758,0.1753665055666472,0.24862423788434274,0.5175825278084227,0.1469436885505919,0.4107815298283285,0.4590729208351653,0.5709998323375263,0.2389062934642605,0.36321183271620167,0.28495976177097554,0.37477093099506287"
27,"0.42088284539715304,0.48714269381228614,0.5389025038365001,0.4331992305532426,0.4855133639901496,0.34693225979434533,0.2222044338111676,0.4447313403462093,0.29375531414499045,0.6991343286218471,0.41658542428348394,0.5105716470925754,0.36233571447212437,0.6979721394058553,0.4200109188043094,0.4676321928521953,0.5227985210461958,0.41824197660042245,0.3846706937738958,0.5652817077916167"
28,"0.11220089271931517,0.33454565988507845,0.6415594820704054,0.5453842976897187,0.37435269445252656,0.20466167344941116,0.6029483153782658,0.4813740172793964,0.4644193260416744,0.499948362771383,0.20925944794050988,0.23206853954711015,0.5538565110197977,0.34625485269834966,0.3019498390404902,0.7424089756408443,0.3035369470453417,0.42081629153390654,0.35864699648055776,0.6874626688973015"
29,"0.5106012364698082,0.2503515483382154,0.4834910565583143,0.5936320666716929,0.22128038293612673,0.3327055479179466,0.5873545396807031,0.6043232617707176,0.09853013785958878,0.27573459578190745,0.2944423519261002,0.758543490428954,0.6634302780599143,0.27245568648469026,0.06274168047797758,0.47022984502936727,0.4387032355900933,0.36894839321676054,0.30092374179097,0.5142542039734161"
30,"0.6222430574767102,0.47444945727759297,0.5990884208986537,0.3730117803465848,0.500664729060232,0.2823259512667575,0.47354939060282525,0.5121416040506097,0.3424053659217694,0.48534148267297794,0.5070000275772378,0.40732884051103546,0.19804589697563385,0.5726699436410954,0.5319264961969531,0.5473447523852648,0.2700344408063085,0.27666873812780407,0.3655693606236238,0.38853365505719795"
31,"0.4805535592979586,0.43700272654306943,0.12076944668830321,0.19334866892740507,0.44988997995294094,0.421487284337422,0.2797102198808352,0.31271280903098886,0.1903319403052886,0.09908602103206042,0.2443929043100671,0.2287579800005918,0.3205300124502825,0.5046893990996136,0.26021047361998484,0.32641400389326725,0.30611855314510084,0.16990661674560123,0.07280442688847526,0.23018078904012376"
32,"0.16397922465435733,0.40330341640624107,0.46185335582524556,0.6056961895659276,0.42473652607502077,0.5002042289416074,0.43938748656885246,0.3529710318106505,0.3040573068607799,0.7051663813571603,0.3163314943864955,0.6619191342454617,0.2910835393952402,0.6162508386180046,0.526609613906902,0.03271608565350137,0.19828443181714098,0.08867335998697955,0.38102801726271435,0.6265716888575439"
33,"0.535400362922852,0.5773003286382595,0.6763644757686856,0.22256901801117443,0.45437590079030227,0.38755766022962646,0.3770877202159056,0.30087955116588744,0.29690828131289504,0.2835948083953296,0.706987816764763,0.2872941742694029,0.11619966854398835,0.5041765655445373,0.4008697901725096,0.6505262003303336,0.7542441680013573,0.8311488803376919,0.1873583889604347,0.6914192573970528"
