,user_embed
0,"0.43007517434661013,0.6512596672667499,0.22887364706340463,0.3295260603637733,0.5494185141399353,0.3857020961180151,0.27753188821866215,0.3908040835283812,0.5955822732704918,0.3772267323830408,0.3701969826810157,0.43213679324143256,0.7302163638373113,0.3170930152715049,0.5968324017587491,0.6211571938984172,0.5484561059351409,0.3125630095077469,0.36094175427563696,0.6394215677453302"
1,"0.23775133452430994,0.39871562399312227,0.56602397141092,0.49580729200226314,0.4129135135814092,0.5570859724508779,0.49954652562793517,0.4676863758884212,0.4753727356052098,0.5662017502062446,0.4805542937014641,0.21650160715847494,0.2740101602397851,0.3575407268926615,0.4102716511866872,0.401881164181558,0.3733124804323143,0.5021712811444782,0.49638151411498826,0.31118500516037106"
2,"0.5398572477915692,0.5753118603582409,0.46697493434974097,0.40426611691881054,0.4676281135956099,0.5188686560509012,0.4208130179297703,0.46572824126214507,0.47854985617196877,0.46142638458569357,0.41227303041331964,0.3806081219886859,0.45401506243512263,0.4405404644110551,0.5772423636423356,0.5026019768399737,0.48108401012010893,0.297960689048869,0.3419581954642845,0.5587575732647619"
3,"0.2965725365694449,0.5932076613875794,0.41416762857298856,0.3946322942716768,0.5938399742955472,0.4884950368604893,0.3658611767346413,0.5850983318734614,0.7044887865021877,0.5166089443080059,0.38796546863596965,0.3513530910359655,0.44972917720142946,0.32822415943374444,0.4509458843272159,0.3312135103469302,0.4563758108722112,0.39384584032419007,0.2238826415411249,0.6757702621675447"
4,"0.5858282467889228,0.3553454448374647,0.7954610300991777,0.4216500723322568,-0.015801199337771184,0.8985149801600207,0.6802090586479237,0.13326026894599483,0.7501589456250576,0.37794565826786236,0.1258163910484552,0.0845496040546525,0.44427908725524556,0.4258062726556941,0.3647524176620807,0.17895000656337443,0.02062873583735262,0.5295151748936757,0.6227979194847635,0.3474626353568082"
5,"0.5462562828083807,0.7337312941723003,0.2800633582555488,0.270732837844242,0.6284966061581803,0.36664503315267655,0.5664935639716863,0.4987460440909692,0.5625700092846555,0.3027044816269272,0.2721514873551819,0.3330501502268369,0.48992387532653386,0.6244281668514687,0.2811637297763013,0.40123046428900844,0.3707751084374615,0.6423500136497511,0.6327665757442528,0.13259067608624917"
6,"0.5482640986796761,0.04250982614125834,0.07332736638381566,0.51111852443666,0.29569630703302857,0.7096147662927289,0.48760394969527593,0.47172904257167664,0.6186535808689145,0.5836828942748705,0.36963047545019145,0.3933007216444482,0.38772650152729715,0.6648329361762807,0.473588792793245,0.5680637792197905,0.6942654184426786,0.32112067615137413,0.42671039701898544,0.6695826075690869"
7,"0.3154244056319955,0.3321862511617475,0.5188761843767293,0.2000592492130244,0.6911703249276436,0.3734665392358777,0.30044833885028305,0.3382023321143516,0.45145042536788516,0.449704784454437,0.37152417514728425,0.38845231619983717,0.4300174957048452,0.39756523431061924,0.3888609202939279,0.2227850500204379,0.46639431981169044,0.34452874864448096,0.311816486602759,0.3524784796442698"
8,"0.47024846585529556,0.20188426800431009,-0.07872824576051035,0.5042071645729084,0.0636169461882978,0.2840840068035234,0.547696336763103,0.5528589200948658,0.5741520966048985,0.17784056604231793,0.3905389093976593,0.39606575449009035,0.6566859738336743,0.19315613120831687,0.5416407084793218,0.8884821064255337,0.2721575244954213,0.3605492306268407,0.6140835573852025,0.7326690384802839"
9,"0.35418694369820614,-0.014754416407764929,0.4943003179123384,0.7048751114581231,0.09943747194143683,0.36579762386572984,0.32332768607056417,0.18417613050056258,0.48544499941581043,0.197211433993907,0.15649781306215002,0.06980614523674461,0.41041500053666263,0.3584357513133861,0.25785184482897044,0.6497384782292355,0.35196007859420875,0.2635130073559299,0.2592013979573959,0.445515276180254"
