,user_embed
0,"0.4912410704842465,0.21326794330837676,0.479233580719019,0.5941731195353332,0.42725640566022816,0.7656478782977665,0.5876845613551465,0.48382236679644847,0.11744028046552352,0.4657569446979514,0.39140250821249495,0.7721227957585945,0.6203107554393592,0.5179051465648998,0.53588937986912,0.4884374499203694,0.5557968924605148,0.3246368211698586,0.6612166689465114,0.3061399855667492"
1,"0.5308800930202376,0.1359852017580787,0.34808290124369834,0.4210195374304079,0.34524076512528323,0.30383329536690973,0.6001428902892942,0.45282647225705364,0.40857244500909723,0.36576461780140207,0.18190641887385256,0.498213892757506,0.3788726036409586,0.1221838392688412,0.2701392196926476,0.37115829516604293,0.6056714078908927,0.2841950476281145,0.3149167818867299,0.4350200524827376"
2,"0.5742753212624231,0.4990229440743949,0.5929794056347426,0.5743347490117008,0.5133384077830883,0.6295790337023934,0.8661672828262186,0.20545946570045992,0.3704462153434701,0.5676954696769025,0.3724298221128632,0.5629668345322887,0.5890751086572992,0.6173299805311192,0.4406015677172902,0.457172224560113,0.24100193120456473,0.31797220418711475,0.4044119343128802,0.2498116595379969"
3,"0.39931476456427223,0.6529576190493737,0.4129735439077312,0.44819654172437057,0.3776720861349967,0.4406632158631085,0.3450047822754052,0.35900102305626774,0.4188460731866761,0.35339849122758793,0.20991968097642524,0.38466315495817666,0.43908007456403153,0.5050739804403495,0.4599003526550541,0.4041213216299682,0.2919586268002482,0.3311881564104818,0.36901092035915695,0.3288014103985217"
4,"0.6293123209091215,0.2710771337901335,0.362893548543227,0.4242435370701482,0.15777850488077044,0.4231509137093226,0.6267339561586467,0.6238810038057048,0.3323522154905825,0.28749792619471903,0.3837359662827871,0.5624499563468551,0.2718197486116284,0.1685505037466869,0.28619940602646976,0.5821568213371159,0.5791602867728802,0.49832916854313547,0.5838108294811327,0.36594977576897914"
5,"0.4631527449633473,0.3522651938499142,0.37553271863739474,0.6331610637714891,0.3852402360200114,0.5078186147125355,0.9310815613067628,0.07056819481700226,0.5974614471604802,0.5828975057961355,0.3008259106033816,0.4957628684103404,0.7607654387595028,0.4806353409951246,0.5357057436842809,0.5732614973403899,0.19238819614301883,0.3238295210804392,0.5929766517478366,0.4768996971654063"
6,"0.4108684991936372,0.6915541390926414,0.5470662309943695,0.6610429532119456,0.5177912490802269,0.12257721474613416,0.11420459900741958,0.37380837853954896,0.7127901258593963,0.36147565968419026,0.46907790469111327,0.36019141654002773,0.5836334024123376,0.1254103299418153,0.7274039484975852,0.5544472495218622,0.5598616318566226,0.7228261027370796,0.43342368271426607,0.36869083673612096"
7,"0.1481341759113693,0.3483215146987587,0.5259586802232709,0.20606112404488228,0.6219146621790789,0.4701336135058318,0.4631721019475727,0.28638105623243065,0.3999114931185616,0.49972601879270295,0.4023737660106182,0.24108943417831638,0.5448170178367534,0.4141161152790728,0.4927856060372633,0.43009875121550556,0.45050452457707413,0.281152458733442,0.4136785773209107,0.2527018097233611"
8,"0.24127623788034863,0.7622825190950225,0.47973488501961215,0.3443087254822883,0.6467244687236714,0.5227365849961172,0.35804611882860865,0.3037909605619844,0.7194782134607003,0.5879608666319186,0.4015768750761964,0.4213346369701986,0.5741056327867975,0.30020888577618804,0.49181994648770055,0.5938280214824803,0.6517109697930548,0.47462512472382046,0.4163588005800351,0.27708054316064684"
9,"0.5719280565100712,0.620305795643197,0.246144108685407,0.30808853099836786,0.47539583659430595,0.16329030576700626,0.2613104858713555,0.5909828016811225,0.10168824683307982,0.6056128447207054,0.34347542301093426,0.5405283700323084,0.47032270501842627,0.5309365030904073,0.572312597980601,0.622990661182841,0.21116260249409896,0.3487158733490729,0.5288319049726365,0.3155545121788798"
10,"0.6455617496212256,0.22834411704923058,0.5060469397567973,0.7141181467129027,0.4654147638577558,0.4499430157045651,0.4809128451910013,0.37254502053215893,0.46667076702480037,0.5911944879230128,0.45312623594245166,0.6530100405123221,0.5344948893052739,0.06575999017410315,0.6057094331779538,0.5446171663192406,0.43696173744300754,0.33705160957981334,0.5042750545955239,0.42730883083494264"
