,user_embed
0,"0.5695425795963417,0.34260266524229893,0.4111758179481559,0.3358492427511382,0.3145969372531831,0.5752969911974487,0.48130412599243105,0.5320088361956788,0.400923732392051,0.36596533265388936,0.2759123670279826,0.4347115572202836,0.2815138843622781,0.4797853638133998,0.2800004712995694,0.43961499085397626,0.2878928042896047,0.4010666460995731,0.2507942053453701,0.5461437200763429,0.30616271957549807,0.38924033769086946,0.5296861721972242,0.5116087360245476,0.5631676787211702"
1,"0.32585506714521123,0.870975345471302,0.18265458401274567,0.5446211154214126,0.22340867825567637,0.5416170838877663,0.23665663542748705,0.21723873930527307,0.16352982098175736,0.16983533680983892,0.4572035484692201,0.45059319063130754,0.3964092894539768,0.5338060602686954,0.17609052181888457,0.5834345677091068,0.31842468944141256,0.3039938421186265,0.6348059149964074,-0.17169039956623458,0.3536655446804181,0.7519158529961062,0.5371676558713556,0.2865980396391162,0.24422697018190465"
2,"0.4869929372021489,0.29244773293825316,0.38798939446352976,0.40070304601639056,0.2222332548306756,0.4747727590063502,0.3149679062655044,0.5439497238121093,0.48650734595116596,0.2586001591256908,0.45498660948788167,0.3172815759512212,0.5604609175448273,0.5332387332461231,0.5281581301327432,0.16853759822330752,0.4122386880396301,0.5930924335433432,0.448269086524218,0.4237545865473331,0.30191885168154126,0.16103388009007435,0.27102652676383815,0.4374805418035443,0.18015619354977871"
3,"0.6310888894437556,0.1142477695968622,0.14829384758790334,0.4029364912118751,0.5070287847172186,0.7607391750813008,0.26864064932659504,-0.06252636547190282,0.8688480067311779,0.10492699639388997,0.3605494135626961,0.3956134724019273,0.40433645257344003,0.5703805050710823,0.4433069054788003,0.6174488985475395,0.2372648425265462,0.4317142663103075,0.4495832844703178,0.04277225597521532,0.5223463129030763,0.5609255160962416,0.7935747306656006,0.5780584519680669,0.26839506135574687"
4,"0.4164304486978327,0.631161562535611,0.139351222148792,0.49600596332656044,0.37485994241422965,0.44605838122487773,0.33192541110711915,0.27527405178586056,0.3493478269320161,0.04684074127049102,0.12899552278138265,0.1284600828108062,0.42380754880132254,0.5023077292487906,0.2870602874731205,0.4540672845976082,0.3535979344274002,0.04952460124806349,0.7329950940224206,0.048776865379422614,0.6376093787973036,0.7288800856744441,0.23415661718477265,0.1944079002433785,0.31116203039246043"
5,"0.3361032997105847,0.3107611433789119,0.3826350574773109,0.32571985661843533,0.5863252900978476,0.3635417464113678,0.4176223169383843,0.18304518301260056,0.5934772359452565,0.3960870295528089,0.3097158999119546,0.35862465331666055,0.3695224809648157,0.35925278064525196,0.34567620238155944,0.4316916870056957,0.055543162634686956,0.2210536703386306,0.5886805313620272,0.416215218764933,0.2973528584880795,0.3979389382138736,0.5088495117730703,0.5496904943253701,0.5691789374920049"
6,"0.7145187443751689,0.1847828442070891,0.5808264623271165,0.9407294303672795,0.5669599757988623,0.29030516561915876,0.5852941436294622,0.7353745296500557,0.4023450958714285,0.5430640025254978,0.4697113193202952,0.6994514332527185,0.6362820480116749,0.6815909215160291,0.46681802831319297,0.49038641934446753,0.9024512489238431,0.10603968225337106,0.714755893917508,0.21408609464506742,0.4977095656800618,0.6562185646766935,0.1460430822433888,0.385275751169483,0.8277755650509081"
7,"0.35014817344818866,0.4835194242764049,0.35352205946611764,0.29699157512620933,0.47422979953401895,0.6469831206797672,0.40441497805780025,0.6654811093705656,0.0742126477882866,0.37122855682862266,0.6493755148135212,0.46992739878844475,0.31152322645403185,0.10358520360428819,0.5676589840404662,0.36169127787035416,0.43297932730558253,0.3886896602676597,0.4045227001679213,0.3828229106580485,0.23547382368565198,0.3091371465088939,0.45649153406567533,0.4248108269493234,0.2691775618109916"
8,"0.3705558086539328,0.31735024613548546,0.12369608727550307,0.5791054674516782,0.4965975675164808,0.37251528157128266,0.30053350651434596,0.48971154296913144,0.3032933376771804,0.6393497068014161,0.6076948729268683,0.12335415523960716,0.44839300055951997,0.6848846117221958,0.4693392206982013,0.3250678858687736,0.3517269947522756,0.6164935486990492,0.24885832049959306,0.29066835085453907,0.33720367710377386,0.25266352471065817,0.4963776360007532,0.590197566357745,0.2702013215040836"
9,"0.4565609505741338,0.3848695907647051,0.4060164733561556,0.3493684871911346,0.35020684577198213,0.41536069144416415,0.38042318803897934,0.39669540902522155,0.40526039285041315,0.4490949063320461,0.4760041524969627,0.3567915134638777,0.23627988947568396,0.241642911838816,0.3683319036195247,0.3528803063885944,0.300093072375712,0.4202516088439197,0.10716135841408815,0.6084951628629727,0.37468862042192796,0.2933261148675729,0.24912655831120986,0.41369432963799896,0.26133387045193995"
