,words
0,2627
1,4471
2,2231
3,2754
4,966
5,0
6,571
7,1031
8,1973
9,1139
10,3507
11,2398
12,3746
13,0
14,1214
15,4425
16,609
17,837
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,2354
101,3630
102,942
103,3789
104,2858
105,4017
106,3110
107,3151
108,1031
109,4345
110,3262
111,2836
112,3754
113,748
114,4059
115,3689
116,0
117,1590
118,2700
119,1211
120,1191
121,2097
122,942
123,77
124,1480
125,1058
126,1211
127,661
128,1823
129,2459
130,3523
131,3279
132,3902
133,1211
134,4099
135,2097
136,2246
137,1427
138,0
139,1163
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,1067
201,2127
202,3230
203,781
204,2621
205,2398
206,65
207,1480
208,3237
209,2754
210,2133
211,1496
212,1480
213,598
214,1058
215,2293
216,97
217,984
218,3618
219,3230
220,1067
221,2127
222,3230
223,781
224,2621
225,2398
226,65
227,1480
228,3237
229,2754
230,2133
231,1496
232,1480
233,598
234,1058
235,2293
236,97
237,984
238,3618
239,3230
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,2593
301,3279
302,4254
303,3098
304,2050
305,3230
306,522
307,1480
308,1171
309,579
310,1211
311,4226
312,1644
313,1887
314,1480
315,4381
316,1186
317,1242
318,3230
319,1635
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,1965
401,3230
402,1211
403,284
404,3181
405,0
406,3519
407,3279
408,401
409,4144
410,579
411,3876
412,1480
413,3081
414,1803
415,0
416,408
417,1734
418,3230
419,824
420,408
421,2294
422,3279
423,1867
424,2097
425,1492
426,2097
427,507
428,1174
429,1644
430,4094
431,2922
432,3447
433,1923
434,942
435,2569
436,3208
437,2097
438,942
439,4262
440,2627
441,540
442,1480
443,1734
444,1058
445,991
446,1965
447,3230
448,1461
449,1364
450,2174
451,1480
452,627
453,1211
454,893
455,4080
456,626
457,273
458,552
459,0
460,1965
461,3230
462,1211
463,2398
464,4051
465,1480
466,3880
467,4099
468,3230
469,4332
470,2665
471,3460
472,3364
473,2611
474,2660
475,2398
476,1554
477,1058
478,3880
479,552
480,1965
481,3230
482,1211
483,2398
484,4051
485,1480
486,3880
487,4099
488,3230
489,4332
490,2665
491,3460
492,3364
493,2611
494,2660
495,2398
496,1554
497,1058
498,3880
499,552
500,2583
501,942
502,1631
503,2097
504,942
505,1403
506,2097
507,942
508,1209
509,1482
510,748
511,3230
512,3184
513,2097
514,4509
515,1211
516,3547
517,4456
518,0
519,0
520,3097
521,3279
522,1211
523,2398
524,1033
525,0
526,3519
527,2245
528,1211
529,1774
530,3705
531,1815
532,4293
533,1942
534,1480
535,2659
536,1942
537,579
538,3490
539,1125
540,3097
541,2786
542,1211
543,1973
544,2414
545,2518
546,1644
547,1896
548,3873
549,4007
550,1331
551,3046
552,0
553,3519
554,3798
555,3880
556,2569
557,1480
558,4142
559,746
560,3097
561,2786
562,1211
563,1973
564,2414
565,2518
566,1644
567,1896
568,3873
569,4007
570,1331
571,3046
572,0
573,3519
574,3798
575,3880
576,2569
577,1480
