,words
0,2627
1,4471
2,2231
3,2754
4,966
5,0
6,571
7,1031
8,1973
9,1139
10,3507
11,2398
12,3746
13,0
14,1214
15,4425
16,609
17,837
18,0
19,0
20,171
21,2245
22,1211
23,2398
24,4425
25,1331
26,38
27,4099
28,1058
29,2596
30,3674
31,1480
32,3417
33,572
34,1568
35,4498
36,355
37,2324
38,4293
39,1840
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,2354
101,3630
102,942
103,3789
104,2858
105,4017
106,3110
107,3151
108,1031
109,4345
110,3262
111,2836
112,3754
113,748
114,4059
115,3689
116,0
117,1590
118,2700
119,1211
120,676
121,2097
122,3931
123,2711
124,0
125,3923
126,3230
127,1211
128,1635
129,2939
130,1644
131,942
132,493
133,579
134,942
135,3132
136,1544
137,3625
138,3878
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,1191
201,2097
202,942
203,77
204,1480
205,1058
206,1211
207,661
208,1823
209,2459
210,3523
211,3279
212,3902
213,1211
214,4099
215,2097
216,2246
217,1427
218,0
219,1163
220,1829
221,3490
222,1125
223,2513
224,4293
225,2082
226,1058
227,3133
228,0
229,779
230,3279
231,3540
232,1626
233,1480
234,643
235,0
236,408
237,1734
238,3279
239,2231
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,1067
301,2127
302,3230
303,781
304,2621
305,2398
306,65
307,1480
308,3237
309,2754
310,2133
311,1496
312,1480
313,598
314,1058
315,2293
316,97
317,984
318,3618
319,3230
320,1067
321,2127
322,3230
323,781
324,2621
325,2398
326,65
327,1480
328,3237
329,2754
330,2133
331,1496
332,1480
333,598
334,1058
335,2293
336,97
337,984
338,3618
339,3230
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,2593
401,3279
402,4254
403,3098
404,2050
405,3230
406,522
407,1480
408,1171
409,579
410,1211
411,4226
412,1644
413,1887
414,1480
415,4381
416,1186
417,1242
418,3230
419,1635
420,590
421,533
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,4179
441,3279
442,3624
443,408
444,4109
445,3279
446,2006
447,1480
448,2293
449,1952
450,2659
451,980
452,3279
453,3237
454,3937
455,3600
456,1058
457,928
458,894
459,3445
460,4179
461,3279
462,3624
463,408
464,4109
465,3279
466,2006
467,1480
468,2293
469,1952
470,2659
471,980
472,3279
473,3237
474,3937
475,3600
476,1058
477,928
478,894
479,3445
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,1965
501,3230
502,1211
503,284
504,3181
505,0
506,3519
507,3279
508,401
509,4144
510,579
511,3876
512,1480
513,3081
514,1803
515,0
516,408
517,1734
518,3230
519,824
520,3533
521,1480
522,283
523,725
524,942
525,2330
526,1118
527,2359
528,0
529,3737
530,725
531,670
532,1031
533,393
534,3327
535,236
536,376
537,3651
538,146
539,4293
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
