,words
0,1112
1,8779
2,5205
3,2735
4,10102
5,11588
6,18142
7,4185
8,17886
9,11155
10,17803
11,5300
12,4342
13,0
14,2735
15,5216
16,8447
17,7454
18,12287
19,13051
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,13296
101,14909
102,11848
103,14483
104,2486
105,11186
106,2764
107,7980
108,10740
109,7630
110,4059
111,19744
112,12505
113,13805
114,5485
115,11614
116,7181
117,11269
118,4863
119,11269
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,19457
201,5205
202,1777
203,15341
204,8295
205,17403
206,12423
207,17471
208,2706
209,16508
210,6204
211,1012
212,8616
213,2486
214,11482
215,18185
216,1907
217,15621
218,7408
219,8588
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,2735
301,2065
302,18185
303,1807
304,13069
305,11848
306,58
307,13069
308,8295
309,11070
310,18142
311,4185
312,8588
313,19283
314,3180
315,14733
316,13682
317,11848
318,910
319,15
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,2735
401,5216
402,17886
403,14736
404,4185
405,5700
406,5895
407,1591
408,1920
409,5205
410,11848
411,10535
412,5054
413,0
414,12938
415,17802
416,673
417,18040
418,4185
419,10535
420,15054
421,19476
422,11848
423,8124
424,19406
425,2903
426,3634
427,18241
428,5700
429,17302
430,13682
431,17886
432,14736
433,19476
434,8534
435,13069
436,17106
437,10070
438,8816
439,7623
440,2735
441,8866
442,18671
443,2266
444,17323
445,17033
446,12505
447,5300
448,673
449,1451
450,14156
451,8808
452,0
453,17033
454,2354
455,8808
456,0
457,19864
458,1570
459,13379
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,2735
501,12182
502,11484
503,9679
504,1807
505,11848
506,15744
507,19891
508,1303
509,11684
510,19976
511,7729
512,5205
513,2735
514,12182
515,15091
516,15621
517,7100
518,5408
519,10259
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,11848
601,15744
602,8616
603,3273
604,5485
605,8824
606,17861
607,4185
608,17886
609,353
610,13069
611,13674
612,1376
613,19944
614,6158
615,7408
616,17886
617,8521
618,13921
619,5300
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,11029
701,9773
702,14736
703,14780
704,11569
705,11561
706,0
707,4464
708,8295
709,314
710,5205
711,8295
712,17518
713,673
714,6644
715,8808
716,0
717,17557
718,9208
719,12182
720,2478
721,18185
722,8295
723,13906
724,5630
725,19476
726,9405
727,584
728,3087
729,15669
730,10868
731,536
732,9839
733,584
734,9401
735,16100
736,536
737,792
738,584
739,8673
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,9512
801,11848
802,1133
803,14736
804,4185
805,14125
806,5789
807,18405
808,4669
809,6813
810,6329
811,0
812,17557
813,10740
814,11848
815,6888
816,2486
817,17691
818,16825
819,18278
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,11967
901,5296
902,0
903,17553
904,14780
905,141
906,8295
907,13113
908,11083
909,2486
910,17989
911,8295
912,18914
913,14033
914,10551
915,16576
916,1936
917,7271
918,2061
919,6451
920,7575
921,11848
922,1678
923,2000
924,584
925,314
926,19476
927,3149
928,5205
929,18185
930,8295
931,1735
932,5300
933,12182
934,8295
935,5239
936,426
937,5767
938,15266
939,5205
940,4678
941,19708
942,584
943,15158
944,13712
945,4754
946,8295
947,10949
948,8588
949,2007
950,5205
951,2735
952,5497
953,1831
954,17886
955,14736
956,19476
957,17429
958,18185
959,17323
960,14187
961,14736
962,4185
963,11588
964,2061
965,18681
966,584
967,14522
968,3588
969,11883
970,6644
971,5732
972,7082
973,12505
974,15621
975,19476
976,13805
977,16323
978,2248
979,10588
980,8652
981,12655
982,8521
983,4840
984,8521
985,7598
986,12032
987,12424
988,2486
989,9609
990,5205
991,19415
992,7479
993,5724
994,13069
995,16737
996,13965
997,15621
998,7511
999,6828
1000,584
1001,14277
1002,17851
1003,15054
1004,8521
1005,11958
1006,11848
1007,286
1008,11912
1009,13051
1010,1233
1011,855
1012,11848
1013,286
1014,7769
1015,584
1016,15970
1017,673
1018,18073
1019,5789
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,6309
1101,14181
1102,1807
1103,14780
1104,8295
1105,9679
1106,8440
1107,13069
1108,11848
1109,2598
1110,0
1111,6309
1112,9134
1113,11655
1114,2319
1115,8295
1116,12424
1117,13069
1118,8295
1119,1996
1120,16005
1121,11569
1122,140
1123,13712
1124,19817
1125,1210
1126,18479
1127,19380
1128,19354
1129,17949
1130,6036
1131,15242
1132,12982
1133,18070
1134,9627
1135,11484
1136,9773
1137,19818
1138,18185
1139,8295
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,584
1201,18914
1202,14254
1203,13921
1204,2319
1205,17886
1206,14033
1207,19476
1208,8295
1209,12496
1210,13682
1211,5497
1212,13108
1213,4528
1214,14215
1215,584
1216,1839
1217,673
1218,19023
1219,1920
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,19173
1301,7474
1302,15130
1303,5842
1304,77
1305,11846
1306,17886
1307,14736
1308,11958
1309,4185
1310,5700
1311,13404
1312,11351
1313,8295
1314,15575
1315,0
1316,5562
1317,1996
1318,19476
1319,6644
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
