,words
0,1112
1,8779
2,5205
3,2735
4,10102
5,11588
6,18142
7,4185
8,17886
9,11155
10,17803
11,5300
12,4342
13,0
14,2735
15,5216
16,8447
17,7454
18,12287
19,13051
20,8313
21,16005
22,2450
23,2013
24,14736
25,18185
26,13548
27,2486
28,6671
29,0
30,16798
31,10717
32,19476
33,7802
34,5789
35,8295
36,4102
37,19476
38,6997
39,8295
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,13296
101,14909
102,11848
103,14483
104,2486
105,11186
106,2764
107,7980
108,10740
109,7630
110,4059
111,19744
112,12505
113,13805
114,5485
115,11614
116,7181
117,11269
118,4863
119,11269
120,11029
121,6815
122,19476
123,12119
124,11848
125,12013
126,5789
127,11848
128,8488
129,19476
130,1253
131,16674
132,16100
133,2033
134,11416
135,16100
136,5792
137,11848
138,2101
139,15484
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,19457
201,5205
202,1777
203,15341
204,8295
205,17403
206,12423
207,17471
208,2706
209,16508
210,6204
211,1012
212,8616
213,2486
214,11482
215,18185
216,1907
217,15621
218,7408
219,8588
220,19457
221,5205
222,1777
223,5145
224,9679
225,2248
226,16936
227,6309
228,2064
229,15130
230,11848
231,6342
232,5205
233,9
234,11326
235,2735
236,6560
237,9612
238,11195
239,8295
240,1112
241,18955
242,9134
243,18185
244,11605
245,10805
246,5205
247,4360
248,4185
249,10368
250,2061
251,536
252,15191
253,1934
254,17512
255,8588
256,19360
257,2754
258,5205
259,8588
260,9136
261,7408
262,8534
263,18185
264,3613
265,10503
266,2735
267,3187
268,15091
269,8295
270,12326
271,5789
272,17886
273,8874
274,7408
275,11848
276,3603
277,1906
278,3634
279,3899
280,7714
281,11821
282,16892
283,8369
284,17903
285,11011
286,19540
287,828
288,13975
289,19701
290,18770
291,8295
292,11727
293,16801
294,8530
295,10298
296,3915
297,2863
298,6046
299,19105
300,2735
301,2065
302,18185
303,1807
304,13069
305,11848
306,58
307,13069
308,8295
309,11070
310,18142
311,4185
312,8588
313,19283
314,3180
315,14733
316,13682
317,11848
318,910
319,15
320,10551
321,1936
322,1807
323,4025
324,15956
325,18185
326,4185
327,10740
328,11848
329,8457
330,2486
331,19585
332,7194
333,5789
334,7408
335,13206
336,18900
337,18185
338,8588
339,17076
340,10400
341,17051
342,1087
343,7295
344,10551
345,5216
346,18185
347,10581
348,454
349,18332
350,5757
351,7294
352,1936
353,10190
354,15302
355,5205
356,14691
357,14780
358,11848
359,5921
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,2735
401,5216
402,17886
403,14736
404,4185
405,5700
406,5895
407,1591
408,1920
409,5205
410,11848
411,10535
412,5054
413,0
414,12938
415,17802
416,673
417,18040
418,4185
419,10535
420,6706
421,19476
422,10871
423,11269
424,7839
425,5789
426,2735
427,9113
428,17886
429,13712
430,17886
431,14044
432,2486
433,19901
434,0
435,13550
436,5700
437,7824
438,0
439,901
440,2735
441,12182
442,18914
443,17174
444,1807
445,17200
446,5205
447,8701
448,3056
449,9134
450,19266
451,0
452,2735
453,17592
454,14468
455,11848
456,8497
457,5789
458,15530
459,12941
460,3757
461,10301
462,19025
463,0
464,17757
465,18189
466,0
467,14439
468,0
469,16742
470,0
471,5665
472,0
473,0
474,2735
475,2064
476,8295
477,1991
478,4243
479,11990
480,18807
481,19476
482,15714
483,0
484,77
485,19476
486,15714
487,0
488,16868
489,6644
490,20015
491,11848
492,14033
493,13682
494,6523
495,536
496,1934
497,0
498,8487
499,19178
500,15054
501,19476
502,11848
503,8124
504,19406
505,2903
506,3634
507,18241
508,5700
509,17302
510,13682
511,17886
512,14736
513,19476
514,8534
515,13069
516,17106
517,10070
518,8816
519,7623
520,17307
521,5700
522,14222
523,2473
524,8295
525,924
526,2486
527,11849
528,3087
529,5205
530,14430
531,18058
532,17886
533,14736
534,13201
535,5789
536,13069
537,4116
538,9171
539,15621
540,13663
541,11195
542,4314
543,2735
544,2266
545,8508
546,8295
547,7558
548,2319
549,17886
550,838
551,17557
552,11890
553,9208
554,12182
555,13674
556,6943
557,19056
558,19605
559,5789
560,584
561,314
562,19476
563,10580
564,5789
565,5300
566,15328
567,682
568,4185
569,15723
570,17802
571,1528
572,1112
573,12060
574,12182
575,18697
576,13682
577,8295
578,484
579,10494
580,5092
581,947
582,19476
583,9627
584,11848
585,9820
586,14736
587,4185
588,11588
589,1138
590,584
591,11592
592,673
593,7289
594,4185
595,10047
596,5895
597,18405
598,3899
599,13674
600,2735
601,8866
602,18671
603,2266
604,17323
605,17033
606,12505
607,5300
608,673
609,1451
610,14156
611,8808
612,0
613,17033
614,2354
615,8808
616,0
617,19864
618,1570
619,13379
620,11967
621,5296
622,0
623,17553
624,14780
625,141
626,8295
627,13113
628,11083
629,2486
630,17989
631,8295
632,18914
633,14033
634,10551
635,16576
636,1936
637,7271
638,2061
639,6451
640,12938
641,2735
642,9134
643,11848
644,2765
645,2486
646,1960
647,11269
648,9389
649,4185
650,5700
651,15569
652,2735
653,8866
654,7294
655,5700
656,4528
657,8295
658,16619
659,6988
660,11029
661,11235
662,19225
663,0
664,8275
665,0
666,11959
667,2735
668,12182
669,536
670,14089
671,2248
672,8588
673,19091
674,8259
675,10323
676,10551
677,15328
678,1037
679,8295
680,12671
681,14468
682,3720
683,15484
684,4645
685,3187
686,3047
687,5588
688,13712
689,8295
690,7078
691,14693
692,11849
693,3113
694,18185
695,16355
696,0
697,3677
698,5257
699,11021
700,2735
701,12182
702,11484
703,9679
704,1807
705,11848
706,15744
707,19891
708,1303
709,11684
710,19976
711,7729
712,5205
713,2735
714,12182
715,15091
716,15621
717,7100
718,5408
719,10259
720,1112
721,7508
722,11425
723,8295
724,6099
725,4333
726,12424
727,2486
728,18064
729,13682
730,13285
731,8295
732,5381
733,10128
734,0
735,3584
736,8773
737,15530
738,8295
739,3002
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,11848
801,15744
802,8616
803,3273
804,5485
805,8824
806,17861
807,4185
808,17886
809,353
810,13069
811,13674
812,1376
813,19944
814,6158
815,7408
816,17886
817,8521
818,13921
819,5300
820,9194
821,19476
822,9468
823,0
824,8824
825,12119
826,14761
827,15621
828,7408
829,11848
830,18299
831,6828
832,0
833,8295
834,4842
835,673
836,13698
837,0
838,5300
839,12056
840,18185
841,8588
842,4055
843,13437
844,14780
845,13682
846,2450
847,11097
848,2486
849,16520
850,8824
851,9953
852,648
853,8899
854,0
855,4813
856,18567
857,8824
858,17690
859,0
860,19050
861,4185
862,2159
863,12880
864,2735
865,17804
866,7658
867,2486
868,11848
869,1678
870,426
871,4528
872,12349
873,4786
874,2159
875,13069
876,17239
877,5179
878,0
879,17557
880,8824
881,9554
882,4703
883,2305
884,1623
885,8824
886,9953
887,5518
888,0
889,17886
890,14580
891,6564
892,15621
893,11195
894,14780
895,8295
896,11377
897,15280
898,14754
899,4656
900,11029
901,9773
902,14736
903,14780
904,11569
905,11561
906,0
907,4464
908,8295
909,314
910,5205
911,8295
912,17518
913,673
914,6644
915,8808
916,0
917,17557
918,9208
919,12182
920,584
921,18914
922,1133
923,13921
924,2319
925,17886
926,14736
927,19476
928,13682
929,11037
930,7289
931,13069
932,9854
933,5205
934,5300
935,18914
936,14701
937,11346
938,0
939,12923
940,5357
941,3471
942,4528
943,2525
944,14028
945,19476
946,14156
947,13682
948,9864
949,5700
950,7512
951,0
952,17557
953,12182
954,11848
955,1678
956,1996
957,2248
958,11848
959,17227
960,584
961,19261
962,5617
963,5122
964,5700
965,8295
966,484
967,18185
968,8295
969,175
970,5630
971,2248
972,11848
973,10588
974,17459
975,5205
976,11980
977,8797
978,19058
979,18241
980,14187
981,14736
982,4185
983,4829
984,11848
985,15744
986,9486
987,14780
988,11854
989,0
990,19173
991,5300
992,3854
993,14156
994,17846
995,2305
996,18999
997,13965
998,15621
999,5113
1000,9512
1001,11848
1002,1133
1003,14736
1004,4185
1005,14125
1006,5789
1007,18405
1008,4669
1009,6813
1010,6329
1011,0
1012,17557
1013,10740
1014,11848
1015,6888
1016,2486
1017,17691
1018,16825
1019,18278
1020,16062
1021,15621
1022,5481
1023,15841
1024,15263
1025,7406
1026,15715
1027,14513
1028,15130
1029,19521
1030,15435
1031,19476
1032,8813
1033,8521
1034,2486
1035,8295
1036,484
1037,7406
1038,15715
1039,4185
1040,10551
1041,2064
1042,9869
1043,17003
1044,5205
1045,5300
1046,9134
1047,11195
1048,10588
1049,8808
1050,0
1051,584
1052,15222
1053,14780
1054,8295
1055,314
1056,19476
1057,6644
1058,9872
1059,15842
1060,2735
1061,14014
1062,11204
1063,13682
1064,17886
1065,19476
1066,8295
1067,484
1068,7406
1069,14736
1070,18185
1071,8295
1072,175
1073,10128
1074,0
1075,584
1076,11140
1077,1807
1078,3187
1079,2958
1080,17557
1081,12182
1082,6644
1083,10978
1084,13266
1085,13682
1086,14480
1087,1678
1088,5205
1089,5497
1090,5700
1091,5730
1092,18185
1093,13674
1094,15620
1095,17123
1096,0
1097,17557
1098,4421
1099,12182
1100,584
1101,14277
1102,17851
1103,15054
1104,8521
1105,11958
1106,11848
1107,286
1108,11912
1109,13051
1110,1233
1111,855
1112,11848
1113,286
1114,7769
1115,584
1116,15970
1117,673
1118,18073
1119,5789
1120,10238
1121,182
1122,6935
1123,838
1124,12032
1125,12424
1126,2486
1127,11071
1128,4154
1129,2486
1130,9773
1131,12772
1132,2479
1133,14513
1134,15130
1135,18686
1136,15130
1137,3012
1138,5205
1139,10634
1140,406
1141,13805
1142,14468
1143,8295
1144,18291
1145,14688
1146,2486
1147,1763
1148,4697
1149,5789
1150,17886
1151,14736
1152,11484
1153,536
1154,5079
1155,18153
1156,19173
1157,11195
1158,4697
1159,6413
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,6309
1201,14181
1202,1807
1203,14780
1204,8295
1205,9679
1206,8440
1207,13069
1208,11848
1209,2598
1210,0
1211,6309
1212,9134
1213,11655
1214,2319
1215,8295
1216,12424
1217,13069
1218,8295
1219,1996
1220,4120
1221,17886
1222,13811
1223,2735
1224,12182
1225,15328
1226,11484
1227,11848
1228,326
1229,16541
1230,5205
1231,2735
1232,9896
1233,17886
1234,19818
1235,18241
1236,5700
1237,334
1238,4185
1239,6822
1240,6309
1241,14181
1242,1807
1243,12505
1244,15024
1245,5386
1246,536
1247,10588
1248,14111
1249,18110
1250,2486
1251,17886
1252,14736
1253,5205
1254,9134
1255,10588
1256,11655
1257,4185
1258,10368
1259,8369
1260,3033
1261,15024
